u,i1,i2,hl,nl
45,,,647,"[9542.709, 1051.3799999999999, 1955.25, 298.0, 283.0, 789.0, 261.0]"
46,,,4128,"[1472.625, 190.0, 112.0, 15.84, 73.26, 242.55, 16.83]"
47,,,4783,"[303.6, 0.0, 27.72, 37.62, 17.82, 0.0, 20.0]"
48,,,4270,"[348.5, 35.64, 35.64, 47.0, 27.72, 61.38, 6.93]"
49,,,647,"[3407.283, 480.0, 330.66, 24.75, 143.0, 152.46, 44.55]"
50,,,4793,"[645.1, 44.0, 99.0, 45.54, 30.69, 82.17, 26.0]"
51,,,647,"[3821.7, 479.0, 374.0, 50.49, 193.05, 149.0, 68.31]"
52,,,69,"[346.5, 23.759999999999998, 17.0, 48.0, 40.0, 14.0, 10.0]"
53,,,193,"[1121.0, 128.0, 7.92, 63.0, 145.53, 177.0, 3.96]"
54,,,4270,"[353.034, 28.71, 12.0, 35.64, 76.23, 53.0, 1.0]"
55,,,3424,"[1230.0, 86.0, 70.29, 67.0, 60.39, 53.0, 50.49]"
56,,,1118,"[489.06, 6.93, 72.27, 43.0, 40.589999999999996, 2.9699999999999998, 29.7]"
57,,,1253,"[1089.3, 115.83, 185.13, 57.42, 63.0, 233.0, 25.74]"
58,,,357,"[392.1, 44.55, 50.49, 16.83, 23.0, 34.0, 5.9399999999999995]"
59,,,767,"[401.8, 24.0, 156.0, 3.96, 10.0, 45.54, 19.8]"
60,,,2274,"[615.285, 38.61, 148.5, 32.67, 22.77, 61.38, 21.0]"
61,,,648,"[1010.3939999999999, 99.0, 34.0, 53.46, 89.0, 151.0, 19.8]"
62,,,648,"[540.639, 47.0, 102.96, 17.82, 44.55, 57.0, 13.0]"
63,,,193,"[884.7, 71.0, 142.56, 32.67, 99.99, 65.34, 13.0]"
64,,,2342,"[352.5, 14.0, 65.0, 10.0, 18.81, 11.879999999999999, 19.0]"
65,,,505,"[1423.224, 80.19, 518.0, 51.48, 44.55, 63.36, 72.0]"
66,,,3330,"[382.7, 20.0, 49.5, 46.0, 85.0, 13.86, 5.9399999999999995]"
67,,,4783,"[303.534, 11.0, 56.0, 20.0, 12.0, 22.0, 15.84]"
68,,,3459,"[553.6080000000001, 67.0, 10.0, 86.0, 36.63, 82.17, 6.93]"
69,,,647,"[3646.5, 481.0, 316.8, 24.0, 152.0, 148.5, 60.0]"
70,,,2848,"[799.2, 108.0, 15.0, 76.0, 62.37, 193.0, 4.95]"
71,,,740,"[694.3, 8.91, 360.36, 17.82, 12.87, 6.0, 44.0]"
72,,,4783,"[690.426, 19.0, 29.7, 52.47, 88.0, 21.78, 31.68]"
73,,,647,"[3458.2, 474.21, 318.78, 39.6, 146.0, 148.0, 46.0]"
74,,,1984,"[727.3000000000001, 46.53, 84.15, 71.0, 37.0, 78.21, 28.71]"
75,,,647,"[3712.6, 513.81, 317.79, 35.0, 168.0, 220.0, 43.56]"
76,,,4245,"[799.425, 81.17999999999999, 203.0, 36.0, 41.58, 170.0, 21.0]"
77,,,1252,"[608.553, 39.0, 138.0, 25.0, 28.71, 33.0, 24.75]"
78,,,1252,"[366.498, 17.82, 130.0, 38.0, 45.54, 14.0, 14.0]"
80,,,740,"[908.226, 17.82, 445.5, 35.64, 26.0, 11.879999999999999, 63.36]"
81,,,4177,"[345.7, 24.75, 73.0, 26.0, 15.0, 38.0, 15.0]"
82,,,3823,"[339.0, 30.69, 26.73, 47.519999999999996, 50.0, 48.51, 3.0]"
83,,,3335,"[303.0, 46.0, 9.9, 9.9, 8.0, 96.0, 0.0]"
84,,,3432,"[556.1819999999999, 14.0, 33.66, 17.82, 42.0, 27.72, 30.0]"
85,,,3078,"[1046.0339999999999, 24.75, 71.28, 17.0, 34.65, 14.85, 11.879999999999999]"
86,,,4738,"[779.4, 20.79, 307.0, 157.41, 28.71, 4.95, 51.0]"
87,,,125,"[2390.8, 168.0, 1084.05, 38.61, 74.25, 99.0, 113.0]"
88,,,4091,"[749.8, 69.0, 97.0, 51.0, 93.06, 105.92999999999999, 12.0]"
89,,,4091,"[587.1689999999999, 42.57, 117.0, 52.0, 90.0, 54.0, 10.89]"
90,,,3258,"[168.3, 15.84, 23.759999999999998, 5.9399999999999995, 5.9399999999999995, 16.83, 4.0]"
91,,,647,"[3583.8, 500.94, 323.73, 37.62, 150.48, 184.14, 45.54]"
92,,,983,"[838.6289999999999, 99.0, 35.64, 33.0, 76.23, 63.36, 9.9]"
93,,,2274,"[1017.6, 79.0, 141.57, 31.68, 55.44, 152.46, 30.0]"
94,,,1118,"[761.5, 51.48, 63.0, 42.0, 73.26, 58.0, 25.0]"
95,,,4446,"[307.59299999999996, 3.0, 40.0, 9.0, 27.0, 2.0, 19.8]"
96,,,4446,"[232.5, 0.0, 183.0, 5.9399999999999995, 4.0, 0.0, 18.81]"
97,,,4446,"[288.2, 12.87, 131.67, 11.879999999999999, 19.8, 26.0, 14.0]"
98,,,2741,"[426.393, 43.56, 19.0, 41.58, 43.0, 21.78, 7.0]"
99,,,4177,"[799.227, 97.02, 62.37, 99.0, 15.0, 60.39, 20.0]"
100,,,4177,"[388.1, 15.0, 177.0, 24.0, 11.879999999999999, 23.759999999999998, 24.75]"
101,,,647,"[4374.7, 518.0, 473.21999999999997, 130.0, 217.0, 224.0, 94.05]"
102,,,4091,"[1150.3799999999999, 58.41, 49.0, 76.23, 181.17, 43.0, 34.65]"
103,,,4446,"[2239.3, 154.0, 1109.79, 38.0, 70.0, 92.07, 108.0]"
104,,,2311,"[307.395, 8.91, 120.0, 8.91, 14.0, 5.9399999999999995, 19.0]"
105,,,3715,"[383.5, 12.0, 138.0, 9.9, 64.0, 7.0, 13.0]"
106,,,2274,"[493.119, 16.0, 167.31, 74.0, 21.0, 6.93, 23.0]"
107,,,4091,"[508.167, 24.75, 81.0, 60.39, 93.0, 17.0, 12.0]"
108,,,4446,"[276.40799999999996, 12.0, 116.0, 8.0, 8.91, 23.0, 15.84]"
109,,,4783,"[564.8, 32.67, 17.0, 36.63, 96.03, 36.0, 11.879999999999999]"
110,,,4814,"[2635.6, 202.0, 1120.0, 54.45, 91.0, 137.0, 113.85]"
111,,,908,"[281.1, 15.84, 6.93, 9.9, 13.86, 23.0, 11.0]"
112,,,80,"[1473.714, 57.42, 127.71, 60.39, 64.35, 56.43, 82.17]"
113,,,740,"[595.3, 25.0, 247.0, 19.8, 20.79, 22.77, 34.0]"
114,,,3189,"[367.1, 50.49, 31.0, 16.83, 5.9399999999999995, 109.0, 4.95]"
115,,,648,"[619.5, 64.0, 23.0, 42.57, 70.29, 86.0, 7.0]"
116,,,648,"[1310.6, 125.73, 13.86, 52.0, 109.89, 205.0, 26.0]"
117,,,3885,"[559.746, 25.74, 4.95, 99.0, 81.0, 26.73, 20.0]"
118,,,4954,"[363.9, 15.84, 68.0, 31.0, 33.0, 26.73, 16.83]"
119,,,2210,"[3382.83, 268.29, 324.71999999999997, 344.0, 214.0, 382.0, 112.0]"
120,,,740,"[1107.8, 79.2, 227.7, 50.49, 112.86, 71.28, 32.67]"
121,,,4783,"[418.374, 13.86, 35.0, 73.26, 67.0, 17.82, 15.0]"
122,,,740,"[576.279, 19.8, 234.0, 25.74, 17.0, 11.0, 35.64]"
123,,,1646,"[563.508, 22.77, 231.66, 12.0, 13.86, 42.57, 34.0]"
124,,,647,"[3568.356, 490.0, 410.85, 30.0, 152.46, 172.26, 52.0]"
125,,,193,"[1215.423, 106.0, 20.79, 61.38, 191.07, 84.0, 14.0]"
126,,,4642,"[1091.277, 119.0, 25.0, 46.53, 83.16, 198.0, 20.0]"
127,,,4091,"[680.625, 50.49, 48.51, 86.13, 105.92999999999999, 50.49, 11.879999999999999]"
128,,,4446,"[152.559, 1.98, 37.62, 11.879999999999999, 9.9, 4.0, 9.0]"
129,,,4642,"[903.4, 84.0, 5.0, 42.0, 65.0, 160.0, 22.77]"
130,,,740,"[676.8, 33.0, 227.0, 34.65, 36.0, 32.0, 34.0]"
131,,,2313,"[2833.776, 419.0, 43.0, 66.0, 69.3, 277.0, 23.0]"
132,,,740,"[1342.0, 93.0, 251.0, 56.43, 115.0, 100.98, 37.62]"
133,,,740,"[687.456, 18.0, 398.96999999999997, 24.0, 12.87, 13.86, 47.0]"
134,,,484,"[580.5999999999999, 52.47, 29.0, 56.43, 59.4, 38.0, 15.84]"
135,,,4783,"[723.3, 21.78, 47.0, 41.0, 32.67, 10.0, 44.0]"
136,,,2105,"[250.965, 32.0, 6.93, 15.84, 18.0, 43.56, 1.98]"
137,,,4783,"[610.5, 9.0, 236.60999999999999, 37.0, 21.78, 6.0, 42.0]"
138,,,1715,"[1036.6, 57.42, 59.4, 47.0, 91.08, 53.46, 45.54]"
139,,,309,"[686.8, 26.73, 98.0, 25.0, 107.91, 12.87, 26.0]"
140,,,2816,"[732.1, 62.37, 23.759999999999998, 82.0, 79.2, 94.05, 15.0]"
141,,,4783,"[414.7, 23.0, 107.91, 24.75, 15.0, 39.6, 18.81]"
142,,,740,"[623.799, 31.0, 247.0, 28.71, 16.0, 51.0, 35.0]"
143,,,647,"[3548.7, 477.0, 465.0, 24.0, 136.62, 146.52, 56.43]"
144,,,648,"[869.22, 53.46, 229.0, 35.64, 54.45, 61.0, 36.63]"
145,,,4091,"[549.747, 42.57, 88.11, 46.53, 87.12, 57.42, 8.91]"
146,,,4783,"[575.5, 29.0, 61.0, 34.65, 27.72, 51.48, 26.73]"
147,,,4573,"[2616.1, 215.82, 1188.99, 46.0, 44.55, 384.0, 114.84]"
148,,,908,"[446.1, 49.5, 18.0, 46.0, 31.0, 56.0, 6.93]"
149,,,1736,"[972.1, 72.27, 37.0, 100.98, 142.0, 47.0, 18.0]"
150,,,4668,"[722.799, 55.44, 84.0, 29.0, 41.0, 99.99, 25.74]"
151,,,4783,"[422.6, 14.0, 34.65, 73.26, 66.33, 18.0, 14.85]"
152,,,882,"[953.4, 99.99, 26.0, 42.57, 59.0, 197.01, 21.0]"
153,,,193,"[815.5, 92.0, 9.0, 71.0, 116.0, 96.03, 2.0]"
154,,,0,"[588.9000000000001, 28.71, 139.59, 37.62, 32.0, 27.72, 28.0]"
155,,,708,"[227.5, 14.85, 17.0, 15.84, 10.0, 19.8, 8.91]"
156,,,647,"[4033.1, 533.61, 514.0, 28.71, 162.0, 273.0, 63.36]"
157,,,740,"[1499.8, 32.67, 224.73, 66.0, 66.33, 16.83, 95.03999999999999]"
158,,,4836,"[343.8, 31.0, 39.0, 65.34, 41.0, 47.0, 4.95]"
159,,,908,"[216.21599999999998, 12.87, 41.58, 15.0, 8.91, 19.8, 8.91]"
160,,,2189,"[5093.352, 371.25, 1418.0, 143.55, 168.3, 587.07, 220.0]"
161,,,4783,"[303.534, 11.0, 55.44, 20.0, 11.879999999999999, 21.78, 16.0]"
162,,,740,"[495.89099999999996, 12.0, 236.60999999999999, 18.0, 13.86, 7.0, 32.67]"
163,,,2342,"[614.097, 48.51, 54.45, 25.74, 50.49, 60.39, 18.0]"
164,,,1711,"[356.895, 16.83, 67.32, 37.62, 39.0, 14.0, 13.0]"
165,,,2274,"[575.3, 17.0, 316.0, 9.0, 11.0, 40.589999999999996, 30.0]"
166,,,357,"[230.0, 24.0, 5.0, 16.83, 22.77, 26.0, 1.98]"
167,,,740,"[529.155, 10.89, 225.0, 23.759999999999998, 19.0, 10.0, 35.0]"
168,,,740,"[1110.2, 82.17, 228.0, 49.5, 100.98, 93.0, 34.0]"
169,,,1860,"[549.054, 41.58, 208.89, 7.92, 12.0, 67.0, 22.77]"
170,,,1706,"[1190.079, 115.83, 116.82, 99.0, 104.94, 200.97, 25.74]"
171,,,4783,"[2180.772, 48.51, 94.0, 174.24, 117.0, 89.1, 134.64]"
172,,,4446,"[773.5999999999999, 40.0, 104.94, 59.0, 160.38, 38.61, 16.0]"
173,,,4177,"[611.127, 30.69, 72.27, 55.44, 38.0, 41.58, 33.0]"
174,,,4091,"[553.3109999999999, 40.0, 22.77, 65.34, 132.0, 31.68, 1.98]"
175,,,71,"[1098.603, 127.0, 86.0, 93.0, 80.19, 114.0, 18.81]"
176,,,4783,"[238.293, 5.9399999999999995, 22.0, 49.0, 20.0, 1.98, 11.879999999999999]"
177,,,4091,"[796.2, 70.29, 26.0, 50.49, 152.0, 59.0, 2.9699999999999998]"
178,,,647,"[3971.781, 514.8, 477.0, 62.37, 142.56, 165.33, 61.38]"
179,,,4783,"[477.18, 20.0, 36.0, 65.0, 93.0, 13.86, 11.879999999999999]"
180,,,125,"[2396.7, 161.37, 1248.39, 37.62, 66.0, 99.99, 115.83]"
181,,,647,"[3928.32, 523.71, 345.0, 52.47, 210.87, 218.79, 53.0]"
182,,,1854,"[535.9, 51.0, 108.9, 40.589999999999996, 26.73, 57.0, 14.85]"
183,,,2280,"[316.404, 15.0, 195.0, 2.0, 10.89, 10.89, 17.82]"
184,,,740,"[2593.5029999999997, 161.37, 1294.92, 49.5, 79.0, 99.0, 134.0]"
185,,,3004,"[1234.8, 102.0, 290.07, 32.0, 70.0, 166.32, 40.0]"
187,,,4683,"[459.558, 35.64, 64.0, 7.0, 16.83, 64.0, 17.82]"
188,,,4783,"[358.083, 12.87, 109.0, 25.0, 25.0, 26.0, 18.0]"
189,,,3424,"[989.6, 55.44, 78.21, 48.51, 64.0, 28.71, 45.0]"
190,,,4446,"[530.8, 18.0, 332.64, 141.0, 14.85, 3.96, 35.0]"
191,,,2274,"[404.5, 20.0, 148.0, 31.0, 18.0, 45.0, 12.87]"
192,,,4091,"[643.995, 60.0, 43.0, 61.0, 110.88, 60.0, 3.96]"
193,,,3823,"[539.0999999999999, 47.519999999999996, 98.01, 53.46, 54.45, 77.0, 9.9]"
194,,,4783,"[671.0, 44.55, 50.49, 39.0, 95.03999999999999, 36.0, 16.0]"
195,,,647,"[3633.0029999999997, 496.98, 329.0, 73.0, 154.0, 160.38, 55.0]"
196,,,1984,"[1350.063, 63.36, 114.84, 109.89, 90.09, 76.23, 66.0]"
197,,,3189,"[541.0999999999999, 35.0, 36.63, 19.8, 38.0, 65.34, 22.0]"
198,,,1722,"[599.643, 57.0, 62.37, 14.85, 55.0, 70.0, 11.879999999999999]"
199,,,740,"[1019.898, 31.0, 255.42, 40.0, 36.63, 16.0, 65.34]"
200,,,767,"[401.8, 23.759999999999998, 154.44, 4.0, 9.9, 45.54, 20.0]"
201,,,4961,"[646.569, 67.32, 96.03, 26.73, 60.39, 116.82, 9.0]"
203,,,3459,"[631.125, 56.0, 93.0, 34.0, 42.57, 107.91, 17.82]"
204,,,2468,"[936.1439999999999, 19.8, 476.19, 7.92, 24.75, 41.0, 41.0]"
205,,,1646,"[541.1, 27.0, 198.0, 9.9, 12.87, 42.57, 29.7]"
206,,,4177,"[555.1919999999999, 27.72, 168.3, 29.7, 23.0, 56.0, 30.69]"
207,,,4793,"[648.5, 38.0, 56.0, 63.36, 38.61, 68.0, 29.7]"
208,,,4783,"[410.553, 22.77, 107.91, 25.0, 15.0, 40.0, 19.0]"
209,,,2501,"[3863.1780000000003, 252.0, 1518.66, 85.0, 90.0, 175.23, 195.03]"
210,,,3290,"[2339.8, 182.16, 605.88, 84.0, 77.22, 259.0, 93.0]"
211,,,4091,"[513.711, 35.64, 30.69, 56.43, 119.0, 38.61, 3.0]"
212,,,4177,"[533.9069999999999, 42.57, 51.48, 32.0, 55.44, 48.0, 17.0]"
213,,,647,"[3982.473, 515.0, 386.0, 93.0, 174.0, 209.0, 70.0]"
215,,,145,"[1381.4, 70.29, 566.0, 48.51, 108.9, 128.7, 62.37]"
216,,,4533,"[1189.3, 146.0, 17.82, 45.54, 134.0, 224.0, 4.0]"
217,,,1722,"[806.4540000000001, 69.0, 21.0, 21.78, 83.0, 93.0, 17.82]"
218,,,4091,"[353.925, 22.0, 22.0, 46.53, 85.0, 17.82, 1.98]"
219,,,908,"[707.256, 64.0, 192.06, 10.89, 30.0, 127.71, 22.77]"
220,,,361,"[727.3, 65.0, 105.0, 18.0, 106.92, 70.0, 8.91]"
221,,,2274,"[387.1, 22.77, 142.56, 4.95, 4.0, 48.0, 12.0]"
222,,,505,"[3608.154, 492.0, 335.0, 47.519999999999996, 161.0, 172.26, 52.47]"
224,,,1711,"[806.9490000000001, 73.26, 212.0, 35.64, 53.46, 137.0, 22.0]"
225,,,648,"[742.005, 64.35, 26.0, 64.0, 126.0, 69.0, 7.0]"
226,,,4446,"[2216.907, 152.46, 1121.0, 37.62, 70.0, 92.07, 108.0]"
227,,,2274,"[1092.5, 99.0, 158.0, 61.38, 39.0, 148.5, 28.71]"
228,,,2355,"[994.5, 87.12, 288.09, 9.9, 23.0, 127.71, 35.0]"
229,,,647,"[3548.7, 472.23, 460.35, 23.759999999999998, 138.0, 148.0, 56.43]"
230,,,1984,"[1040.2920000000001, 69.0, 75.0, 99.0, 50.49, 124.0, 43.56]"
231,,,647,"[3620.43, 488.07, 350.0, 97.02, 157.41, 153.45, 55.0]"
232,,,647,"[3530.241, 499.0, 338.58, 35.0, 141.0, 191.07, 46.53]"
233,,,193,"[970.5, 81.0, 216.0, 33.0, 105.0, 95.0, 23.0]"
234,,,983,"[1334.3, 153.45, 22.0, 57.0, 79.2, 198.0, 24.0]"
235,,,4783,"[610.5, 9.0, 236.60999999999999, 36.63, 22.0, 6.0, 41.58]"
236,,,4783,"[760.5999999999999, 47.0, 28.71, 55.0, 48.0, 43.0, 31.68]"
237,,,4446,"[1021.0999999999999, 56.0, 86.13, 73.0, 85.0, 46.53, 40.589999999999996]"
238,,,1324,"[431.93699999999995, 49.5, 26.0, 74.25, 18.81, 29.0, 9.0]"
239,,,1118,"[547.3, 19.0, 118.0, 53.0, 64.0, 15.0, 25.0]"
240,,,4446,"[138.69899999999998, 0.0, 80.0, 12.87, 4.0, 0.0, 10.89]"
241,,,4894,"[859.0, 84.0, 99.0, 38.61, 117.0, 92.0, 8.91]"
242,,,4783,"[510.2, 8.0, 64.35, 19.0, 35.64, 3.96, 32.0]"
243,,,647,"[3563.4, 497.0, 325.71, 54.45, 154.44, 193.0, 44.55]"
244,,,740,"[689.2, 29.7, 297.0, 24.0, 16.83, 45.0, 40.0]"
245,,,2949,"[369.0, 23.0, 186.0, 6.0, 5.9399999999999995, 40.0, 17.0]"
246,,,740,"[771.21, 48.51, 243.54, 33.0, 41.0, 52.0, 33.66]"
247,,,193,"[1168.3000000000002, 116.0, 41.58, 53.0, 188.0, 102.0, 7.0]"
248,,,740,"[694.3, 9.0, 364.0, 18.0, 12.87, 5.9399999999999995, 43.56]"
249,,,357,"[366.7, 34.0, 3.96, 22.0, 29.7, 32.67, 7.0]"
250,,,1406,"[372.20000000000005, 13.0, 13.0, 3.96, 27.72, 5.9399999999999995, 18.81]"
253,,,647,"[3709.431, 497.96999999999997, 335.0, 30.69, 150.48, 196.02, 57.42]"
254,,,145,"[908.3, 48.0, 43.0, 26.0, 140.58, 68.0, 25.74]"
255,,,1984,"[1329.3000000000002, 105.0, 77.0, 118.0, 123.75, 160.0, 34.65]"
256,,,647,"[3761.5, 502.92, 416.79, 33.66, 145.53, 160.0, 57.42]"
257,,,647,"[3652.407, 500.0, 334.62, 32.0, 191.0, 164.34, 47.519999999999996]"
258,,,648,"[1051.083, 96.0, 182.16, 39.0, 58.41, 145.53, 30.69]"
259,,,4446,"[1117.8999999999999, 69.3, 405.0, 31.0, 32.67, 136.62, 53.46]"
260,,,4592,"[799.821, 67.0, 116.82, 24.75, 74.25, 86.0, 17.0]"
261,,,266,"[612.414, 48.51, 28.71, 31.68, 27.0, 22.77, 22.0]"
262,,,4446,"[177.60599999999997, 13.0, 43.56, 6.0, 6.0, 5.9399999999999995, 7.92]"
263,,,4783,"[535.1940000000001, 23.759999999999998, 30.69, 39.6, 33.66, 39.6, 27.0]"
264,,,4091,"[682.5999999999999, 45.54, 36.63, 53.0, 98.0, 64.0, 15.84]"
265,,,4091,"[775.5999999999999, 71.0, 73.0, 74.25, 116.0, 66.33, 8.91]"
266,,,3498,"[473.3, 22.0, 80.0, 9.0, 23.0, 30.69, 24.0]"
267,,,4783,"[2997.2000000000003, 87.12, 108.0, 117.0, 152.0, 45.0, 179.0]"
268,,,4177,"[786.1999999999999, 90.09, 50.0, 49.0, 36.0, 70.0, 18.0]"
269,,,125,"[2289.672, 166.32, 1117.0, 34.0, 68.0, 113.85, 105.92999999999999]"
270,,,2862,"[80.487, 5.9399999999999995, 7.0, 1.98, 7.92, 11.879999999999999, 1.98]"
271,,,324,"[809.127, 46.53, 37.0, 67.32, 128.0, 33.0, 20.0]"
272,,,4096,"[684.09, 75.0, 13.86, 33.0, 102.96, 68.0, 1.98]"
273,,,647,"[6789.0, 944.46, 633.6, 48.0, 276.0, 296.0, 87.12]"
274,,,740,"[673.4, 17.82, 230.0, 76.0, 64.35, 12.87, 34.0]"
275,,,4446,"[293.436, 23.759999999999998, 39.6, 23.0, 27.0, 26.0, 8.0]"
276,,,740,"[575.784, 28.71, 222.75, 161.37, 13.0, 14.0, 32.0]"
277,,,193,"[764.6759999999999, 75.24, 21.0, 35.0, 103.95, 68.0, 7.92]"
278,,,4918,"[709.236, 58.41, 21.78, 62.37, 153.45, 82.0, 2.0]"
279,,,3271,"[1622.0159999999998, 207.0, 28.71, 93.06, 85.0, 282.0, 19.8]"
280,,,3102,"[1153.746, 128.0, 21.78, 138.0, 170.0, 144.0, 3.0]"
281,,,2,"[3736.557, 464.0, 205.0, 383.0, 222.75, 413.0, 55.44]"
282,,,3037,"[581.5, 52.0, 64.35, 7.0, 32.0, 102.96, 19.8]"
283,,,1304,"[766.6560000000001, 95.0, 149.0, 32.0, 6.0, 73.26, 17.82]"
284,,,647,"[3600.2, 485.0, 340.0, 45.0, 155.0, 161.37, 54.0]"
285,,,2342,"[1259.0819999999999, 31.68, 160.38, 108.9, 83.16, 52.47, 82.0]"
286,,,4091,"[509.79999999999995, 35.64, 49.0, 62.0, 93.06, 31.0, 7.92]"
287,,,2549,"[1240.47, 103.95, 303.93, 249.48, 108.0, 103.95, 36.0]"
288,,,4194,"[1398.276, 110.88, 52.0, 158.4, 164.0, 211.0, 35.0]"
289,,,2949,"[671.121, 32.0, 113.0, 32.67, 36.0, 46.0, 33.0]"
290,,,1252,"[614.8, 63.36, 75.24, 36.63, 48.51, 99.0, 11.0]"
291,,,882,"[3309.3, 273.24, 253.0, 352.0, 207.9, 393.0, 104.94]"
292,,,3685,"[1346.1, 101.97, 37.0, 46.0, 148.5, 147.0, 36.0]"
293,,,647,"[4469.85, 629.64, 327.69, 30.0, 200.97, 381.0, 46.53]"
294,,,1288,"[1272.2489999999998, 85.0, 57.42, 134.0, 194.04, 140.0, 34.0]"
295,,,4783,"[250.27200000000002, 0.0, 113.85, 19.0, 8.91, 0.0, 17.82]"
296,,,4783,"[3546.3, 477.0, 334.0, 42.57, 145.53, 148.0, 53.46]"
297,,,647,"[3631.4, 502.0, 371.25, 23.759999999999998, 144.0, 155.43, 50.49]"
298,,,2274,"[466.488, 0.0, 278.0, 0.0, 0.0, 0.0, 24.0]"
299,,,3869,"[974.5559999999999, 74.25, 48.0, 93.0, 166.0, 106.0, 15.0]"
300,,,98,"[534.6, 34.0, 90.09, 26.0, 44.55, 35.64, 20.79]"
301,,,4128,"[1259.28, 180.18, 15.84, 10.89, 68.31, 281.0, 2.9699999999999998]"
303,,,708,"[404.415, 8.0, 154.44, 5.9399999999999995, 7.92, 5.9399999999999995, 20.79]"
304,,,4783,"[249.381, 4.95, 63.0, 21.0, 16.83, 12.0, 13.86]"
305,,,4270,"[404.5, 20.0, 148.0, 30.69, 17.82, 44.55, 12.87]"
