u,i1,i2,nl
28,,,"[377.3, 45.0, 29.0, 25.0, 12.0, 21.0, 10.0]"
29,,,"[988.1, 122.0, 71.0, 93.0, 64.0, 112.0, 14.0]"
30,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
31,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
32,,,"[144.7, 11.0, 32.0, 30.0, 3.0, 20.0, 6.0]"
33,,,"[262.9, 23.0, 95.0, 6.0, 6.0, 40.0, 9.0]"
34,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
35,,,"[64.4, 0.0, 69.0, 0.0, 0.0, 0.0, 5.0]"
36,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
37,,,"[346.1, 33.0, 14.0, 24.0, 56.0, 34.0, 3.0]"
38,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
39,,,"[384.1, 33.0, 4.0, 49.0, 43.0, 39.0, 7.0]"
40,,,"[272.2, 22.0, 10.0, 20.0, 50.0, 42.0, 3.0]"
41,,,"[233.9, 15.0, 32.0, 24.0, 12.0, 24.0, 12.0]"
42,,,"[473.8, 30.0, 26.0, 74.0, 64.0, 21.0, 14.0]"
43,,,"[309.8, 10.0, 36.0, 49.0, 88.0, 6.0, 5.0]"
44,,,"[363.5, 20.0, 15.0, 11.0, 102.0, 25.0, 2.0]"
45,,,"[97.4, 2.0, 9.0, 5.0, 28.0, 2.0, 1.0]"
46,,,"[313.7, 26.0, 21.0, 23.0, 39.0, 37.0, 6.0]"
47,,,"[223.9, 8.0, 18.0, 10.0, 11.0, 15.0, 12.0]"
48,,,"[164.7, 20.0, 10.0, 11.0, 0.0, 9.0, 3.0]"
49,,,"[293.7, 18.0, 78.0, 7.0, 9.0, 27.0, 13.0]"
50,,,"[315.7, 14.0, 31.0, 4.0, 86.0, 11.0, 4.0]"
51,,,"[367.0, 31.0, 101.0, 10.0, 9.0, 12.0, 14.0]"
52,,,"[1039.6, 70.0, 367.0, 25.0, 29.0, 138.0, 48.0]"
53,,,"[301.1, 20.0, 49.0, 54.0, 59.0, 38.0, 5.0]"
54,,,"[1039.6, 70.0, 367.0, 25.0, 29.0, 138.0, 48.0]"
55,,,"[275.0, 28.0, 5.0, 55.0, 43.0, 54.0, 1.0]"
56,,,"[385.9, 39.0, 11.0, 33.0, 23.0, 62.0, 9.0]"
57,,,"[115.5, 2.0, 7.0, 4.0, 7.0, 1.0, 7.0]"
58,,,"[436.4, 21.0, 29.0, 18.0, 63.0, 30.0, 14.0]"
59,,,"[634.9, 40.0, 37.0, 18.0, 141.0, 19.0, 6.0]"
60,,,"[658.2, 45.0, 151.0, 35.0, 24.0, 72.0, 29.0]"
61,,,"[389.6, 17.0, 7.0, 9.0, 128.0, 10.0, 1.0]"
62,,,"[658.2, 45.0, 151.0, 35.0, 24.0, 72.0, 29.0]"
63,,,"[658.2, 45.0, 151.0, 35.0, 24.0, 72.0, 29.0]"
64,,,"[207.2, 13.0, 1.0, 8.0, 57.0, 25.0, 0.0]"
65,,,"[183.1, 5.0, 59.0, 15.0, 9.0, 3.0, 10.0]"
66,,,"[658.2, 45.0, 151.0, 35.0, 24.0, 72.0, 29.0]"
67,,,"[266.2, 17.0, 5.0, 6.0, 18.0, 31.0, 10.0]"
68,,,"[228.2, 2.0, 2.0, 8.0, 9.0, 1.0, 15.0]"
69,,,"[219.7, 27.0, 11.0, 1.0, 2.0, 12.0, 4.0]"
70,,,"[228.2, 2.0, 2.0, 8.0, 9.0, 1.0, 15.0]"
71,,,"[215.7, 5.0, 25.0, 33.0, 17.0, 3.0, 13.0]"
72,,,"[373.6, 42.0, 4.0, 26.0, 18.0, 80.0, 2.0]"
73,,,"[258.3, 12.0, 22.0, 8.0, 18.0, 6.0, 13.0]"
74,,,"[368.2, 19.0, 183.0, 4.0, 5.0, 37.0, 21.0]"
75,,,"[285.3, 18.0, 10.0, 4.0, 10.0, 36.0, 13.0]"
76,,,"[183.2, 3.0, 115.0, 5.0, 19.0, 6.0, 10.0]"
77,,,"[292.0, 12.0, 8.0, 37.0, 94.0, 13.0, 1.0]"
78,,,"[218.9, 15.0, 34.0, 12.0, 9.0, 5.0, 10.0]"
79,,,"[310.2, 24.0, 32.0, 10.0, 55.0, 20.0, 4.0]"
80,,,"[218.0, 23.0, 40.0, 71.0, 10.0, 10.0, 7.0]"
81,,,"[183.2, 3.0, 115.0, 5.0, 19.0, 6.0, 10.0]"
82,,,"[326.9, 3.0, 9.0, 24.0, 18.0, 1.0, 22.0]"
83,,,"[261.2, 26.0, 11.0, 33.0, 23.0, 31.0, 5.0]"
84,,,"[524.5, 40.0, 195.0, 13.0, 12.0, 49.0, 24.0]"
85,,,"[291.6, 20.0, 52.0, 22.0, 18.0, 15.0, 12.0]"
86,,,"[112.9, 5.0, 35.0, 4.0, 8.0, 2.0, 7.0]"
87,,,"[135.9, 7.0, 23.0, 50.0, 4.0, 3.0, 7.0]"
88,,,"[388.8, 24.0, 17.0, 21.0, 25.0, 40.0, 17.0]"
89,,,"[305.6, 19.0, 103.0, 9.0, 18.0, 35.0, 13.0]"
90,,,"[221.0, 5.0, 119.0, 0.0, 2.0, 11.0, 10.0]"
91,,,"[417.8, 43.0, 19.0, 33.0, 31.0, 79.0, 8.0]"
92,,,"[306.0, 18.0, 105.0, 3.0, 13.0, 23.0, 16.0]"
93,,,"[734.4, 82.0, 1.0, 16.0, 97.0, 159.0, 2.0]"
94,,,"[307.9, 23.0, 15.0, 23.0, 17.0, 32.0, 12.0]"
95,,,"[330.2, 20.0, 22.0, 46.0, 84.0, 14.0, 2.0]"
96,,,"[554.1, 43.0, 51.0, 75.0, 79.0, 48.0, 10.0]"
97,,,"[305.4, 28.0, 20.0, 8.0, 44.0, 24.0, 5.0]"
98,,,"[271.6, 34.0, 10.0, 8.0, 26.0, 38.0, 1.0]"
99,,,"[318.1, 42.0, 1.0, 11.0, 30.0, 72.0, 0.0]"
100,,,"[276.2, 19.0, 115.0, 47.0, 9.0, 39.0, 10.0]"
101,,,"[301.1, 31.0, 11.0, 25.0, 22.0, 29.0, 7.0]"
102,,,"[301.1, 31.0, 11.0, 25.0, 22.0, 29.0, 7.0]"
103,,,"[303.9, 26.0, 1.0, 35.0, 65.0, 20.0, 0.0]"
104,,,"[261.0, 13.0, 1.0, 9.0, 81.0, 8.0, 0.0]"
105,,,"[352.4, 26.0, 15.0, 7.0, 14.0, 50.0, 14.0]"
106,,,"[396.0, 46.0, 7.0, 62.0, 37.0, 70.0, 3.0]"
107,,,"[542.5, 36.0, 32.0, 41.0, 81.0, 42.0, 12.0]"
108,,,"[281.3, 17.0, 13.0, 16.0, 39.0, 17.0, 7.0]"
109,,,"[565.2, 44.0, 12.0, 15.0, 39.0, 89.0, 19.0]"
110,,,"[321.6, 20.0, 53.0, 10.0, 7.0, 13.0, 16.0]"
111,,,"[643.5, 41.0, 33.0, 49.0, 53.0, 42.0, 24.0]"
112,,,"[288.1, 39.0, 10.0, 17.0, 18.0, 35.0, 2.0]"
113,,,"[722.7, 35.0, 255.0, 13.0, 15.0, 98.0, 42.0]"
114,,,"[349.1, 37.0, 9.0, 23.0, 38.0, 53.0, 4.0]"
115,,,"[231.5, 12.0, 67.0, 4.0, 5.0, 25.0, 12.0]"
116,,,"[150.7, 11.0, 29.0, 6.0, 5.0, 11.0, 6.0]"
117,,,"[150.7, 11.0, 29.0, 6.0, 5.0, 11.0, 6.0]"
118,,,"[172.9, 8.0, 17.0, 6.0, 8.0, 6.0, 9.0]"
119,,,"[154.2, 0.0, 145.0, 0.0, 0.0, 0.0, 13.0]"
120,,,"[200.3, 8.0, 30.0, 32.0, 28.0, 10.0, 8.0]"
121,,,"[407.0, 25.0, 84.0, 3.0, 80.0, 24.0, 7.0]"
122,,,"[182.5, 12.0, 75.0, 2.0, 6.0, 17.0, 8.0]"
123,,,"[312.1, 22.0, 78.0, 52.0, 50.0, 24.0, 6.0]"
124,,,"[280.6, 15.0, 26.0, 39.0, 27.0, 9.0, 12.0]"
125,,,"[79.6, 0.0, 56.0, 0.0, 1.0, 0.0, 6.0]"
126,,,"[337.1, 14.0, 25.0, 19.0, 45.0, 6.0, 12.0]"
127,,,"[359.0, 19.0, 25.0, 77.0, 53.0, 25.0, 12.0]"
128,,,"[359.0, 19.0, 25.0, 77.0, 53.0, 25.0, 12.0]"
129,,,"[431.2, 55.0, 55.0, 2.0, 8.0, 107.0, 9.0]"
130,,,"[333.5, 0.0, 276.0, 0.0, 3.0, 0.0, 28.0]"
131,,,"[352.4, 26.0, 15.0, 7.0, 14.0, 50.0, 14.0]"
132,,,"[267.9, 2.0, 90.0, 167.0, 3.0, 1.0, 13.0]"
133,,,"[348.9, 10.0, 11.0, 13.0, 15.0, 5.0, 21.0]"
134,,,"[1466.3, 111.0, 319.0, 46.0, 182.0, 178.0, 37.0]"
135,,,"[427.2, 2.0, 54.0, 27.0, 57.0, 1.0, 25.0]"
136,,,"[145.8, 12.0, 2.0, 0.0, 7.0, 5.0, 5.0]"
137,,,"[294.0, 7.0, 198.0, 10.0, 7.0, 20.0, 19.0]"
138,,,"[254.8, 22.0, 89.0, 105.0, 11.0, 9.0, 10.0]"
139,,,"[285.8, 16.0, 133.0, 8.0, 6.0, 31.0, 15.0]"
140,,,"[415.8, 39.0, 14.0, 5.0, 76.0, 15.0, 2.0]"
141,,,"[263.6, 32.0, 10.0, 2.0, 7.0, 14.0, 3.0]"
142,,,"[377.4, 44.0, 7.0, 17.0, 27.0, 58.0, 4.0]"
143,,,"[318.9, 32.0, 16.0, 21.0, 47.0, 39.0, 2.0]"
144,,,"[377.4, 44.0, 7.0, 17.0, 27.0, 58.0, 4.0]"
145,,,"[436.4, 21.0, 29.0, 18.0, 63.0, 30.0, 14.0]"
146,,,"[246.5, 24.0, 11.0, 61.0, 40.0, 26.0, 1.0]"
147,,,"[441.4, 24.0, 21.0, 2.0, 24.0, 12.0, 21.0]"
148,,,"[441.4, 24.0, 21.0, 2.0, 24.0, 12.0, 21.0]"
149,,,"[102.4, 5.0, 44.0, 0.0, 4.0, 2.0, 5.0]"
150,,,"[205.1, 12.0, 59.0, 29.0, 32.0, 12.0, 5.0]"
151,,,"[235.7, 9.0, 178.0, 6.0, 0.0, 8.0, 15.0]"
152,,,"[208.1, 10.0, 97.0, 1.0, 3.0, 30.0, 12.0]"
153,,,"[47.2, 3.0, 14.0, 1.0, 5.0, 6.0, 1.0]"
154,,,"[115.5, 15.0, 11.0, 1.0, 2.0, 7.0, 2.0]"
155,,,"[106.5, 5.0, 38.0, 2.0, 3.0, 9.0, 5.0]"
156,,,"[478.7, 33.0, 14.0, 5.0, 18.0, 67.0, 21.0]"
157,,,"[317.6, 33.0, 4.0, 14.0, 56.0, 51.0, 0.0]"
158,,,"[345.0, 33.0, 13.0, 28.0, 16.0, 59.0, 10.0]"
159,,,"[299.3, 18.0, 46.0, 9.0, 63.0, 14.0, 5.0]"
160,,,"[288.1, 15.0, 5.0, 29.0, 43.0, 22.0, 9.0]"
161,,,"[5707.0, 561.0, 2214.0, 98.0, 87.0, 722.0, 204.0]"
162,,,"[244.2, 18.0, 11.0, 42.0, 36.0, 11.0, 6.0]"
163,,,"[244.2, 18.0, 11.0, 42.0, 36.0, 11.0, 6.0]"
164,,,"[300.9, 12.0, 57.0, 23.0, 59.0, 12.0, 10.0]"
165,,,"[310.2, 47.0, 17.0, 14.0, 3.0, 21.0, 3.0]"
166,,,"[480.4, 17.0, 108.0, 9.0, 128.0, 9.0, 9.0]"
167,,,"[121.6, 5.0, 15.0, 0.0, 17.0, 2.0, 5.0]"
168,,,"[292.0, 12.0, 8.0, 37.0, 94.0, 13.0, 1.0]"
169,,,"[137.2, 3.0, 65.0, 41.0, 7.0, 1.0, 9.0]"
170,,,"[394.9, 28.0, 124.0, 20.0, 11.0, 42.0, 17.0]"
171,,,"[171.4, 22.0, 22.0, 11.0, 3.0, 45.0, 3.0]"
172,,,"[261.8, 5.0, 32.0, 18.0, 28.0, 4.0, 14.0]"
173,,,"[30.4, 0.0, 12.0, 49.0, 2.0, 0.0, 2.0]"
174,,,"[30.4, 0.0, 12.0, 49.0, 2.0, 0.0, 2.0]"
175,,,"[223.7, 2.0, 1.0, 24.0, 63.0, 2.0, 6.0]"
176,,,"[382.8, 25.0, 23.0, 27.0, 38.0, 22.0, 13.0]"
177,,,"[221.0, 7.0, 5.0, 0.0, 13.0, 3.0, 12.0]"
178,,,"[30.4, 0.0, 12.0, 49.0, 2.0, 0.0, 2.0]"
179,,,"[274.9, 21.0, 93.0, 3.0, 15.0, 43.0, 12.0]"
180,,,"[586.4, 38.0, 21.0, 43.0, 39.0, 20.0, 24.0]"
181,,,"[348.2, 14.0, 14.0, 18.0, 97.0, 12.0, 4.0]"
182,,,"[351.1, 8.0, 40.0, 15.0, 18.0, 4.0, 22.0]"
183,,,"[234.5, 13.0, 1.0, 29.0, 17.0, 22.0, 8.0]"
184,,,"[280.8, 39.0, 4.0, 22.0, 4.0, 46.0, 1.0]"
185,,,"[262.9, 23.0, 95.0, 6.0, 6.0, 40.0, 9.0]"
186,,,"[1552.7, 194.0, 12.0, 59.0, 111.0, 271.0, 8.0]"
187,,,"[366.1, 36.0, 22.0, 48.0, 27.0, 71.0, 8.0]"
188,,,"[271.6, 34.0, 10.0, 8.0, 26.0, 38.0, 1.0]"
189,,,"[297.7, 13.0, 15.0, 3.0, 20.0, 7.0, 16.0]"
190,,,"[308.9, 20.0, 98.0, 51.0, 18.0, 21.0, 13.0]"
191,,,"[215.4, 16.0, 90.0, 9.0, 5.0, 45.0, 9.0]"
192,,,"[594.1, 66.0, 8.0, 68.0, 75.0, 114.0, 4.0]"
193,,,"[270.8, 14.0, 21.0, 55.0, 58.0, 18.0, 5.0]"
194,,,"[1041.1, 24.0, 2.0, 48.0, 54.0, 11.0, 64.0]"
195,,,"[489.4, 32.0, 169.0, 30.0, 12.0, 64.0, 23.0]"
196,,,"[317.6, 33.0, 4.0, 14.0, 56.0, 51.0, 0.0]"
197,,,"[275.6, 18.0, 32.0, 27.0, 52.0, 23.0, 5.0]"
198,,,"[516.9, 45.0, 145.0, 19.0, 11.0, 49.0, 19.0]"
199,,,"[384.5, 40.0, 3.0, 25.0, 54.0, 33.0, 2.0]"
200,,,"[401.7, 28.0, 198.0, 12.0, 7.0, 62.0, 19.0]"
201,,,"[416.7, 44.0, 3.0, 87.0, 62.0, 19.0, 0.0]"
202,,,"[64.7, 1.0, 16.0, 3.0, 4.0, 0.0, 4.0]"
203,,,"[385.3, 35.0, 0.0, 12.0, 15.0, 24.0, 12.0]"
204,,,"[270.4, 12.0, 4.0, 9.0, 75.0, 6.0, 2.0]"
205,,,"[225.1, 22.0, 21.0, 13.0, 23.0, 25.0, 3.0]"
206,,,"[225.1, 22.0, 21.0, 13.0, 23.0, 25.0, 3.0]"
207,,,"[384.1, 24.0, 132.0, 12.0, 8.0, 26.0, 18.0]"
208,,,"[315.5, 23.0, 108.0, 6.0, 6.0, 46.0, 14.0]"
209,,,"[457.6, 35.0, 139.0, 17.0, 11.0, 76.0, 19.0]"
210,,,"[457.6, 35.0, 139.0, 17.0, 11.0, 76.0, 19.0]"
211,,,"[412.6, 41.0, 26.0, 39.0, 66.0, 61.0, 3.0]"
212,,,"[457.6, 35.0, 139.0, 17.0, 11.0, 76.0, 19.0]"
213,,,"[638.6, 72.0, 0.0, 32.0, 99.0, 61.0, 0.0]"
214,,,"[383.2, 45.0, 58.0, 7.0, 12.0, 76.0, 8.0]"
215,,,"[471.3, 14.0, 21.0, 21.0, 64.0, 11.0, 18.0]"
216,,,"[288.1, 39.0, 10.0, 17.0, 18.0, 35.0, 2.0]"
217,,,"[457.6, 35.0, 139.0, 17.0, 11.0, 76.0, 19.0]"
218,,,"[457.6, 35.0, 139.0, 17.0, 11.0, 76.0, 19.0]"
219,,,"[353.5, 7.0, 43.0, 57.0, 42.0, 3.0, 19.0]"
220,,,"[264.5, 12.0, 145.0, 2.0, 8.0, 24.0, 14.0]"
221,,,"[243.1, 17.0, 11.0, 24.0, 52.0, 12.0, 2.0]"
222,,,"[34.3, 2.0, 10.0, 1.0, 0.0, 1.0, 1.0]"
223,,,"[480.8, 32.0, 6.0, 27.0, 48.0, 24.0, 16.0]"
224,,,"[599.9, 44.0, 1.0, 11.0, 156.0, 64.0, 0.0]"
225,,,"[599.9, 44.0, 1.0, 11.0, 156.0, 64.0, 0.0]"
226,,,"[228.7, 20.0, 1.0, 20.0, 48.0, 18.0, 0.0]"
227,,,"[599.9, 44.0, 1.0, 11.0, 156.0, 64.0, 0.0]"
228,,,"[2141.5, 170.0, 1164.0, 23.0, 20.0, 340.0, 103.0]"
229,,,"[599.9, 44.0, 1.0, 11.0, 156.0, 64.0, 0.0]"
230,,,"[412.6, 41.0, 26.0, 39.0, 66.0, 61.0, 3.0]"
231,,,"[276.7, 11.0, 17.0, 36.0, 30.0, 5.0, 13.0]"
232,,,"[516.9, 45.0, 145.0, 19.0, 11.0, 49.0, 19.0]"
233,,,"[240.9, 13.0, 41.0, 51.0, 48.0, 3.0, 5.0]"
234,,,"[242.2, 16.0, 10.0, 19.0, 21.0, 34.0, 8.0]"
235,,,"[426.1, 32.0, 3.0, 26.0, 77.0, 64.0, 4.0]"
236,,,"[372.7, 22.0, 16.0, 11.0, 22.0, 23.0, 16.0]"
237,,,"[378.2, 46.0, 0.0, 32.0, 32.0, 65.0, 3.0]"
238,,,"[171.4, 22.0, 22.0, 11.0, 3.0, 45.0, 3.0]"
239,,,"[296.2, 9.0, 123.0, 7.0, 12.0, 16.0, 18.0]"
240,,,"[273.4, 19.0, 3.0, 24.0, 50.0, 24.0, 3.0]"
241,,,"[270.2, 10.0, 21.0, 66.0, 66.0, 9.0, 6.0]"
242,,,"[295.2, 11.0, 30.0, 33.0, 22.0, 6.0, 15.0]"
243,,,"[292.9, 16.0, 13.0, 29.0, 36.0, 24.0, 10.0]"
244,,,"[170.9, 14.0, 13.0, 10.0, 6.0, 27.0, 6.0]"
245,,,"[271.8, 24.0, 46.0, 30.0, 28.0, 22.0, 6.0]"
246,,,"[374.1, 35.0, 98.0, 16.0, 10.0, 29.0, 13.0]"
247,,,"[275.8, 19.0, 23.0, 38.0, 46.0, 32.0, 5.0]"
248,,,"[317.6, 33.0, 4.0, 14.0, 56.0, 51.0, 0.0]"
249,,,"[362.3, 31.0, 1.0, 33.0, 68.0, 38.0, 2.0]"
250,,,"[178.8, 23.0, 0.0, 13.0, 16.0, 47.0, 0.0]"
251,,,"[377.4, 44.0, 7.0, 17.0, 27.0, 58.0, 4.0]"
252,,,"[148.8, 12.0, 46.0, 5.0, 3.0, 23.0, 5.0]"
253,,,"[528.0, 28.0, 249.0, 22.0, 16.0, 30.0, 29.0]"
254,,,"[302.3, 25.0, 20.0, 26.0, 19.0, 16.0, 11.0]"
255,,,"[722.7, 35.0, 255.0, 13.0, 15.0, 98.0, 42.0]"
256,,,"[300.5, 10.0, 2.0, 14.0, 20.0, 13.0, 17.0]"
257,,,"[300.5, 10.0, 2.0, 14.0, 20.0, 13.0, 17.0]"
258,,,"[300.5, 10.0, 2.0, 14.0, 20.0, 13.0, 17.0]"
259,,,"[260.8, 11.0, 7.0, 34.0, 14.0, 5.0, 13.0]"
260,,,"[337.4, 29.0, 20.0, 39.0, 43.0, 35.0, 6.0]"
261,,,"[326.4, 14.0, 99.0, 14.0, 11.0, 25.0, 18.0]"
262,,,"[430.1, 27.0, 101.0, 55.0, 67.0, 22.0, 12.0]"
263,,,"[232.8, 24.0, 7.0, 37.0, 32.0, 39.0, 1.0]"
264,,,"[367.7, 52.0, 8.0, 4.0, 18.0, 27.0, 2.0]"
265,,,"[154.8, 11.0, 42.0, 1.0, 3.0, 22.0, 6.0]"
266,,,"[261.9, 28.0, 3.0, 13.0, 37.0, 47.0, 1.0]"
267,,,"[305.4, 28.0, 20.0, 8.0, 44.0, 24.0, 5.0]"
268,,,"[345.4, 31.0, 1.0, 11.0, 39.0, 54.0, 7.0]"
269,,,"[435.4, 31.0, 24.0, 31.0, 95.0, 21.0, 4.0]"
270,,,"[112.5, 9.0, 37.0, 5.0, 2.0, 18.0, 4.0]"
271,,,"[390.6, 41.0, 1.0, 19.0, 58.0, 37.0, 2.0]"
272,,,"[352.4, 31.0, 12.0, 18.0, 15.0, 53.0, 11.0]"
273,,,"[230.5, 21.0, 75.0, 6.0, 4.0, 39.0, 8.0]"
274,,,"[366.0, 19.0, 0.0, 15.0, 124.0, 24.0, 0.0]"
275,,,"[219.8, 14.0, 47.0, 3.0, 9.0, 13.0, 9.0]"
276,,,"[424.8, 39.0, 4.0, 15.0, 17.0, 76.0, 13.0]"
277,,,"[239.1, 19.0, 42.0, 8.0, 7.0, 11.0, 9.0]"
278,,,"[205.3, 14.0, 7.0, 4.0, 8.0, 19.0, 8.0]"
279,,,"[390.2, 45.0, 2.0, 21.0, 55.0, 78.0, 0.0]"
280,,,"[230.5, 21.0, 75.0, 6.0, 4.0, 39.0, 8.0]"
281,,,"[230.5, 21.0, 75.0, 6.0, 4.0, 39.0, 8.0]"
282,,,"[421.4, 35.0, 10.0, 31.0, 83.0, 59.0, 3.0]"
283,,,"[373.5, 28.0, 5.0, 27.0, 43.0, 50.0, 9.0]"
284,,,"[391.0, 26.0, 16.0, 17.0, 25.0, 37.0, 15.0]"
285,,,"[230.5, 21.0, 75.0, 6.0, 4.0, 39.0, 8.0]"
286,,,"[230.5, 21.0, 75.0, 6.0, 4.0, 39.0, 8.0]"
287,,,"[230.5, 21.0, 75.0, 6.0, 4.0, 39.0, 8.0]"
288,,,"[299.3, 15.0, 127.0, 9.0, 6.0, 12.0, 16.0]"
289,,,"[230.5, 21.0, 75.0, 6.0, 4.0, 39.0, 8.0]"
290,,,"[414.6, 23.0, 24.0, 40.0, 27.0, 44.0, 18.0]"
291,,,"[420.0, 29.0, 168.0, 14.0, 9.0, 39.0, 19.0]"
292,,,"[230.5, 21.0, 75.0, 6.0, 4.0, 39.0, 8.0]"
293,,,"[270.8, 14.0, 21.0, 55.0, 58.0, 18.0, 5.0]"
294,,,"[230.5, 21.0, 75.0, 6.0, 4.0, 39.0, 8.0]"
295,,,"[270.8, 14.0, 21.0, 55.0, 58.0, 18.0, 5.0]"
296,,,"[475.0, 40.0, 11.0, 25.0, 69.0, 36.0, 7.0]"
297,,,"[453.1, 25.0, 226.0, 17.0, 9.0, 27.0, 24.0]"
298,,,"[453.1, 25.0, 226.0, 17.0, 9.0, 27.0, 24.0]"
299,,,"[351.2, 36.0, 3.0, 20.0, 35.0, 70.0, 5.0]"
300,,,"[453.1, 25.0, 226.0, 17.0, 9.0, 27.0, 24.0]"
301,,,"[453.1, 25.0, 226.0, 17.0, 9.0, 27.0, 24.0]"
302,,,"[544.8, 64.0, 11.0, 34.0, 22.0, 109.0, 11.0]"
303,,,"[378.2, 46.0, 0.0, 32.0, 32.0, 65.0, 3.0]"
304,,,"[733.9, 88.0, 137.0, 7.0, 31.0, 31.0, 16.0]"
305,,,"[275.2, 25.0, 9.0, 49.0, 16.0, 14.0, 11.0]"
306,,,"[393.7, 26.0, 11.0, 9.0, 45.0, 20.0, 2.0]"
307,,,"[233.9, 15.0, 32.0, 24.0, 12.0, 24.0, 12.0]"
308,,,"[424.8, 39.0, 4.0, 15.0, 17.0, 76.0, 13.0]"
309,,,"[370.6, 45.0, 4.0, 16.0, 49.0, 81.0, 1.0]"
310,,,"[380.5, 21.0, 185.0, 12.0, 10.0, 49.0, 20.0]"
311,,,"[198.4, 7.0, 72.0, 2.0, 12.0, 11.0, 10.0]"
312,,,"[289.8, 13.0, 180.0, 1.0, 4.0, 26.0, 18.0]"
313,,,"[183.1, 5.0, 59.0, 15.0, 9.0, 3.0, 10.0]"
314,,,"[152.6, 7.0, 24.0, 45.0, 34.0, 9.0, 4.0]"
315,,,"[242.6, 20.0, 34.0, 32.0, 33.0, 32.0, 5.0]"
316,,,"[595.4, 39.0, 19.0, 22.0, 97.0, 41.0, 13.0]"
317,,,"[423.5, 29.0, 3.0, 99.0, 66.0, 45.0, 9.0]"
318,,,"[351.2, 36.0, 3.0, 20.0, 35.0, 70.0, 5.0]"
319,,,"[300.6, 4.0, 39.0, 14.0, 10.0, 6.0, 20.0]"
320,,,"[984.5, 61.0, 160.0, 28.0, 185.0, 75.0, 18.0]"
321,,,"[359.1, 29.0, 5.0, 41.0, 51.0, 36.0, 6.0]"
322,,,"[349.6, 19.0, 15.0, 5.0, 15.0, 40.0, 17.0]"
323,,,"[226.2, 20.0, 87.0, 0.0, 3.0, 34.0, 9.0]"
324,,,"[307.0, 23.0, 3.0, 34.0, 80.0, 42.0, 1.0]"
325,,,"[221.5, 7.0, 13.0, 1.0, 11.0, 5.0, 13.0]"
326,,,"[342.5, 33.0, 94.0, 14.0, 8.0, 44.0, 12.0]"
327,,,"[321.4, 29.0, 9.0, 40.0, 45.0, 43.0, 4.0]"
328,,,"[224.9, 4.0, 47.0, 7.0, 12.0, 3.0, 14.0]"
329,,,"[2161.0, 154.0, 1083.0, 32.0, 66.0, 93.0, 102.0]"
330,,,"[327.1, 41.0, 1.0, 5.0, 23.0, 32.0, 1.0]"
331,,,"[467.6, 41.0, 1.0, 47.0, 84.0, 71.0, 4.0]"
