user,include,item list
36,5319,"[744, 2251, 1532, 3091, 2646, 2654, 4195, 1102, 1548, 4211]"
37,2320,"[3732, 2646, 979, 3018, 1611, 1174, 2970, 1667, 3782, 1559]"
38,5298,"[1854, 2250, 3888, 3647, 845, 3519, 4340, 710, 2632, 2026]"
39,4623,"[2095, 1306, 4968, 1102, 4194, 3196, 160, 3001, 2034, 1794]"
40,3440,"[4954, 4716, 191, 251, 3584, 4751, 184, 4292, 2392, 2799]"
41,5966,"[839, 2657, 3880, 1517, 3003, 1912, 137, 3895, 122, 4319]"
42,7655,"[4783, 3444, 112, 459, 2848, 956, 4226, 816, 3267, 1578]"
43,2856,"[3182, 4683, 2773, 252, 2548, 2778, 2063, 4686, 4564, 96]"
44,5825,"[4893, 1549, 2326, 2987, 3528, 3227, 2795, 1128, 4570, 4622]"
45,5185,"[1611, 940, 1089, 668, 4950, 3300, 1980, 665, 4234, 4748]"
46,4308,"[1740, 3791, 4814, 2988, 3073, 983, 3058, 1927, 152, 4778]"
47,7367,"[1984, 125, 1684, 882, 211, 2944, 4899, 4642, 941, 2452]"
48,1388,"[1684, 2614, 2749, 3453, 4573, 2532, 2223, 2260, 3063, 4599]"
49,3497,"[3555, 1400, 1628, 3650, 2984, 177, 423, 2996, 3861, 465]"
50,4717,"[3953, 2422, 3459, 3650, 2924, 1713, 4005, 2412, 3685, 643]"
51,3217,"[3685, 874, 2549, 465, 4986, 1548, 3128, 4829, 135, 2651]"
52,2320,"[4730, 4564, 3342, 1174, 1667, 174, 2970, 1611, 2496, 3768]"
53,1329,"[2549, 4247, 1587, 2953, 4233, 3675, 2377, 2970, 840, 984]"
54,1329,"[505, 1548, 2384, 3424, 4477, 2101, 2377, 193, 3037, 2058]"
55,5915,"[1150, 3347, 4752, 3565, 3537, 2347, 3827, 870, 2179, 3648]"
56,800,"[740, 4091, 1646, 2549, 4115, 2996, 1621, 98, 1812, 2033]"
57,5825,"[1121, 4783, 2607, 4893, 4193, 3227, 489, 2608, 2326, 663]"
58,5319,"[2674, 1169, 953, 4918, 1632, 4211, 4836, 2251, 1270, 3243]"
59,4717,"[3459, 2830, 3685, 2638, 3677, 4493, 2281, 617, 4622, 586]"
60,1833,"[2025, 1076, 1013, 1705, 845, 1263, 4493, 2263, 3143, 4336]"
61,1168,"[145, 530, 3459, 2210, 2392, 294, 4001, 4297, 2105, 3462]"
62,3484,"[1492, 2158, 1037, 940, 1028, 4292, 1923, 4945, 3869, 3662]"
63,7258,"[276, 740, 106, 505, 1683, 4044, 4771, 1007, 1418, 4197]"
64,5648,"[145, 402, 3580, 1894, 704, 2430, 160, 4955, 189, 660]"
65,5695,"[4240, 2178, 2884, 2076, 3910, 2769, 3417, 2295, 4809, 4467]"
66,2320,"[1174, 2976, 1409, 3018, 885, 2496, 3732, 4640, 1556, 934]"
67,2509,"[331, 532, 1241, 2649, 2944, 852, 1357, 2319, 3619, 2440]"
68,3355,"[4463, 2342, 166, 3655, 2222, 3417, 3307, 4709, 1936, 3314]"
69,4096,"[2970, 1464, 2784, 309, 4847, 4760, 1097, 69, 2514, 343]"
70,6696,"[3071, 4069, 4283, 4098, 4963, 813, 4615, 457, 4396, 2575]"
71,3355,"[415, 2597, 2207, 4393, 3314, 2342, 2222, 3109, 1911, 3230]"
72,4987,"[284, 617, 1704, 4661, 4110, 333, 2833, 4757, 3467, 4319]"
73,5915,"[2988, 536, 1778, 4564, 1721, 2577, 3347, 4752, 3537, 1030]"
74,4863,"[145, 2349, 4005, 505, 4088, 2639, 21, 266, 159, 1993]"
75,2683,"[3185, 3397, 2160, 4599, 936, 2180, 4512, 3041, 2260, 3795]"
76,3484,"[4101, 70, 4963, 24, 1550, 458, 15, 2421, 1262, 4945]"
77,2832,"[928, 3496, 3386, 736, 3001, 14, 617, 1667, 845, 1162]"
78,2131,"[1821, 2251, 4626, 105, 4912, 2832, 411, 2147, 131, 2654]"
79,4253,[]
80,5695,"[2250, 1181, 3910, 3290, 4737, 2160, 1374, 2769, 3417, 4028]"
81,342,"[4960, 2649, 856, 1893, 192, 2119, 1116, 179, 255, 2470]"
82,4836,"[3238, 2586, 1236, 361, 3459, 4965, 495, 373, 1162, 2097]"
83,840,"[945, 186, 532, 3795, 4683, 2342, 3267, 2041, 284, 3372]"
84,3184,"[2848, 2912, 983, 4091, 1238, 157, 668, 3934, 1056, 1602]"
85,6324,"[3799, 660, 3102, 4590, 1429, 4867, 4922, 2388, 184, 3192]"
86,1168,"[145, 2392, 3888, 3459, 2179, 1877, 1695, 66, 1391, 505]"
87,5168,"[193, 4143, 686, 2501, 1960, 1270, 4226, 4766, 141, 2496]"
88,2320,"[3018, 2646, 1288, 3732, 2866, 934, 2639, 2970, 4954, 1030]"
89,4987,"[4874, 109, 617, 973, 4599, 2427, 4661, 366, 1713, 1084]"
90,4308,"[2988, 1740, 4412, 4778, 4836, 4049, 4814, 2458, 4676, 1084]"
91,1388,"[4501, 2614, 2260, 4599, 2544, 516, 2666, 4573, 811, 2223]"
92,6276,"[357, 1382, 2050, 130, 239, 361, 4005, 1074, 4349, 3635]"
93,3723,"[2311, 4396, 323, 1582, 459, 2342, 4757, 4661, 4098, 4086]"
94,3184,"[1118, 4091, 983, 1633, 4945, 2848, 4390, 4955, 10, 1556]"
95,3668,"[437, 4665, 1332, 2100, 870, 1491, 1431, 1795, 4245, 4302]"
96,7946,"[1711, 1611, 1270, 1673, 3259, 1324, 2800, 2136, 3347, 2394]"
97,1252,"[1519, 4533, 1821, 432, 3371, 1715, 4169, 1630, 3516, 4874]"
98,2816,"[160, 2452, 3636, 266, 283, 4524, 272, 54, 1667, 2536]"
99,7449,"[1355, 205, 1704, 203, 3445, 3439, 2319, 98, 95, 3483]"
100,7449,"[3314, 98, 4481, 2607, 95, 2958, 2295, 1343, 4981, 1812]"
101,2856,"[1698, 3685, 4955, 2229, 4564, 4433, 3753, 4767, 3432, 2778]"
102,5185,"[1728, 4234, 2651, 1480, 4826, 4578, 2392, 3735, 2681, 3243]"
103,2816,"[1197, 4842, 588, 336, 3459, 565, 1667, 4342, 2341, 3890]"
104,840,"[1894, 3459, 4561, 4793, 945, 3652, 988, 18, 3335, 3438]"
105,2856,"[570, 2436, 2937, 1698, 4110, 4714, 3753, 3333, 2548, 3467]"
106,6906,"[569, 2160, 98, 525, 4670, 1048, 1595, 10, 2614, 214]"
107,5966,"[3939, 3055, 784, 276, 3003, 1517, 371, 713, 3073, 2256]"
108,1388,"[2530, 4570, 4573, 415, 30, 2178, 750, 3949, 186, 180]"
109,3497,"[201, 1896, 1172, 3576, 2280, 4028, 4960, 3700, 3628, 2756]"
110,5825,"[1697, 4783, 4207, 2972, 571, 1128, 1946, 663, 2350, 4622]"
111,1119,"[1523, 1715, 3459, 2436, 3164, 2352, 1306, 2549, 3113, 2912]"
112,4574,"[252, 4799, 1922, 3923, 630, 2023, 320, 1479, 4726, 99]"
113,4308,"[4956, 2896, 4049, 983, 1927, 2377, 4349, 1740, 152, 4814]"
114,63,"[708, 2478, 4793, 3519, 2122, 3040, 1684, 2422, 333, 976]"
115,5695,"[2160, 3647, 182, 2295, 2250, 702, 3591, 470, 1979, 1613]"
116,2320,"[1667, 174, 4312, 1880, 2646, 1611, 934, 2866, 1341, 3732]"
117,3497,"[2756, 3650, 1846, 2996, 4960, 3700, 465, 3417, 3555, 4028]"
118,590,"[1517, 2861, 3565, 4826, 1715, 3795, 3735, 2454, 3335, 362]"
119,3484,"[2149, 2538, 4945, 2421, 3612, 3685, 3662, 1119, 1492, 1923]"
120,5966,"[1517, 4319, 4807, 556, 713, 1679, 3811, 276, 4974, 2968]"
121,1910,"[4722, 4005, 475, 845, 3066, 4489, 182, 1993, 4585, 4473]"
122,1252,"[1715, 1970, 1821, 1519, 2191, 3066, 4325, 520, 2784, 100]"
123,5915,"[4533, 4910, 3432, 713, 3516, 1030, 165, 2051, 200, 3849]"
124,5010,"[3292, 53, 3942, 72, 4561, 4512, 1464, 2439, 3795, 4164]"
125,4987,"[617, 1665, 2050, 1813, 3442, 4757, 4599, 818, 4661, 4171]"
126,1124,"[4090, 1762, 4778, 191, 3510, 3653, 2163, 302, 1856, 3677]"
127,4717,"[555, 3676, 45, 301, 1003, 2422, 2931, 2801, 2025, 4301]"
128,6906,"[4783, 647, 1252, 1984, 786, 1357, 2220, 3175, 3143, 1567]"
129,2148,"[4661, 4275, 1056, 2394, 600, 3963, 2455, 676, 1279, 3386]"
130,1329,"[193, 605, 2377, 2912, 1574, 4477, 1983, 2459, 3424, 3428]"
131,1910,"[2949, 4668, 3421, 1022, 416, 3918, 3066, 3290, 927, 4017]"
132,4253,"[3593, 772, 2639, 4337, 1522, 2349, 4491, 1178, 1501, 2135]"
133,7557,"[1122, 2666, 3555, 3152, 2756, 1331, 4126, 3463, 648, 704]"
134,5966,"[3337, 586, 2608, 2256, 4807, 2968, 3456, 1370, 54, 276]"
135,1252,"[439, 634, 323, 1715, 556, 388, 796, 4936, 4751, 1519]"
136,5915,"[2179, 3537, 3347, 1841, 1149, 4533, 3146, 1721, 3730, 4752]"
137,1910,"[2949, 416, 4005, 4594, 4895, 4545, 4911, 4299, 4830, 4656]"
138,6335,"[4615, 1178, 2458, 744, 64, 41, 2051, 923, 4907, 4396]"
139,7946,"[2549, 1611, 4248, 983, 2359, 1673, 2015, 146, 3286, 3344]"
140,5298,"[3519, 4690, 1339, 2828, 4393, 924, 2731, 3472, 2632, 845]"
141,342,"[630, 3406, 4960, 391, 554, 710, 288, 4254, 2649, 4268]"
142,4717,"[4005, 1171, 1715, 4573, 4961, 1106, 4888, 2508, 3034, 2160]"
143,3723,"[617, 4396, 1359, 4757, 2686, 4570, 323, 3950, 3275, 1335]"
144,5006,"[4091, 297, 4095, 2632, 3199, 2887, 2436, 4096, 453, 4950]"
145,3484,"[4398, 4765, 907, 455, 4945, 3612, 1871, 4382, 3685, 932]"
146,1124,"[1128, 3510, 4922, 4661, 855, 191, 1375, 4432, 4226, 4640]"
147,3484,"[1028, 3685, 2516, 1262, 1037, 614, 15, 4202, 1550, 4398]"
148,2131,"[855, 4560, 1069, 2251, 3942, 570, 2447, 105, 2689, 458]"
149,3184,"[1522, 4635, 2652, 1602, 1983, 660, 1087, 4945, 581, 4352]"
150,1511,"[2355, 647, 617, 3483, 710, 337, 1647, 938, 4789, 1813]"
151,7449,"[2478, 1684, 702, 2295, 2353, 1554, 2160, 4879, 2206, 3314]"
152,7258,"[3791, 276, 3869, 553, 4016, 1080, 2500, 3058, 2657, 4104]"
153,3497,"[2510, 3206, 2503, 2280, 3094, 3143, 211, 201, 132, 3285]"
154,1329,"[1983, 3424, 505, 2058, 4637, 69, 2384, 325, 73, 4477]"
155,1093,"[2639, 2232, 391, 2188, 3725, 3510, 2086, 3183, 1837, 3432]"
156,7258,"[3930, 4233, 1140, 740, 553, 3791, 1619, 1562, 3067, 1626]"
157,2320,"[3018, 2646, 60, 4338, 3782, 4954, 2976, 1174, 4640, 1409]"
158,3668,"[870, 2063, 4665, 2661, 796, 4245, 3575, 4670, 4772, 3431]"
159,2320,"[3732, 3342, 4564, 2976, 1409, 3768, 1514, 1686, 1667, 4640]"
160,840,"[3083, 3459, 4064, 4302, 1359, 3335, 3206, 617, 1475, 4071]"
161,4623,"[2988, 3375, 4723, 2370, 27, 3196, 2784, 2608, 2412, 4194]"
162,4574,"[1253, 99, 1550, 3935, 1922, 267, 3923, 2031, 4674, 909]"
163,4308,"[983, 2988, 4461, 198, 4049, 1020, 4097, 2843, 2500, 2118]"
164,3723,"[3715, 2098, 1563, 677, 300, 4396, 4963, 116, 2311, 1782]"
165,7258,"[2377, 2657, 4771, 740, 276, 2170, 106, 4001, 3869, 69]"
166,4964,"[647, 1854, 3198, 617, 1970, 2958, 4243, 4261, 4737, 4966]"
167,3355,"[2342, 837, 2597, 3307, 3314, 1943, 4457, 4709, 2905, 2847]"
168,332,"[98, 925, 18, 205, 3786, 4793, 3571, 1287, 571, 3242]"
169,7258,"[3450, 1080, 740, 2694, 437, 777, 2207, 3985, 2118, 2646]"
170,2509,"[3127, 554, 2726, 2503, 2440, 331, 488, 320, 2676, 4783]"
171,5825,"[4783, 2350, 2232, 1172, 1470, 1048, 2795, 2955, 1549, 1642]"
172,7655,"[786, 4234, 839, 1709, 4953, 3189, 2281, 2274, 54, 772]"
173,3440,"[4723, 2356, 1252, 99, 2799, 2743, 4047, 1538, 4283, 1870]"
174,3668,"[1484, 160, 437, 4665, 3431, 3313, 2063, 1431, 1332, 4670]"
175,6276,"[239, 3371, 4382, 4349, 88, 5, 4282, 3145, 960, 1288]"
176,5915,"[4432, 1008, 2988, 4533, 3432, 1791, 3775, 713, 1109, 565]"
177,5006,"[4091, 983, 4814, 1089, 679, 88, 193, 3732, 3217, 3810]"
178,7258,"[456, 1619, 952, 1409, 740, 4074, 3598, 69, 64, 276]"
179,6335,"[866, 4491, 1128, 2105, 14, 303, 4005, 4396, 2310, 4594]"
180,7557,"[953, 2160, 839, 49, 1087, 184, 4533, 4074, 1331, 3849]"
181,1168,"[3462, 3611, 3459, 1877, 3914, 2210, 145, 505, 3681, 2041]"
182,3502,"[2646, 4576, 425, 3628, 2652, 885, 2113, 4635, 723, 4396]"
183,8021,"[3565, 276, 2088, 4954, 2392, 2097, 1095, 895, 4096, 3153]"
184,3203,"[115, 1711, 4533, 3335, 1611, 813, 1735, 2743, 4292, 2538]"
185,3203,"[1611, 4691, 3262, 4270, 3932, 1050, 1174, 2639, 240, 4349]"
186,6324,[]
187,332,"[18, 2638, 4793, 45, 3423, 1472, 2189, 1599, 4071, 1733]"
188,6276,"[812, 4482, 115, 4867, 1278, 3731, 4683, 4704, 4337, 361]"
189,7233,"[3198, 4560, 2421, 2996, 3347, 4912, 3681, 1986, 3901, 223]"
190,7946,"[2549, 1711, 1736, 674, 3900, 544, 3018, 3652, 1611, 2494]"
191,3484,"[3795, 1871, 940, 1037, 4765, 2538, 4945, 1492, 108, 70]"
192,298,"[2608, 2957, 4005, 744, 4462, 4698, 1068, 3210, 296, 238]"
193,3497,"[2280, 989, 1896, 3700, 1628, 4256, 4960, 2756, 2951, 4394]"
194,3497,"[3700, 4798, 3545, 2740, 3576, 2280, 1242, 1014, 3628, 4028]"
195,3184,"[4069, 4598, 2523, 983, 2522, 4963, 295, 1551, 3047, 2912]"
196,4863,"[3061, 4497, 2639, 505, 1686, 4005, 145, 2931, 1633, 3928]"
197,4623,"[1736, 2256, 1980, 2, 2988, 1857, 3410, 289, 502, 2191]"
198,1329,"[73, 4477, 1235, 3428, 3424, 193, 505, 1957, 3932, 4390]"
199,2509,"[4783, 1357, 320, 1790, 488, 1116, 1287, 3498, 3269, 331]"
200,1119,"[2401, 3459, 3164, 4239, 4851, 4719, 2970, 1715, 404, 99]"
201,6270,"[4642, 3350, 2597, 2549, 2342, 3290, 3423, 2616, 925, 647]"
202,3484,[]
203,1388,"[3453, 2530, 516, 615, 2465, 4501, 988, 3063, 2544, 2731]"
204,2320,"[2639, 1200, 3228, 836, 3428, 3782, 2970, 3018, 3086, 4640]"
205,4574,"[252, 3616, 711, 320, 1922, 4674, 1548, 2221, 3670, 99]"
206,4308,"[4676, 1623, 2988, 1927, 2118, 4814, 4349, 839, 4546, 952]"
207,5168,"[3665, 1960, 4989, 1270, 193, 2301, 4524, 4652, 2501, 1653]"
208,1124,"[4432, 2968, 4047, 2139, 4226, 1169, 4778, 1762, 1988, 4661]"
209,342,"[4570, 2610, 2395, 255, 2650, 288, 3479, 710, 2031, 856]"
210,5185,"[668, 2392, 2162, 4169, 4877, 1139, 3243, 3735, 1348, 3183]"
211,6696,"[4091, 2912, 3740, 2500, 732, 4098, 4396, 4069, 2866, 3344]"
212,298,"[416, 4005, 3381, 1600, 1805, 3901, 4730, 238, 3210, 4961]"
213,3484,"[1430, 4398, 1075, 2149, 2538, 1266, 4101, 4945, 969, 2494]"
214,840,[]
215,7655,"[4396, 3868, 2274, 2453, 802, 2356, 112, 3393, 4128, 2874]"
216,5915,"[4576, 2988, 1240, 2577, 1841, 1162, 1087, 320, 1532, 3432]"
217,6276,"[4005, 4683, 4097, 3475, 2732, 1382, 4118, 4128, 3041, 361]"
218,1252,"[4012, 4143, 2179, 2459, 448, 4861, 1821, 4489, 2100, 1152]"
219,5168,"[565, 193, 302, 160, 3282, 4524, 3604, 2970, 3424, 4989]"
220,63,"[554, 2756, 4793, 234, 261, 708, 1287, 4798, 40, 1936]"
221,840,"[268, 3459, 33, 98, 4064, 4366, 4525, 998, 4071, 2401]"
222,4836,"[4344, 361, 1132, 1254, 2217, 3565, 2004, 184, 2586, 4194]"
223,7470,[]
224,1124,"[768, 3510, 1192, 458, 4195, 1324, 302, 1604, 4090, 704]"
225,3184,"[4642, 3282, 744, 3337, 38, 4091, 2294, 3565, 1837, 1983]"
226,3440,"[1252, 4954, 3794, 4169, 1708, 2799, 2678, 1013, 2300, 331]"
227,4096,"[14, 2970, 1464, 4760, 1684, 2665, 3982, 2794, 1679, 1715]"
228,7946,"[983, 1611, 2549, 3174, 88, 4689, 4290, 3438, 4574, 3781]"
229,1329,"[704, 2912, 505, 3037, 3428, 1373, 4477, 1548, 193, 2549]"
230,2509,"[532, 1287, 1116, 241, 1357, 4770, 3971, 320, 1241, 1812]"
231,3484,"[3869, 1430, 946, 70, 2599, 458, 4945, 1550, 3347, 4029]"
232,2816,"[4533, 1667, 2811, 2832, 4522, 829, 3753, 160, 2139, 1178]"
233,4623,"[4194, 3375, 4723, 2608, 4382, 2784, 2968, 3510, 544, 2597]"
234,1833,"[2616, 4776, 4396, 2146, 1431, 1705, 5, 2204, 2778, 2043]"
235,1257,"[1605, 1602, 3885, 2283, 586, 1276, 4005, 4995, 2548, 1429]"
236,5298,"[2222, 4481, 750, 3444, 802, 4340, 114, 1253, 3958, 4876]"
237,5185,"[12, 4382, 2021, 1611, 4950, 4169, 1762, 716, 3808, 4954]"
238,840,"[648, 1611, 2638, 664, 1698, 4793, 255, 3372, 916, 2607]"
239,5825,"[571, 248, 438, 936, 4813, 3185, 4783, 1706, 3865, 4893]"
240,7233,"[404, 3781, 4101, 3198, 3424, 3342, 4965, 2421, 4233, 509]"
241,342,"[554, 4140, 3019, 2098, 1116, 3909, 793, 856, 2803, 3009]"
242,63,"[2756, 708, 2646, 4793, 248, 4798, 40, 2445, 3278, 2664]"
243,2832,"[56, 617, 2811, 2990, 3663, 983, 3496, 3905, 3369, 3001]"
244,3440,"[4233, 4851, 4283, 1822, 4169, 2392, 2799, 3794, 1252, 2356]"
245,1252,"[4634, 4533, 4104, 1418, 390, 3785, 323, 2116, 4443, 3293]"
246,7557,"[2548, 1174, 69, 953, 648, 1287, 837, 2874, 2181, 116]"
247,63,"[2281, 4470, 1984, 2937, 2756, 44, 3910, 2619, 708, 1684]"
248,3502,"[2646, 4216, 480, 558, 802, 411, 3289, 106, 1695, 4390]"
249,298,"[2522, 4961, 3804, 2782, 4653, 416, 3144, 4005, 2301, 4752]"
250,7258,"[69, 4001, 2179, 2657, 777, 3017, 4074, 2694, 4197, 3985]"
251,5825,[]
252,7367,[]
253,5915,"[2899, 3565, 1030, 4489, 4615, 1994, 1217, 3347, 4267, 3432]"
254,2856,"[3432, 4683, 986, 3003, 1698, 558, 900, 713, 3685, 4767]"
255,7367,"[125, 4642, 2436, 882, 2204, 4983, 1984, 3290, 736, 4798]"
256,840,"[2342, 1242, 846, 4488, 236, 3480, 3244, 803, 1979, 960]"
257,4717,"[484, 908, 4005, 1407, 205, 3685, 4665, 3907, 2227, 3226]"
258,1329,"[69, 505, 2678, 522, 2058, 193, 3037, 704, 2101, 4016]"
259,3668,"[437, 160, 796, 4665, 1431, 880, 4714, 352, 1860, 2661]"
260,5915,"[3146, 3593, 4910, 1217, 4752, 2940, 2347, 2988, 1087, 2179]"
261,4253,"[2639, 174, 1276, 4825, 1357, 2612, 1405, 658, 4450, 1244]"
262,6654,"[669, 2377, 1740, 3224, 4226, 505, 82, 571, 214, 4297]"
263,1910,"[4683, 416, 1993, 214, 197, 2263, 2949, 4594, 242, 3125]"
264,5006,"[4091, 4491, 4270, 2639, 4477, 361, 80, 1667, 4459, 2086]"
265,7258,"[2657, 2694, 740, 3930, 505, 3869, 276, 4715, 1418, 1683]"
266,3497,"[44, 3034, 4798, 3674, 3417, 1172, 4960, 1128, 4149, 352]"
267,6270,"[983, 2848, 3732, 238, 2342, 3224, 3335, 2639, 2530, 3496]"
268,3440,"[4169, 1708, 184, 2782, 4851, 99, 2392, 1089, 2, 3113]"
269,2148,"[356, 4661, 181, 1202, 27, 3386, 3905, 3287, 807, 1904]"
270,1252,"[4489, 3409, 252, 1715, 634, 1252, 1519, 3066, 2229, 2100]"
271,1252,"[3066, 4443, 2191, 3785, 4874, 1725, 4188, 2890, 3446, 2152]"
272,4987,"[36, 4757, 617, 1704, 165, 141, 284, 4599, 1648, 4661]"
273,7213,"[1740, 361, 60, 69, 49, 1254, 1752, 1715, 2377, 4814]"
274,1252,"[3604, 4658, 4143, 1821, 700, 2179, 3785, 4911, 522, 4833]"
275,5185,"[2634, 4877, 2392, 521, 2787, 565, 1611, 21, 581, 4720]"
276,4574,"[2999, 1561, 382, 488, 320, 2651, 1395, 1550, 2221, 2449]"
277,5010,"[2848, 4005, 4455, 3459, 453, 2086, 2251, 3210, 3494, 72]"
278,1329,"[1235, 4398, 4637, 2970, 69, 3438, 820, 3456, 3351, 984]"
279,4574,"[3935, 1253, 1479, 809, 252, 382, 250, 4726, 1395, 1567]"
280,4717,"[3397, 4005, 203, 789, 2142, 1879, 2271, 2681, 1139, 1715]"
281,2816,"[3873, 1178, 2520, 4203, 4524, 160, 565, 3121, 4842, 4342]"
282,2320,"[1611, 2970, 1200, 2639, 1029, 934, 4044, 2449, 3428, 2976]"
283,4863,"[145, 505, 2639, 3928, 2575, 2191, 4005, 2664, 2102, 4497]"
284,5648,"[1690, 4955, 4683, 1547, 1087, 3224, 71, 3287, 1142, 3826]"
285,590,"[193, 3335, 2454, 1276, 141, 848, 668, 3612, 3944, 1715]"
286,3440,"[2146, 2356, 449, 2, 1574, 2996, 4922, 4954, 191, 2799]"
287,2509,"[1357, 4783, 1241, 532, 4409, 3269, 2446, 2944, 3498, 3127]"
288,6906,"[193, 125, 1109, 348, 203, 4698, 3397, 2281, 3423, 1715]"
289,6324,"[2158, 581, 1755, 3300, 577, 357, 3781, 373, 4304, 4953]"
290,7449,"[1684, 1935, 2478, 3012, 475, 3168, 3336, 98, 4299, 4193]"
291,590,"[3335, 4826, 4888, 617, 2454, 4432, 605, 4760, 4372, 903]"
292,2499,"[4926, 2160, 3571, 4463, 3320, 95, 4327, 4124, 4966, 571]"
293,4253,"[1611, 2055, 4337, 3438, 1012, 2829, 2639, 4040, 1523, 3022]"
294,5180,"[983, 4642, 3459, 1894, 241, 2799, 4194, 1409, 217, 1753]"
295,4964,"[647, 3198, 617, 3439, 554, 4217, 3650, 3873, 382, 1821]"
296,1388,"[1765, 1684, 3949, 186, 488, 2666, 615, 2518, 516, 2749]"
297,5966,"[3337, 3895, 2434, 3576, 3565, 1912, 122, 3237, 784, 4936]"
298,4308,"[2377, 4814, 198, 2988, 2903, 4546, 983, 1740, 3501, 2637]"
299,3184,"[4642, 1522, 2548, 3685, 1270, 3337, 2848, 4091, 2334, 1983]"
300,3668,"[4245, 396, 4772, 880, 3607, 4790, 4912, 471, 3431, 2661]"
301,5168,"[3282, 2970, 311, 3820, 331, 4652, 3932, 768, 4444, 3153]"
302,2832,[]
303,3184,"[1087, 511, 1270, 674, 4091, 4686, 1983, 4642, 1837, 4169]"
304,3502,"[4396, 723, 4216, 3428, 1739, 4390, 3333, 1140, 885, 2101]"
305,1329,"[2912, 855, 1235, 2377, 505, 1871, 1923, 1548, 455, 193]"
306,332,"[998, 382, 1926, 3406, 4709, 1599, 2255, 163, 2779, 3417]"
307,393,"[1630, 4284, 4090, 4270, 1988, 99, 2139, 3295, 581, 1069]"
308,5298,"[2632, 205, 924, 2222, 2026, 4265, 2390, 4876, 1253, 1371]"
309,6270,"[3198, 284, 1630, 2874, 4851, 4783, 3573, 1960, 4352, 804]"
310,3484,"[2599, 1923, 455, 70, 4774, 1492, 4292, 15, 108, 1871]"
311,7946,"[983, 1736, 1270, 3974, 1411, 4248, 2549, 3781, 1711, 38]"
312,3203,"[1674, 1288, 2392, 676, 828, 2604, 458, 3041, 866, 3198]"
