,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,i1,i2,hl,nl
10,3329,2377,2342,2949,181,3977,4327,935,98,2161,2803,4036,953,1740,922,1708,2295,2339,413,2247,988,160,1690,1240,4814,2769,3437,145,2820,716,3421,4840,4551,633,3685,936,1519,945,1662,2454,203,3571,148,1406,14,3259,4501,416,855,3344,4899,1129,2368,4053,676,1517,1254,3271,4338,4478,3774,238,3226,3444,3459,2301,4194,2256,1567,4193,2271,1448,4788,4098,3575,1464,4227,1471,3813,2455,2033,4106,908,4128,2833,4668,2510,2978,3497,3480,4245,2217,2920,3905,2310,1993,1048,4499,3635,4406,,63,,
11,983,1088,3510,416,145,2086,3826,1611,4534,2832,4096,3282,4005,4128,4756,4797,3224,4286,4817,4918,2678,1254,3467,3715,2139,3909,1711,2549,973,2448,4106,3489,536,4344,4446,1066,1602,3345,2306,4167,2510,4051,648,2975,3417,4499,794,2750,4907,511,4177,4392,100,1751,1690,296,80,935,4243,2551,4091,4738,1832,1841,249,665,4131,198,176,2468,20,4960,903,1970,2076,4567,3347,3911,2499,4888,2146,1733,4396,1418,4789,2113,2945,2639,4533,211,157,3472,1485,246,3519,3459,4164,2779,2043,1665,,6906,,
12,4836,4270,3591,1888,1270,4342,1337,4001,4535,4257,2280,4106,1523,2820,2616,1646,1142,2232,3602,1611,3497,159,3537,3198,2447,3036,979,1918,453,2196,3628,3777,4960,4738,4778,2998,3271,4210,1357,802,4870,4573,525,1733,4918,4583,175,361,1601,4128,1856,2694,4477,4771,34,2610,395,1688,1287,3524,4642,1501,1491,3715,4445,1951,2684,2696,3421,403,4716,2830,4826,1129,4005,2345,2224,2163,4645,2050,1254,4177,75,2758,2247,4704,2937,1087,1628,474,4686,3986,4989,4847,1119,1667,3963,2547,3375,3670,,2499,,
13,112,4091,391,3102,1611,740,2509,45,3096,1171,4501,960,145,4839,1921,1237,2739,3905,3094,1126,1030,4970,3098,361,4911,983,2474,4793,647,4270,3472,4453,3802,416,1332,116,4533,1715,2970,4177,1994,225,655,1790,2730,4634,3035,2501,708,272,2206,4506,4783,532,4745,4245,2462,2830,459,4493,827,882,1190,3939,1585,62,1983,3322,4929,3258,1951,989,1074,1636,1592,95,3095,3856,4710,4086,4683,1304,397,4918,2170,27,147,2245,2853,3565,4035,828,1485,218,3732,3811,1550,2295,1303,3498,,5010,,
14,679,2820,784,2274,4270,361,1485,2280,4983,2996,4446,4776,892,740,3432,2949,2778,3092,4349,4439,554,928,4994,1074,2912,2355,2933,3107,4826,4848,4955,2439,780,1894,85,174,4535,3602,917,4106,193,109,4226,1636,2342,3144,4658,4913,4342,945,4459,2697,483,3594,4831,4096,3371,4783,1529,2834,3543,698,2547,1952,3421,3849,3083,181,3142,2549,1240,2454,973,2077,3018,475,3431,647,4014,495,73,4659,2359,3408,1337,2136,3497,4635,3794,4396,2887,240,4333,2787,465,2170,3636,2294,4767,2096,,2499,,
15,4091,2988,285,4793,960,2207,3083,647,923,1485,323,1198,248,125,1460,2666,3341,780,945,740,1684,3732,366,1988,1835,2341,276,40,2409,1611,708,361,4642,1646,3551,4754,680,4782,3536,3660,66,4683,2730,300,297,157,924,4675,4084,701,1984,3329,2633,3602,301,1351,4989,827,2139,145,484,4965,2121,3509,1085,2638,2355,2854,2246,4565,416,1715,3319,4469,3900,1178,1474,3085,1088,804,4532,2025,3958,1091,4637,4270,2342,4118,2210,3445,3828,803,2686,1068,621,3829,2876,2989,846,4729,,5010,,
16,740,297,2949,416,2888,3335,3421,2301,4392,3459,3472,112,191,157,2455,3796,2989,1485,2903,4457,2022,176,337,1041,4284,1085,4215,217,3859,4885,2858,4303,4022,3576,4245,455,4440,1254,3624,2851,3305,3854,3329,181,2730,1728,1753,2549,3322,688,4319,4814,145,236,1911,520,3510,4171,1922,125,829,4683,3098,3347,4658,88,2803,3695,2470,1321,321,4945,308,1030,294,4760,80,3116,505,1531,846,4106,3452,4826,2086,3901,1732,882,1602,1752,641,2354,45,3001,1492,172,3092,1200,399,3611,,5319,,
17,1252,2848,4270,4941,3640,300,1752,3078,1667,361,4533,4995,3829,2924,2447,708,1951,2538,3262,3509,4918,704,1550,1779,2730,2086,3895,2678,2454,2300,2750,3841,389,163,450,2462,1287,4960,3146,916,3611,1351,2949,1055,2632,2837,882,1602,3080,181,1762,607,1437,196,2162,159,2376,366,4932,125,1091,940,1517,1306,191,2976,2484,2342,1695,496,2315,3857,502,4390,5,4272,203,773,3452,2301,3314,2057,1983,3333,1535,1004,105,4640,437,1574,719,2387,1063,4086,2795,2139,685,3381,4590,4095,,3217,,
18,4091,647,1276,4245,3905,4642,4086,4749,373,4501,531,2,276,3811,1330,3343,112,4475,1436,2353,3483,98,1867,3660,152,652,710,4053,983,2501,2422,2610,4790,40,3885,2260,4691,4304,601,2756,772,1823,4918,3949,604,1740,1023,2274,708,4514,4592,1746,3324,193,4703,3952,4847,3715,2301,1646,3238,4124,4578,205,4207,3095,3322,1055,145,4203,2342,3768,3115,2982,1630,4665,297,2023,2595,882,1495,55,260,908,2632,4771,846,3676,1879,2196,4337,3282,2356,553,486,1628,2179,1706,740,3335,,5010,,
19,1826,1873,3519,4888,3314,4793,4005,4091,4642,4704,4717,284,882,1252,4017,62,4639,2874,145,1684,1659,4847,647,3944,1791,1571,1317,2796,2468,2907,4044,4342,916,3661,3564,698,4134,4995,4501,2549,343,4106,276,505,1214,231,5,920,45,4461,2976,2884,3950,3237,2949,2207,56,4936,782,3055,1287,203,4064,4270,402,2610,4043,3862,3282,2880,1611,2747,2404,4323,740,3335,3459,1835,4718,1029,3018,1415,3173,1902,1288,1198,2688,58,54,1158,3700,2774,88,1595,4568,4986,3820,3684,3555,2097,,2683,,
20,4783,740,2,866,4932,4491,484,125,4665,2949,3869,4164,2377,2718,1740,2155,3189,1736,4096,4118,3905,284,3335,4642,3421,268,803,617,80,4005,4670,702,1661,4226,713,3820,4098,2468,3459,112,4470,989,1430,3952,1464,4989,3613,2188,3499,1809,3211,4283,2958,1080,3233,2439,3282,1836,4001,3928,3337,2523,1125,3015,4970,217,2920,1313,4593,2221,708,276,295,3462,796,4738,1646,1944,4741,3505,198,373,520,2251,330,4245,1571,3770,1880,2412,3829,4105,577,1460,1493,3628,1921,4847,3537,3575,,335,,
21,125,416,3335,117,861,1611,499,2342,2620,2442,2848,112,3083,4717,80,740,4724,677,4091,4831,453,2549,3953,4783,2632,3564,3165,1288,3040,3900,3757,457,1532,3537,4096,4836,4210,4106,4703,2210,2792,664,646,4398,2468,3580,1683,4986,4741,302,2975,1475,1735,2280,4532,3952,2694,4034,2347,3675,3131,2188,54,1673,4758,1601,4642,238,4005,2613,4661,2639,4826,3831,1602,62,4302,300,6,938,4652,2146,2663,1932,4778,901,2282,4723,882,2077,2021,1970,1224,3922,4637,1412,2945,4950,3382,1252,,2499,,
22,361,113,2970,1609,4683,3424,1522,3150,4245,4767,2639,1709,2629,1588,1233,2919,4836,3154,2274,4373,1611,450,4894,4433,125,1642,4478,10,2989,311,934,1695,4352,1382,1476,42,1597,866,2207,2511,4318,1023,1667,3097,788,3282,3216,3335,4214,3480,1708,416,477,4457,2507,3367,3102,688,2076,4450,1224,4899,1847,2975,2451,4770,1921,2654,593,1491,3189,4609,41,2897,4302,4128,82,621,4093,2118,2070,1133,557,3268,4670,2390,1155,3269,516,3230,1578,4501,1137,1963,112,920,4106,981,4918,4910,,2499,,
23,866,1519,3102,4245,4204,513,4888,2355,295,2139,1611,40,2138,3343,234,4961,3265,255,3282,3125,4247,2714,114,117,1269,4203,3442,1175,1178,4091,524,69,145,3652,297,648,4401,296,416,4929,4945,2848,147,477,2540,2194,4445,1708,4336,3695,2749,2903,604,2300,4851,2549,3551,1588,3330,276,740,1030,1753,361,4615,4014,2989,1430,1406,2912,4177,474,484,3198,1804,1495,2824,3193,3354,3386,165,4003,2499,4940,3685,3237,2347,935,1089,4642,4640,655,4788,4977,4724,3154,2392,2170,4918,3318,,6906,,
24,903,2848,708,125,14,1406,4867,2342,3685,1253,1736,4245,465,109,98,2833,4642,276,397,145,36,2468,3459,45,700,1586,4989,3895,3537,1485,160,1129,117,829,2206,789,935,1409,3193,3791,1991,1751,2937,2056,1068,4084,1711,2958,2139,4829,4053,416,2575,2274,855,2304,182,437,3424,1646,882,2613,193,3125,2086,3234,4051,2295,4573,427,2577,9,4561,1862,315,127,3423,1460,116,2549,2560,1519,2223,3715,2280,3510,586,62,203,565,4373,621,2730,1119,2820,827,163,636,337,1196,,5319,,
25,2274,4096,4888,1178,935,708,2422,145,4319,112,4642,4131,2239,505,2294,204,3335,1960,416,373,240,4043,357,973,617,4989,1673,4290,2392,1860,2138,430,4226,4134,3078,2499,4446,647,4683,2470,4091,151,2858,3207,1388,1037,4270,923,1218,562,1201,4005,750,515,2536,2547,27,1984,4457,302,4164,297,4126,236,1646,437,2377,2686,626,58,4128,4233,1667,3041,880,2576,2895,231,4718,1580,4770,3909,4874,2632,594,2355,739,4599,117,543,3489,125,2699,4799,4118,71,2549,4738,571,3740,,7449,,
26,115,3165,1709,1740,4642,361,1667,3092,4535,1129,2155,4005,3335,4683,3602,3083,617,2139,3102,186,1429,532,4270,925,1911,3942,4282,2872,1270,3798,4302,2970,283,885,2533,3425,960,2394,1755,4171,2101,2666,1494,3198,3258,4894,2210,4534,1633,3711,2610,145,2912,577,648,4912,4325,983,27,3366,4848,3071,1485,1126,2508,4115,1583,3573,3037,3078,4757,3432,3867,953,324,4831,3730,4546,3986,982,2849,804,4738,854,1611,66,4233,2058,3637,1233,855,1705,2904,3715,832,1491,2657,1287,3438,3955,,6906,,
27,2820,2280,35,3704,1951,3243,127,3519,145,3685,2672,4049,2937,1563,1994,809,67,3259,116,4771,1332,3018,4656,4411,4445,4904,3431,4961,3343,75,1933,4554,489,784,1642,1911,3066,3004,4890,2342,4954,4782,4252,193,4643,85,1324,4870,3335,2848,2393,749,2447,4940,3635,181,4535,829,740,4270,171,4761,1809,621,3497,159,853,2549,106,1615,1485,2636,1013,4206,3424,3517,744,3036,4583,2301,4302,3372,1871,3862,3647,730,3060,4839,2396,4143,4015,2203,1753,804,1619,4357,1844,2462,2157,1382,,2683,,
28,2549,3955,2516,20,4703,3808,4268,1128,4194,2188,836,935,88,2355,960,605,4270,2155,3757,677,2953,3953,2139,2063,532,499,112,3314,3066,3145,4533,361,4687,2077,2632,1353,3193,2384,4305,389,2320,4457,3329,4945,4986,3382,3967,1650,4902,240,1611,115,458,4051,3472,2002,2887,1617,4338,2458,3982,1690,4683,4691,4204,1400,3324,3994,2287,238,2703,4522,577,2639,2342,4444,4064,2548,556,4730,1911,3241,2304,1431,548,1749,4091,4177,681,33,4970,2520,467,1430,4151,80,3282,1254,2179,3537,,6906,,
29,3037,4894,4493,2949,1519,548,2646,4245,4118,4683,3314,4642,361,4005,3081,4579,1683,2696,1894,1464,4757,3915,4064,3372,2694,3138,2680,521,832,2198,3545,3655,4098,2841,4106,2468,1667,1952,784,62,4553,1550,4342,617,2755,4752,4659,1889,3421,3367,109,1818,4831,3820,283,3078,2105,112,3289,4096,4074,4134,4003,267,240,2248,3728,4823,1091,2523,3018,457,1607,674,2352,3295,2430,989,874,4034,287,3759,1602,2300,46,1681,2756,1089,4337,60,4725,2376,4111,4366,1476,3045,1306,343,4764,1646,,6906,,
30,4091,357,1736,4533,416,3335,145,3324,565,1169,1289,2755,4332,371,594,1751,853,3108,2155,2773,2536,1832,1720,3888,4847,2150,4396,3613,112,2470,2525,361,1960,1611,3351,3421,663,4651,3989,2897,2088,3564,2499,209,1786,676,3565,1445,1409,1492,2854,276,2511,2975,2691,1074,58,1007,3519,1722,2756,530,2157,4738,3650,1196,36,484,3459,1601,989,2256,2317,3048,1615,3760,284,2996,1557,4302,4110,1178,923,900,505,3732,4642,2513,2311,2912,2401,4912,2170,4132,1343,1446,1244,1753,1740,3775,,6906,,
31,740,4270,286,4683,361,1611,610,882,3898,3102,2076,1074,2049,165,4171,198,145,4305,2548,4306,3047,2674,2862,62,1995,4098,945,960,3571,1646,2342,1464,4535,1129,3420,4961,3067,284,2885,3537,2447,495,940,4730,1667,459,4064,1826,4637,3192,2504,4501,4734,932,1238,2142,4907,3037,4583,4910,1448,1555,1999,3344,908,3446,2210,2452,600,1582,3732,1642,598,183,3083,2086,556,4393,1736,307,2392,4533,2430,902,2633,2509,1152,4918,448,4640,4005,3241,4754,234,2394,2319,3048,262,2666,3829,,6906,,
32,740,4091,983,786,648,88,193,4372,2820,4955,708,125,1602,3710,828,4954,3102,3685,3510,769,37,4445,4270,1879,960,780,2210,4704,1961,284,2888,3335,4642,665,3432,4797,3421,3018,803,158,4573,2160,2904,1190,4005,1538,3424,1818,107,2773,732,4106,4908,3497,698,2002,4803,145,3973,3068,1050,4049,3533,4904,3227,2559,3420,3459,112,2970,2610,4470,1472,3164,3225,62,1149,65,3210,3237,3509,4561,218,4239,75,2015,4986,3535,4826,4978,4167,1715,3092,2455,85,3153,3565,3558,458,4501,,5319,,
33,4086,4983,4989,1254,4642,2586,2516,1085,2274,1695,3524,3820,134,1004,4302,4683,2283,2126,3888,916,945,1674,502,2575,3643,2970,3910,2927,720,2024,2747,3962,3282,764,450,3243,4814,3793,2342,3823,2086,4902,3704,1475,788,3071,1753,4670,3813,1294,3576,1391,1341,2773,1667,4760,3295,166,4387,3928,3393,2549,1089,3127,3565,4877,4005,4533,3330,861,4047,2355,3048,1033,4319,676,1556,3022,4140,3564,3234,1023,923,917,4729,1139,3018,4960,29,3115,4003,1158,2041,177,3612,105,594,2652,4583,495,,2499,,
34,4091,2458,4918,1343,4128,4888,1611,4865,4578,3928,3146,2551,2024,4069,145,1304,1580,4533,3459,3813,3347,2678,137,2549,4683,983,495,484,1087,4062,1646,4703,2854,4005,323,248,1034,165,4177,1103,4803,80,3799,4707,652,4203,3063,2342,565,3804,2953,2139,1835,1074,2880,1957,524,1140,46,3952,2319,4642,1683,1918,4270,1681,2149,4302,2326,2454,3551,1493,3305,1088,2179,1847,598,2632,740,1725,3198,62,296,713,2681,2721,1349,1601,2354,467,2161,3796,4458,932,1650,1860,4814,4294,3140,2158,,6906,,
35,4477,193,112,2970,125,647,3225,3537,4453,2210,4642,4573,594,4783,3198,3472,2890,2545,1252,2280,2522,2773,4656,3715,1522,1412,2194,836,4758,882,453,953,4760,4305,499,3351,4106,2820,1736,3337,4894,2376,1373,4088,4396,772,1695,740,1698,421,1196,4639,3928,361,2872,2274,4171,187,1818,1632,4142,11,62,238,3892,127,4890,730,786,2442,3785,3880,4501,2251,3854,1175,3083,3732,769,1991,1238,2101,2393,4352,240,4047,4683,371,2676,3725,4745,2654,1475,2181,3939,4945,3019,3046,2232,1013,,2499,,
36,4945,2549,4642,268,2194,145,4194,945,2773,1549,4691,1522,740,4373,2610,157,3282,3715,4446,3510,978,2620,548,2824,4955,4572,2697,2887,54,1821,1464,2756,4177,903,4270,361,882,2832,1630,4012,908,532,1695,4521,989,4005,519,1561,1748,853,2179,1178,4709,4019,297,648,3432,4659,210,3966,1651,4053,1736,3421,1341,4126,1509,4139,4737,4702,4683,3035,2105,186,1706,3061,782,284,4297,3330,4986,4710,1628,3475,4366,49,296,114,3403,1825,4840,1661,4301,4096,14,4581,3211,4132,1751,94,,6906,,
37,4446,4783,740,4091,647,1984,903,983,3813,1646,4814,3037,767,297,1089,1690,437,2549,2848,1601,679,4894,88,5,3939,193,4493,3175,3732,1288,2820,3217,1567,3704,1728,4093,4955,115,9,4432,708,3064,125,1053,3676,3165,4665,2949,3885,2819,946,4092,3185,4880,2608,413,3883,3814,839,4760,1160,4675,14,2256,3763,828,3857,586,3397,4382,4128,1131,2342,2663,1194,4722,3127,4842,3258,1740,3292,784,3888,4198,4975,1253,3048,2281,2634,1736,4738,2274,4245,4096,1278,3510,2291,815,1037,4270,,4253,,
38,648,3102,3510,1621,4642,361,397,145,2610,2179,3211,4373,2041,981,3107,2732,251,3225,4096,1174,2547,2631,4535,3516,1341,4814,960,3571,3389,4366,4128,1359,439,1169,1485,4455,935,3165,2088,4005,4881,4743,3083,4091,4349,4284,1847,4446,71,3524,1588,3282,38,3144,4981,2275,1755,3035,2454,2746,2525,3366,978,3706,109,1936,3670,1646,4270,2149,2210,604,3782,2267,4064,3794,1197,3873,4134,268,4477,2238,4839,874,40,2342,3897,1522,1549,4299,1088,4014,4126,3946,3354,432,1254,3862,4445,1126,,6906,,
39,203,725,2375,2401,66,2639,312,145,4940,467,3068,1088,2508,3423,4167,4290,3497,4836,3555,4683,4918,3986,461,698,1725,2024,3335,4261,1485,70,1977,940,4015,4738,4111,356,1889,1825,4501,2196,764,1287,116,1832,107,769,3102,2758,2921,4446,3942,2041,4966,1254,4110,4428,477,3198,4342,4789,4894,1289,166,3227,1196,4919,2903,4243,4245,3592,3237,4199,296,4327,453,2082,575,828,1728,1921,2280,772,3262,3602,4960,234,2288,4535,4760,4097,4226,2160,1646,3828,3210,193,3805,989,2295,4573,,3184,,
40,2549,1601,1406,4642,4481,617,1806,45,1921,1287,973,456,287,4622,1697,1068,3258,2274,3685,3295,2833,1918,1795,4319,3394,739,1313,2295,565,62,2674,3285,1128,2160,4342,165,647,3601,1270,95,1683,4493,2024,388,515,4479,4069,708,1178,4537,3519,395,203,4267,2666,2820,4634,1129,132,3857,3802,2638,42,3740,2906,3796,145,2218,3567,648,1041,832,1602,2976,3732,4562,692,2470,60,1205,1269,1952,4270,922,1381,989,4803,4645,562,18,1281,2342,2991,2222,2545,2387,1888,3375,499,2990,,5010,,
41,4783,740,4091,3300,4810,903,3037,1197,297,2848,1601,1357,2220,4894,4932,193,1862,2820,3174,3704,2647,1057,484,4955,4432,708,125,1343,4275,3676,1602,3955,4665,2949,4880,2608,3869,839,4675,1519,1406,2256,4836,2674,181,1709,2377,2280,4954,3995,586,3397,4128,2646,3292,267,3102,3189,3685,3048,1736,4738,2274,4658,4245,2912,4096,1278,2988,1933,37,1854,4270,532,1730,807,960,780,3198,4118,465,348,2996,286,4683,2210,4831,772,4888,416,2586,284,3335,3438,4926,3083,4642,1681,2593,922,,332,,
42,2607,2478,3165,3064,139,4106,4245,1708,1578,4670,3278,532,3271,2138,284,3345,3314,1595,4344,1835,245,2160,1373,4443,3028,1405,1951,2280,2999,617,125,4151,3107,2251,107,2220,4642,98,4005,4954,3085,3466,1646,203,4870,2179,2658,2295,4767,2694,4177,1088,855,109,744,925,403,784,8,2848,1244,3389,486,2747,3459,2349,3526,3078,1333,238,4214,2023,4501,1555,4751,295,647,4171,2852,2989,1519,2506,250,648,4752,416,2949,882,1129,3095,4101,3730,1472,2232,4039,1317,4204,3439,3225,2610,,5006,,
43,4446,740,4091,908,983,1646,4026,4814,1197,866,297,648,2816,4945,437,2549,2848,1357,2220,88,2166,5,193,4493,3732,2820,3201,3704,1728,1057,484,8,115,9,3064,1128,125,1205,10,4275,238,3676,3955,4665,1446,1711,4092,4418,4234,2105,1556,3869,413,3883,839,411,3690,4760,2256,2246,4164,181,3057,2377,2280,2440,496,4742,586,4382,4128,2342,1276,3102,3735,3189,3685,1253,4738,2274,3403,4245,2912,4096,1278,3510,4115,2291,1933,18,37,4445,1037,4270,532,674,3524,54,1879,4533,,63,,
44,2639,1412,2301,4501,3096,740,828,998,4106,3949,2409,882,4683,4533,3424,4005,3483,647,2158,3337,908,145,1791,4643,3496,1611,1229,3410,4665,4656,2102,940,4995,1951,769,930,1983,1563,2820,105,2256,4911,3509,1583,1706,2549,2638,4245,2903,4908,4760,1695,2049,3018,511,925,4844,3823,3201,1994,2678,191,2553,1202,3862,553,32,2210,2376,4228,3491,3113,450,193,3652,3011,4003,3068,1921,813,3939,3198,4839,3284,1740,1332,3269,3305,294,2122,2848,366,3551,116,1613,127,4888,3344,3351,3182,,5319,,
45,193,181,2639,2773,3085,72,3343,137,4535,1212,1476,1152,2454,307,4760,3335,809,2049,4741,1464,1557,2063,3421,4776,4910,1428,3424,4501,923,3497,2162,4954,4533,2536,3598,1199,4847,3102,2681,4767,633,361,4740,1494,3152,652,1747,1903,2576,3768,4143,3715,2149,647,139,1055,239,3640,262,1647,1868,2718,3895,159,395,4524,67,4771,832,2287,3428,2636,2058,127,3420,1093,1005,3636,4005,2714,2510,3438,740,986,780,2139,2949,4477,4757,405,4725,3004,4457,2970,4270,2157,4756,3143,1753,1706,,2499,,
46,1984,3510,4270,532,4642,1054,3837,4989,2422,3100,1430,4349,3330,818,2256,4501,2352,2912,577,1983,448,2782,4028,2274,203,40,4814,3047,1708,4664,3590,2996,284,4134,2375,389,4118,2933,2905,1904,276,3282,3102,3719,4718,198,193,4573,4193,361,1200,4114,1818,360,1698,591,2280,98,4342,3652,241,3207,4265,617,4061,837,1162,1667,3910,627,1851,4204,3873,4940,4408,3355,2756,3827,2874,557,979,4226,2656,3017,4433,391,1485,648,266,1921,320,4299,1935,1224,115,4211,902,2608,2320,3055,,6335,,
