user,include,item list,len,without constraint
19,7233,[],0,"['145', '1175', '3335', '3654', '1636', '3799', '2639', '2274', '983', '4245', '2224', '4783', '3732', '4106', '73', '3783', '2353', '832', '1053', '361', '4098', '2772', '866', '2907', '4652', '4349', '1674', '3479', '2522', '2697']"
19,63,"[1175, 3783]",2,"['145', '1175', '3335', '3654', '1636', '3799', '2639', '2274', '983', '4245', '2224', '4783', '3732', '4106', '73', '3783', '2353', '832', '1053', '361', '4098', '2772', '866', '2907', '4652', '4349', '1674', '3479', '2522', '2697']"
20,2148,[1178],1,"['4446', '647', '2756', '1253', '4245', '3198', '4642', '268', '617', '4844', '3519', '882', '4960', '4826', '175', '1178', '3985', '4799', '3695', '4683', '4400', '2274', '829', '2355', '2444', '3775', '2412', '845', '4637', '3820']"
20,7470,[3519],1,"['4446', '647', '2756', '1253', '4245', '3198', '4642', '268', '617', '4844', '3519', '882', '4960', '4826', '175', '1178', '3985', '4799', '3695', '4683', '4400', '2274', '829', '2355', '2444', '3775', '2412', '845', '4637', '3820']"
20,7557,[2756],1,"['4446', '647', '2756', '1253', '4245', '3198', '4642', '268', '617', '4844', '3519', '882', '4960', '4826', '175', '1178', '3985', '4799', '3695', '4683', '4400', '2274', '829', '2355', '2444', '3775', '2412', '845', '4637', '3820']"
21,2683,"[2222, 205]",2,"['3102', '4738', '112', '1667', '3643', '391', '3018', '2280', '4270', '4640', '193', '1611', '2222', '217', '4086', '3125', '508', '37', '484', '989', '4098', '276', '239', '2155', '4267', '109', '145', '4349', '928', '205']"
21,7258,[276],1,"['3102', '4738', '112', '1667', '3643', '391', '3018', '2280', '4270', '4640', '193', '1611', '2222', '217', '4086', '3125', '508', '37', '484', '989', '4098', '276', '239', '2155', '4267', '109', '145', '4349', '928', '205']"
21,7449,"[391, 205]",2,"['3102', '4738', '112', '1667', '3643', '391', '3018', '2280', '4270', '4640', '193', '1611', '2222', '217', '4086', '3125', '508', '37', '484', '989', '4098', '276', '239', '2155', '4267', '109', '145', '4349', '928', '205']"
22,4987,[1725],1,"['4642', '2656', '4573', '532', '361', '945', '2970', '1443', '4018', '56', '145', '1725', '3182', '4394', '565', '708', '1038', '1190', '62', '2342', '740', '772', '4245', '4005', '4677', '1778', '4118', '2021', '1242', '4053']"
22,4717,"[4573, 4005]",2,"['4642', '2656', '4573', '532', '361', '945', '2970', '1443', '4018', '56', '145', '1725', '3182', '4394', '565', '708', '1038', '1190', '62', '2342', '740', '772', '4245', '4005', '4677', '1778', '4118', '2021', '1242', '4053']"
22,4253,"[3182, 772]",2,"['4642', '2656', '4573', '532', '361', '945', '2970', '1443', '4018', '56', '145', '1725', '3182', '4394', '565', '708', '1038', '1190', '62', '2342', '740', '772', '4245', '4005', '4677', '1778', '4118', '2021', '1242', '4053']"
23,1093,[],0,"['3551', '3064', '125', '3869', '4675', '2280', '2342', '2516', '3335', '20', '23', '276', '617', '80', '518', '3319', '1611', '2730', '4086', '2750', '2970', '4470', '4342', '3602', '973', '137', '4501', '1522', '4064', '1173']"
23,5168,[2970],1,"['3551', '3064', '125', '3869', '4675', '2280', '2342', '2516', '3335', '20', '23', '276', '617', '80', '518', '3319', '1611', '2730', '4086', '2750', '2970', '4470', '4342', '3602', '973', '137', '4501', '1522', '4064', '1173']"
23,840,"[2342, 3335, 617, 1611, 2730, 4086, 4470, 4064]",8,"['3551', '3064', '125', '3869', '4675', '2280', '2342', '2516', '3335', '20', '23', '276', '617', '80', '518', '3319', '1611', '2730', '4086', '2750', '2970', '4470', '4342', '3602', '973', '137', '4501', '1522', '4064', '1173']"
24,3723,[4491],1,"['740', '4091', '3300', '767', '297', '4735', '88', '3217', '4491', '4955', '125', '1406', '4954', '2646', '1740', '4445', '960', '348', '2996', '2639', '98', '4642', '2355', '803', '2356', '3424', '4106', '145', '1611', '4194']"
24,7470,[],0,"['740', '4091', '3300', '767', '297', '4735', '88', '3217', '4491', '4955', '125', '1406', '4954', '2646', '1740', '4445', '960', '348', '2996', '2639', '98', '4642', '2355', '803', '2356', '3424', '4106', '145', '1611', '4194']"
24,1833,[],0,"['740', '4091', '3300', '767', '297', '4735', '88', '3217', '4491', '4955', '125', '1406', '4954', '2646', '1740', '4445', '960', '348', '2996', '2639', '98', '4642', '2355', '803', '2356', '3424', '4106', '145', '1611', '4194']"
25,1257,[191],1,"['2874', '2958', '784', '1911', '4545', '741', '1621', '4270', '532', '191', '236', '2848', '4226', '98', '1601', '4583', '4501', '1683', '284', '391', '4091', '3193', '940', '145', '4640', '1611', '676', '1782', '1522', '4045']"
25,2320,"[4640, 1611]",2,"['2874', '2958', '784', '1911', '4545', '741', '1621', '4270', '532', '191', '236', '2848', '4226', '98', '1601', '4583', '4501', '1683', '284', '391', '4091', '3193', '940', '145', '4640', '1611', '676', '1782', '1522', '4045']"
25,1511,"[2848, 391]",2,"['2874', '2958', '784', '1911', '4545', '741', '1621', '4270', '532', '191', '236', '2848', '4226', '98', '1601', '4583', '4501', '1683', '284', '391', '4091', '3193', '940', '145', '4640', '1611', '676', '1782', '1522', '4045']"
26,5695,[],0,"['193', '2639', '361', '3459', '2730', '4086', '112', '3241', '647', '769', '3335', '395', '3799', '2368', '484', '2949', '4337', '4535', '152', '45', '145', '2709', '2136', '217', '1926', '4382', '205', '2210', '2355', '387']"
26,4253,"[2639, 4337]",2,"['193', '2639', '361', '3459', '2730', '4086', '112', '3241', '647', '769', '3335', '395', '3799', '2368', '484', '2949', '4337', '4535', '152', '45', '145', '2709', '2136', '217', '1926', '4382', '205', '2210', '2355', '387']"
26,8021,[2639],1,"['193', '2639', '361', '3459', '2730', '4086', '112', '3241', '647', '769', '3335', '395', '3799', '2368', '484', '2949', '4337', '4535', '152', '45', '145', '2709', '2136', '217', '1926', '4382', '205', '2210', '2355', '387']"
27,3184,"[2523, 3565, 3963]",3,"['2280', '3175', '1953', '4573', '856', '4661', '4110', '2523', '1158', '2096', '4299', '2616', '3565', '4888', '186', '2782', '87', '2377', '240', '3035', '3963', '357', '3366', '2756', '2422', '4615', '2055', '4177', '2674', '4140']"
27,3484,[],0,"['2280', '3175', '1953', '4573', '856', '4661', '4110', '2523', '1158', '2096', '4299', '2616', '3565', '4888', '186', '2782', '87', '2377', '240', '3035', '3963', '357', '3366', '2756', '2422', '4615', '2055', '4177', '2674', '4140']"
27,1388,"[4573, 186]",2,"['2280', '3175', '1953', '4573', '856', '4661', '4110', '2523', '1158', '2096', '4299', '2616', '3565', '4888', '186', '2782', '87', '2377', '240', '3035', '3963', '357', '3366', '2756', '2422', '4615', '2055', '4177', '2674', '4140']"
28,5298,[],0,"['181', '4245', '4793', '276', '4005', '1464', '4847', '3338', '1735', '621', '1142', '3890', '3258', '241', '1667', '200', '4683', '2639', '1485', '2217', '301', '2439', '2342', '4507', '1519', '1758', '2256', '3080', '3210', '4003']"
28,2499,"[4793, 276, 3890, 301]",4,"['181', '4245', '4793', '276', '4005', '1464', '4847', '3338', '1735', '621', '1142', '3890', '3258', '241', '1667', '200', '4683', '2639', '1485', '2217', '301', '2439', '2342', '4507', '1519', '1758', '2256', '3080', '3210', '4003']"
28,3502,[],0,"['181', '4245', '4793', '276', '4005', '1464', '4847', '3338', '1735', '621', '1142', '3890', '3258', '241', '1667', '200', '4683', '2639', '1485', '2217', '301', '2439', '2342', '4507', '1519', '1758', '2256', '3080', '3210', '4003']"
29,5006,"[181, 4270, 361, 160, 4847]",5,"['181', '4270', '2210', '1443', '98', '279', '361', '1289', '160', '3320', '4216', '3041', '1178', '708', '4683', '4106', '4396', '4783', '1698', '191', '1894', '3785', '1984', '2560', '1636', '2666', '1683', '4847', '3888', '3336']"
29,2148,"[181, 1178]",2,"['181', '4270', '2210', '1443', '98', '279', '361', '1289', '160', '3320', '4216', '3041', '1178', '708', '4683', '4106', '4396', '4783', '1698', '191', '1894', '3785', '1984', '2560', '1636', '2666', '1683', '4847', '3888', '3336']"
29,2832,[4396],1,"['181', '4270', '2210', '1443', '98', '279', '361', '1289', '160', '3320', '4216', '3041', '1178', '708', '4683', '4106', '4396', '4783', '1698', '191', '1894', '3785', '1984', '2560', '1636', '2666', '1683', '4847', '3888', '3336']"
30,8021,[276],1,"['4783', '647', '193', '2820', '2280', '1024', '4683', '4642', '276', '2506', '145', '4240', '53', '3873', '1619', '1474', '3211', '3768', '2274', '2911', '4876', '4709', '1940', '1665', '1306', '600', '1783', '4268', '4245', '4936']"
30,3440,[],0,"['4783', '647', '193', '2820', '2280', '1024', '4683', '4642', '276', '2506', '145', '4240', '53', '3873', '1619', '1474', '3211', '3768', '2274', '2911', '4876', '4709', '1940', '1665', '1306', '600', '1783', '4268', '4245', '4936']"
30,2816,[3873],1,"['4783', '647', '193', '2820', '2280', '1024', '4683', '4642', '276', '2506', '145', '4240', '53', '3873', '1619', '1474', '3211', '3768', '2274', '2911', '4876', '4709', '1940', '1665', '1306', '600', '1783', '4268', '4245', '4936']"
31,6270,"[2280, 45, 2958, 2251, 1287, 4642, 505, 3263]",8,"['357', '1306', '2280', '4382', '276', '45', '56', '2975', '2958', '4171', '3391', '2251', '4720', '1287', '294', '4642', '4270', '505', '361', '1739', '945', '4131', '2576', '3263', '1485', '145', '2652', '1619', '2377', '4245']"
31,3203,"[4270, 505]",2,"['357', '1306', '2280', '4382', '276', '45', '56', '2975', '2958', '4171', '3391', '2251', '4720', '1287', '294', '4642', '4270', '505', '361', '1739', '945', '4131', '2576', '3263', '1485', '145', '2652', '1619', '2377', '4245']"
31,4253,"[1306, 1619]",2,"['357', '1306', '2280', '4382', '276', '45', '56', '2975', '2958', '4171', '3391', '2251', '4720', '1287', '294', '4642', '4270', '505', '361', '1739', '945', '4131', '2576', '3263', '1485', '145', '2652', '1619', '2377', '4245']"
32,4096,[14],1,"['3823', '4783', '740', '812', '647', '2756', '983', '1646', '648', '437', '193', '1755', '3732', '9', '3676', '2949', '14', '4836', '2283', '2280', '2440', '3397', '1740', '784', '3102', '2274', '4270', '532', '807', '3198']"
32,1388,[],0,"['3823', '4783', '740', '812', '647', '2756', '983', '1646', '648', '437', '193', '1755', '3732', '9', '3676', '2949', '14', '4836', '2283', '2280', '2440', '3397', '1740', '784', '3102', '2274', '4270', '532', '807', '3198']"
32,332,"[2756, 9, 2440]",3,"['3823', '4783', '740', '812', '647', '2756', '983', '1646', '648', '437', '193', '1755', '3732', '9', '3676', '2949', '14', '4836', '2283', '2280', '2440', '3397', '1740', '784', '3102', '2274', '4270', '532', '807', '3198']"
33,342,"[255, 3479]",2,"['240', '4096', '145', '4306', '2353', '4064', '255', '1091', '4106', '4573', '4512', '3958', '617', '266', '85', '4983', '3479', '1196', '203', '2548', '382', '953', '484', '3968', '4392', '1474', '804', '3519', '251', '2637']"
33,7655,"[4512, 382, 953, 4392]",4,"['240', '4096', '145', '4306', '2353', '4064', '255', '1091', '4106', '4573', '4512', '3958', '617', '266', '85', '4983', '3479', '1196', '203', '2548', '382', '953', '484', '3968', '4392', '1474', '804', '3519', '251', '2637']"
33,2832,"[617, 2548]",2,"['240', '4096', '145', '4306', '2353', '4064', '255', '1091', '4106', '4573', '4512', '3958', '617', '266', '85', '4983', '3479', '1196', '203', '2548', '382', '953', '484', '3968', '4392', '1474', '804', '3519', '251', '2637']"
34,1910,[],0,"['1646', '2549', '125', '532', '3335', '3432', '2407', '2139', '1611', '200', '1774', '4342', '72', '127', '1229', '3695', '3078', '3089', '1601', '4195', '1597', '2155', '708', '4561', '3282', '4283', '1129', '1522', '2462', '744']"
34,6324,[],0,"['1646', '2549', '125', '532', '3335', '3432', '2407', '2139', '1611', '200', '1774', '4342', '72', '127', '1229', '3695', '3078', '3089', '1601', '4195', '1597', '2155', '708', '4561', '3282', '4283', '1129', '1522', '2462', '744']"
34,6654,[2407],1,"['1646', '2549', '125', '532', '3335', '3432', '2407', '2139', '1611', '200', '1774', '4342', '72', '127', '1229', '3695', '3078', '3089', '1601', '4195', '1597', '2155', '708', '4561', '3282', '4283', '1129', '1522', '2462', '744']"
35,5695,[],0,"['203', '3125', '3335', '983', '3099', '193', '4836', '1472', '2031', '3966', '516', '145', '3676', '323', '1457', '1764', '2756', '3459', '4799', '2988', '554', '4392', '4560', '2610', '1505', '873', '191', '2318', '2848', '484']"
35,5168,[193],1,"['203', '3125', '3335', '983', '3099', '193', '4836', '1472', '2031', '3966', '516', '145', '3676', '323', '1457', '1764', '2756', '3459', '4799', '2988', '554', '4392', '4560', '2610', '1505', '873', '191', '2318', '2848', '484']"
35,1910,[3125],1,"['203', '3125', '3335', '983', '3099', '193', '4836', '1472', '2031', '3966', '516', '145', '3676', '323', '1457', '1764', '2756', '3459', '4799', '2988', '554', '4392', '4560', '2610', '1505', '873', '191', '2318', '2848', '484']"
