user,exclude,item list
68,6906,"[925, 3282, 4337, 2549, 361, 2694, 2530, 2139, 3335, 145]"
69,63,"[647, 1089, 1690, 2549, 88, 2820, 484, 2949, 2608, 2280]"
70,5010,"[740, 647, 648, 193, 708, 125, 3102, 1879, 4124, 4683]"
71,1168,"[647, 648, 986, 2820, 708, 125, 4880, 3397, 3102, 2274]"
72,332,"[4783, 740, 4091, 647, 357, 1646, 679, 3939, 193, 2820]"
73,4717,"[125, 4836, 2274, 4445, 4642, 4344, 1230, 85, 176, 1069]"
74,5010,"[4091, 1089, 4493, 125, 2246, 2280, 2342, 1740, 3102, 3685]"
75,2683,"[647, 1057, 4955, 708, 125, 1711, 4738, 2274, 4096, 4642]"
76,2499,"[112, 361, 882, 740, 4945, 4091, 1522, 2355, 1564, 1822]"
77,1511,"[3732, 708, 3676, 828, 181, 3685, 3048, 2274, 37, 4683]"
78,332,"[740, 4177, 647, 648, 2549, 193, 181, 4953, 4722, 2155]"
79,2499,[]
80,6335,"[740, 647, 4026, 1089, 1690, 1601, 88, 193, 4493, 125]"
81,5006,"[4106, 4709, 1912, 145, 3063, 1751, 882, 3888, 1178, 58]"
82,1124,"[647, 903, 983, 1646, 4814, 3037, 297, 4945, 1601, 193]"
83,2499,"[2694, 4234, 880, 1740, 2311, 125, 2912, 1698, 1611, 2549]"
84,5006,"[284, 740, 2300, 4533, 2210, 945, 51, 3018, 3740, 3338]"
85,4253,"[4836, 995, 2750, 492, 3594, 3105, 567, 3335, 2210, 2179]"
86,6906,"[2136, 3459, 3198, 2355, 4961, 3314, 4245, 2595, 1983, 3520]"
87,2499,"[361, 4131, 2543, 4045, 4005, 3083, 2820, 2996, 1519, 3335]"
88,2499,"[2549, 6, 2256, 4270, 3083, 4642, 4047, 1174, 945, 2741]"
89,5319,"[647, 983, 4493, 4104, 784, 4738, 588, 2911, 99, 4005]"
90,2499,"[125, 4270, 2355, 3078, 3640, 42, 882, 3045, 2513, 3367]"
91,800,"[4683, 3685, 2820, 1304, 2548, 676, 80, 297, 2355, 361]"
92,5010,"[1646, 2549, 3676, 465, 397, 145, 925, 989, 459, 712]"
93,2499,"[3102, 4954, 3293, 4302, 1457, 193, 647, 80, 4683, 740]"
95,5010,"[1984, 983, 1646, 4814, 1022, 1089, 648, 88, 4918, 708]"
96,5006,"[740, 647, 1252, 2756, 786, 1690, 4336, 257, 986, 2820]"
97,63,"[4783, 740, 4091, 4177, 647, 357, 908, 3551, 983, 1646]"
98,2683,"[1169, 3243, 3564, 137, 408, 21, 647, 1860, 1089, 882]"
99,6906,"[4091, 983, 866, 1089, 2549, 2848, 181, 2646, 588, 416]"
100,7449,"[647, 1984, 983, 1646, 786, 193, 3732, 1057, 238, 3885]"
101,5010,"[361, 945, 3078, 2274, 98, 4960, 2970, 740, 80, 4270]"
102,2499,"[1602, 1740, 4270, 4239, 870, 4573, 2136, 4738, 505, 3335]"
103,1252,"[1118, 4091, 647, 1984, 4814, 648, 437, 2549, 2848, 4735]"
104,4717,"[4091, 231, 882, 4034, 3282, 3439, 1240, 2820, 3660, 1464]"
105,4717,"[4836, 740, 1287, 2949, 1646, 708, 3035, 2280, 3524, 1960]"
106,5010,"[945, 4270, 804, 532, 1550, 448, 4793, 4683, 4106, 4245]"
107,332,"[740, 3813, 3037, 786, 2816, 2220, 986, 2820, 2949, 839]"
108,4623,"[1118, 3823, 4783, 740, 4091, 4177, 3300, 4827, 647, 1252]"
109,6335,"[4091, 647, 1646, 4814, 1089, 648, 2549, 4932, 3939, 193]"
110,7557,"[647, 1357, 708, 125, 238, 1711, 4971, 4341, 3102, 4738]"
111,5010,"[4177, 983, 125, 2280, 1740, 3102, 4270, 807, 772, 361]"
112,6276,"[802, 2549, 4501, 940, 3094, 4270, 2256, 2215, 882, 2]"
113,2499,"[4814, 1304, 4683, 1236, 4106, 505, 2632, 882, 4561, 2390]"
114,2499,"[4642, 2999, 1074, 3078, 928, 3282, 2831, 4096, 2610, 3424]"
115,5006,"[740, 4945, 2210, 3314, 4642, 3018, 3078, 145, 112, 989]"
116,6906,"[3102, 3048, 2355, 3337, 2256, 1056, 69, 277, 3201, 3282]"
117,6906,"[4954, 1740, 3431, 127, 2311, 3615, 2532, 4026, 3165, 1611]"
118,5006,"[3198, 945, 3107, 925, 112, 1066, 3611, 58, 4352, 42]"
119,5006,"[1663, 1846, 3652, 56, 4651, 1252, 1711, 2274, 708, 1595]"
120,5006,"[647, 2549, 708, 173, 397, 3078, 272, 2694, 2295, 789]"
121,6276,"[4091, 647, 1984, 125, 2949, 2280, 2155, 3685, 4245, 4793]"
122,3203,"[740, 647, 3813, 297, 4493, 708, 125, 2099, 3165, 3883]"
123,5006,"[2155, 1684, 3537, 1129, 459, 249, 4960, 4482, 3335, 3928]"
124,335,"[484, 4955, 4665, 1711, 2256, 2342, 4245, 4270, 3198, 2210]"
125,840,"[2210, 2119, 361, 4301, 395, 137, 2274, 740, 2516, 505]"
126,840,"[780, 4642, 361, 4006, 181, 1023, 216, 708, 2355, 3381]"
127,2499,"[297, 786, 4491, 3885, 1711, 4836, 2646, 2342, 4722, 3102]"
128,590,"[740, 4091, 3300, 2, 647, 1653, 1252, 357, 1984, 908]"
129,6906,"[3386, 4499, 3335, 2774, 923, 1023, 2136, 4338, 2146, 719]"
130,3484,"[4446, 4783, 740, 4091, 4177, 812, 647, 1252, 357, 1984]"
131,2499,"[1270, 125, 1611, 2139, 827, 3643, 3335, 833, 4096, 591]"
132,6335,"[4783, 740, 4091, 647, 1984, 983, 3813, 1646, 4814, 767]"
133,840,"[4960, 2280, 2949, 3314, 3381, 3510, 4106, 2274, 2639, 361]"
134,6906,"[361, 4642, 3510, 945, 3637, 105, 882, 181, 925, 3314]"
135,3203,"[740, 4827, 647, 2756, 648, 2220, 986, 3217, 4918, 708]"
136,2499,"[2820, 3143, 2342, 4642, 4551, 1595, 1753, 882, 565, 3421]"
137,7449,"[4091, 1984, 1022, 786, 2848, 4493, 125, 2949, 1711, 3710]"
138,3203,"[1918, 3397, 2638, 2652, 284, 4433, 2549, 80, 4082, 679]"
139,5006,"[1066, 3459, 1961, 2949, 4216, 4722, 3480, 3381, 112, 1221]"
140,3203,"[1646, 297, 4782, 125, 4738, 1821, 80, 2773, 145, 4194]"
141,1252,"[740, 4177, 647, 357, 1984, 983, 1646, 4814, 866, 4945]"
142,5006,"[740, 1252, 648, 532, 1879, 513, 3335, 3424, 3017, 4568]"
143,1124,"[4177, 1646, 193, 3604, 708, 125, 3676, 4665, 3885, 4880]"
144,840,"[4164, 3102, 80, 4179, 105, 439, 4970, 4989, 882, 4352]"
145,840,"[2478, 2320, 203, 2355, 3355, 395, 3602, 4337, 2163, 3198]"
146,332,"[4091, 4177, 1690, 2816, 324, 986, 2820, 4955, 125, 3814]"
147,840,"[647, 125, 505, 416, 4954, 2430, 1254, 1946, 3905, 3102]"
148,840,"[4945, 3198, 3818, 1740, 2478, 457, 331, 4954, 2549, 145]"
149,840,"[4226, 505, 2632, 2629, 2740, 3753, 2139, 4954, 4325, 600]"
150,5006,"[4642, 105, 2376, 112, 882, 4297, 4757, 3314, 2782, 3018]"
151,5319,"[4091, 647, 1984, 2549, 1357, 4894, 4932, 6, 1205, 3165]"
152,7655,"[193, 2355, 4642, 361, 125, 1492, 1517, 1957, 3142, 4782]"
153,840,"[2658, 361, 1014, 2848, 64, 4760, 2548, 3497, 4091, 882]"
154,7655,"[740, 647, 1252, 908, 4945, 2166, 986, 484, 125, 1205]"
155,5010,"[983, 1601, 193, 4955, 125, 3715, 1034, 3335, 98, 361]"
156,800,"[3640, 917, 1217, 989, 4064, 277, 160, 2468, 268, 1667]"
157,6906,"[4091, 4493, 4955, 4270, 3715, 361, 2139, 145, 4126, 1244]"
158,5010,"[1611, 989, 4294, 2513, 125, 3944, 925, 145, 4140, 1984]"
159,335,"[4783, 648, 708, 125, 181, 2280, 4382, 3102, 4453, 4888]"
160,840,"[4177, 1926, 2876, 2274, 897, 3102, 2816, 1178, 4053, 4954]"
161,5010,"[4118, 3314, 80, 434, 3078, 112, 262, 1196, 3581, 2210]"
162,5006,"[4177, 3813, 786, 2848, 125, 3955, 946, 1711, 4880, 1088]"
163,840,"[4305, 1674, 361, 3183, 1764, 1184, 4709, 1190, 4771, 3269]"
164,1252,"[647, 866, 2220, 3676, 2342, 2274, 4245, 3625, 397, 3779]"
165,5319,"[1681, 882, 2820, 145, 2342, 708, 3164, 3459, 1662, 1088]"
166,2499,"[1653, 2549, 4918, 1446, 1711, 2256, 1934, 2274, 4270, 4303]"
167,840,"[2549, 4493, 2949, 3258, 4738, 818, 30, 2139, 4194, 3660]"
168,2683,"[4091, 2756, 648, 4918, 4836, 923, 361, 1983, 1065, 505]"
169,5319,"[203, 1621, 4793, 3459, 4945, 4344, 705, 3995, 4091, 3078]"
170,800,"[4776, 361, 3089, 1841, 71, 4918, 1926, 1023, 2355, 2970]"
171,6335,"[4446, 647, 648, 1357, 4894, 3182, 3174, 708, 1343, 238]"
172,335,"[4446, 4783, 740, 4091, 4177, 2, 647, 1653, 2756, 908]"
173,2499,"[2220, 1724, 125, 1519, 4738, 4270, 1479, 4106, 2741, 2800]"
174,2499,"[647, 1646, 3510, 361, 2755, 4645, 3497, 4025, 4932, 3604]"
175,4253,"[2280, 4833, 4349, 2517, 125, 2274, 3078, 4961, 295, 708]"
176,2683,"[4783, 740, 4177, 3300, 647, 357, 2756, 983, 4814, 3037]"
177,4717,"[4783, 4091, 812, 4827, 1252, 3551, 983, 1646, 4814, 866]"
178,2499,"[2970, 4270, 361, 1457, 4847, 477, 1209, 4683, 593, 1357]"
179,6335,"[4814, 297, 648, 2848, 2220, 193, 1755, 3182, 1605, 8]"
180,840,"[647, 8, 4738, 4513, 1984, 1578, 2179, 3496, 4761, 1651]"
181,5010,"[3102, 4096, 1443, 387, 1281, 740, 2666, 600, 95, 3625]"
182,2499,"[297, 1711, 2274, 2912, 3510, 3335, 361, 2632, 1522, 1537]"
183,5006,"[647, 3459, 1774, 1244, 276, 469, 3431, 2773, 112, 1932]"
184,4253,"[648, 4894, 4093, 4275, 1602, 1711, 3397, 1131, 948, 4738]"
185,5010,"[4573, 1400, 2206, 3335, 2210, 2256, 2139, 740, 205, 361]"
186,840,[]
187,6906,"[4126, 1240, 2609, 2511, 276, 1315, 2970, 361, 2342, 1698]"
188,5319,"[1118, 4783, 740, 4091, 4177, 3300, 647, 1653, 1984, 2756]"
189,3184,"[109, 2139, 193, 2452, 371, 1646, 284, 4177, 1960, 397]"
190,6654,"[3823, 740, 4091, 812, 647, 1252, 357, 2756, 903, 908]"
191,3203,"[882, 925, 2549, 1926, 648, 647, 4986, 2607, 3576, 4790]"
192,6906,"[4177, 4814, 866, 484, 115, 1711, 4245, 960, 2516, 109]"
193,1329,"[4783, 740, 4091, 647, 908, 297, 1690, 2816, 679, 3732]"
194,2499,"[4270, 2639, 1209, 112, 2256, 4005, 3340, 3131, 870, 4730]"
195,840,"[240, 2256, 4194, 1731, 116, 3035, 1821, 4782, 1157, 3350]"
196,5006,"[3459, 2280, 2274, 3715, 4005, 4106, 3647, 4411, 2468, 49]"
197,2499,"[322, 112, 4960, 3048, 193, 268, 1740, 3154, 4738, 320]"
198,5010,"[4783, 1088, 4245, 2988, 4270, 2530, 1681, 4573, 3571, 1074]"
199,2499,"[1118, 983, 1357, 2458, 4955, 4918, 125, 3710, 2674, 2342]"
200,2499,"[4091, 2274, 3005, 1074, 2220, 3018, 866, 2280, 1995, 2051]"
201,840,"[4960, 1133, 3510, 297, 1578, 1270, 4139, 2155, 4270, 145]"
202,840,[]
203,2683,"[1684, 4005, 3048, 3647, 135, 3817, 3018, 3071, 361, 3335]"
204,5010,"[3063, 647, 4245, 2136, 193, 1563, 465, 459, 3168, 4270]"
205,840,"[647, 361, 3322, 2610, 882, 1715, 1578, 1184, 2945, 953]"
206,840,"[4954, 361, 1549, 882, 2632, 1005, 3237, 1066, 1708, 708]"
207,5319,"[18, 2082, 2136, 882, 4894, 145, 3183, 3459, 2342, 193]"
208,4623,"[4446, 3823, 4783, 740, 4091, 4827, 647, 903, 1646, 767]"
209,5006,"[4642, 397, 3295, 145, 3628, 1178, 4573, 4965, 3078, 1041]"
210,3203,"[2874, 4767, 4738, 439, 2990, 1659, 1549, 2520, 80, 2393]"
211,6335,"[740, 4091, 647, 908, 297, 1690, 2549, 2848, 1357, 4894]"
212,4717,"[4783, 740, 647, 983, 1646, 648, 4945, 4894, 88, 193]"
213,2499,"[3078, 1219, 1715, 1522, 870, 3198, 2, 647, 4642, 432]"
214,840,[]
215,7655,"[2160, 4918, 312, 397, 2280, 2614, 4177, 1619, 4645, 3237]"
216,2499,"[786, 4305, 1667, 295, 2224, 2392, 2765, 193, 2904, 1611]"
217,840,"[4270, 3102, 125, 174, 4751, 882, 2206, 122, 4738, 3322]"
218,3203,"[3715, 4143, 361, 3820, 3660, 2848, 4106, 125, 2274, 945]"
219,5006,"[4177, 2820, 125, 4128, 4888, 4005, 3424, 3497, 2607, 3078]"
220,5319,"[1089, 532, 125, 4757, 1935, 1178, 1994, 1667, 983, 3564]"
221,3184,"[4270, 2820, 2210, 98, 3424, 255, 3802, 236, 708, 4329]"
222,840,"[484, 361, 2820, 882, 1020, 4887, 2304, 4954, 3048, 679]"
223,840,[]
224,840,"[361, 645, 2862, 505, 240, 4986, 2058, 2694, 3778, 165]"
225,6906,"[4091, 4, 2246, 3314, 4642, 2773, 145, 2633, 4960, 3343]"
226,5006,"[4446, 4783, 740, 4177, 3300, 647, 357, 1984, 976, 3037]"
227,840,"[1178, 4738, 145, 4106, 647, 4245, 1779, 4026, 125, 4674]"
228,2499,"[882, 3045, 3018, 2525, 125, 2577, 3372, 1517, 4683, 4382]"
229,840,"[4894, 125, 3715, 2639, 923, 2970, 85, 212, 554, 2849]"
230,5006,"[4894, 4634, 2949, 4880, 3198, 416, 4642, 3459, 112, 1049]"
231,4717,"[2342, 3146, 882, 209, 740, 284, 4828, 4782, 51, 1762]"
232,6906,"[983, 2549, 2155, 3102, 4738, 416, 4642, 3496, 2470, 229]"
233,840,"[2280, 708, 744, 1983, 647, 4798, 2949, 145, 3565, 1406]"
234,2683,"[4783, 740, 647, 648, 2549, 193, 3732, 484, 708, 125]"
235,1093,"[4783, 740, 4091, 2, 647, 357, 2756, 908, 3551, 1646]"
236,3723,"[4091, 4177, 647, 2756, 908, 1646, 1089, 1690, 2816, 4782]"
237,3203,"[4446, 4783, 740, 4091, 3300, 647, 1984, 4814, 297, 1690]"
238,5319,"[505, 4493, 2387, 1711, 1485, 4579, 276, 145, 3308, 4561]"
239,3184,"[648, 2820, 4491, 125, 4708, 1709, 3397, 2342, 3392, 1278]"
240,3203,"[4091, 4177, 357, 1984, 773, 4814, 767, 786, 2848, 193]"
241,2816,"[193, 1205, 1711, 4128, 4793, 4642, 1821, 215, 3854, 34]"
242,335,"[740, 4177, 647, 2756, 908, 983, 3037, 1089, 786, 2816]"
243,335,"[4783, 1646, 1519, 80, 2548, 1244, 2970, 804, 4479, 2680]"
244,63,"[3885, 4164, 3524, 4683, 2500, 4394, 4106, 2139, 1611, 3113]"
245,7449,"[2139, 1088, 116, 193, 647, 1287, 80, 2949, 127, 42]"
246,4717,"[4091, 1089, 2549, 2848, 708, 1711, 1088, 1740, 2155, 2274]"
247,332,"[1711, 1740, 80, 3018, 2468, 238, 297, 4069, 4814, 193]"
248,5180,"[4091, 647, 1089, 786, 4945, 193, 1755, 484, 3397, 4842]"
249,2683,"[4642, 145, 4446, 1683, 262, 2274, 3102, 2210, 361, 648]"
250,840,"[361, 1960, 1871, 1221, 2274, 276, 2829, 4477, 214, 1522]"
251,840,[]
252,840,[]
253,5010,"[4783, 4177, 648, 1601, 193, 2949, 3102, 4245, 532, 4453]"
254,2499,"[647, 4573, 4778, 3424, 740, 1252, 1611, 2949, 2311, 945]"
255,2499,"[647, 10, 4738, 2139, 794, 1287, 4757, 2976, 3391, 1764]"
256,840,"[181, 2478, 2773, 85, 145, 4106, 2682, 2194, 1935, 2610]"
257,840,"[125, 4642, 2632, 3942, 148, 3753, 220, 2409, 2921, 4187]"
258,840,"[740, 1984, 786, 4894, 6, 3732, 3710, 4245, 4270, 3198]"
259,2683,"[4091, 647, 1089, 2256, 3102, 3189, 3685, 2274, 4793, 772]"
260,332,"[1332, 2970, 4730, 4981, 2820, 3685, 1611, 1854, 2179, 416]"
261,840,"[112, 2280, 4392, 1740, 3793, 4929, 1198, 3091, 4329, 272]"
262,63,"[4091, 1252, 908, 3551, 1646, 3050, 4814, 767, 2218, 437]"
263,4717,"[866, 648, 324, 4, 8, 4432, 708, 1711, 839, 2280]"
264,4717,"[4783, 4091, 647, 1646, 648, 3939, 193, 708, 238, 1602]"
265,5319,"[4783, 740, 357, 1633, 4814, 297, 786, 2848, 193, 484]"
266,63,"[882, 145, 2949, 4493, 4783, 1926, 3535, 2289, 1501, 2025]"
267,6654,"[4177, 4827, 647, 1646, 2549, 2848, 2220, 3732, 708, 3955]"
268,800,"[324, 3939, 3175, 2949, 2280, 4104, 1740, 532, 284, 3335]"
269,840,"[3660, 4922, 2355, 647, 1826, 2210, 112, 361, 2280, 740]"
270,2499,"[4642, 3048, 1611, 575, 3431, 4245, 2118, 1233, 1143, 1333]"
271,800,"[4783, 647, 4482, 679, 193, 2820, 4093, 484, 4918, 125]"
272,5010,"[4961, 3695, 786, 4847, 2139, 2295, 2862, 1684, 3538, 2903]"
273,840,"[109, 85, 3014, 2621, 3391, 708, 1713, 80, 3743, 588]"
274,3203,"[4446, 4783, 740, 4177, 647, 1252, 1984, 908, 983, 3813]"
275,2131,"[740, 4177, 3300, 647, 1252, 908, 4814, 866, 648, 193]"
276,5006,"[125, 818, 1873, 882, 1988, 2666, 3372, 152, 3201, 4752]"
277,5010,"[647, 193, 125, 1711, 2608, 2280, 4382, 1740, 2291, 1854]"
278,3203,"[708, 125, 2178, 4572, 1695, 2315, 2949, 2549, 1595, 4738]"
279,5006,"[936, 135, 1740, 3459, 1315, 3198, 645, 2608, 3335, 3182]"
280,840,"[4501, 297, 3322, 804, 4814, 484, 80, 181, 4887, 4245]"
281,2683,"[4446, 3823, 740, 4091, 4177, 4827, 2, 647, 1984, 983]"
282,6906,"[740, 2342, 3510, 2988, 4642, 2355, 803, 145, 882, 4601]"
283,5010,"[125, 1740, 3715, 165, 4738, 882, 1688, 4270, 1443, 3322]"
284,4717,"[740, 647, 145, 3424, 1611, 1252, 2300, 2848, 1253, 193]"
285,2499,"[1646, 1357, 2256, 4270, 2227, 2150, 4106, 4941, 4070, 882]"
286,840,"[740, 4096, 505, 2442, 4814, 882, 3314, 4989, 2651, 4751]"
287,840,"[2949, 1406, 1921, 882, 85, 1178, 3289, 1492, 109, 1142]"
288,4717,"[3424, 1287, 2280, 3102, 3519, 3551, 2355, 4642, 18, 853]"
289,840,"[4783, 740, 193, 276, 361, 4501, 4989, 1076, 4893, 1879]"
290,5006,"[647, 648, 4493, 708, 125, 3198, 284, 923, 145, 3820]"
291,5319,"[4337, 855, 1611, 1667, 151, 4752, 4833, 3318, 2063, 2179]"
292,840,"[145, 740, 4642, 708, 4207, 1517, 647, 4284, 4783, 4069]"
293,800,"[4446, 4783, 1984, 3551, 983, 297, 648, 2848, 2220, 4493]"
294,840,"[647, 1984, 193, 1304, 2125, 2207, 4981, 2833, 4131, 1270]"
295,6654,"[4091, 1653, 983, 1646, 767, 2549, 679, 4894, 1288, 115]"
296,6276,"[4091, 4177, 647, 1984, 908, 983, 773, 685, 297, 648]"
297,5006,"[2549, 3143, 3990, 4918, 125, 4665, 2256, 2342, 2274, 3715]"
298,840,"[2988, 4270, 4642, 361, 4043, 1684, 2139, 3510, 1129, 1157]"
299,5006,"[2179, 705, 2280, 3340, 1712, 4683, 2897, 1550, 960, 3335]"
300,840,"[3939, 4642, 361, 882, 1715, 647, 1437, 2577, 4106, 2468]"
301,3203,"[554, 397, 4783, 882, 648, 2632, 3343, 1922, 4091, 2203]"
302,840,[]
303,5006,"[2377, 2988, 532, 4642, 4599, 2215, 4098, 4329, 882, 3942]"
304,2499,"[3551, 588, 266, 416, 20, 3083, 361, 36, 505, 1270]"
305,3184,"[4096, 989, 793, 276, 3760, 647, 3211, 3241, 940, 4098]"
306,5010,"[361, 4302, 1995, 125, 4283, 2280, 4194, 4642, 4557, 2274]"
307,6906,"[882, 4642, 266, 2499, 85, 2949, 3565, 1791, 1334, 4091]"
308,2499,"[4091, 2549, 2848, 1304, 4533, 4683, 266, 4642, 1681, 922]"
309,840,"[647, 2610, 137, 4245, 145, 416, 85, 723, 740, 299]"
310,3184,"[4783, 740, 4177, 2, 647, 1984, 1022, 297, 1089, 786]"
311,840,"[2179, 2755, 2949, 127, 2155, 2, 4344, 505, 3337, 3032]"
312,5010,"[1277, 2511, 1630, 4642, 882, 242, 62, 361, 145, 677]"
313,5010,"[740, 647, 983, 1646, 708, 14, 2988, 4270, 416, 2500]"
314,840,"[740, 4177, 125, 4836, 3102, 2274, 4533, 21, 4844, 2773]"
315,5006,"[4783, 740, 647, 1653, 1984, 3813, 3037, 648, 1690, 437]"
316,840,"[647, 2549, 276, 4960, 708, 4642, 4894, 1812, 85, 4893]"
317,6906,"[4493, 2210, 109, 4005, 3571, 2139, 145, 3640, 925, 3519]"
318,6906,"[4683, 361, 936, 1004, 3335, 4533, 2830, 1192, 921, 1494]"
319,1168,"[1984, 1646, 4814, 3143, 1711, 3073, 1088, 2342, 3510, 4635]"
320,2683,"[1946, 4245, 816, 3510, 4169, 2210, 1984, 4814, 2549, 397]"
321,6335,"[4446, 4783, 740, 4091, 4177, 3300, 2, 1653, 357, 983]"
