user,include,item list
87,6276,"[2392, 1288, 357, 1088, 361, 2450, 1752, 4337, 1649, 3225]"
88,7470,"[1911, 2619, 4674, 507, 710, 1659, 1765, 4120, 3857, 4501]"
89,1511,"[4665, 3564, 1455, 391, 1854, 234, 1821, 3431, 3650, 1921]"
90,4623,"[812, 1736, 2990, 2256, 3791, 3510, 1758, 4475, 1825, 3940]"
91,6276,"[361, 4005, 4171, 4462, 4683, 4445, 1088, 3965, 679, 4118]"
92,3355,"[2326, 3037, 45, 3230, 3307, 4457, 341, 326, 1911, 4524]"
93,8021,"[2639, 3802, 1081, 1252, 610, 276, 1779, 2940, 4545, 1150]"
94,1168,"[2, 1736, 4445, 3198, 1445, 2210, 216, 66, 3652, 455]"
95,1168,"[3198, 2210, 145, 4049, 106, 4940, 3914, 4001, 3040, 2041]"
96,6906,"[4783, 647, 1357, 193, 708, 1024, 2274, 1854, 4913, 4573]"
97,4623,"[4093, 4955, 1306, 2256, 4382, 1736, 3510, 2988, 1455, 3496]"
98,3484,"[4292, 2149, 2599, 3545, 2266, 1028, 108, 4398, 24, 4382]"
99,3502,"[1653, 4390, 4396, 1224, 802, 3576, 465, 4143, 3880, 4637]"
100,3668,"[4665, 524, 1484, 3607, 870, 1650, 880, 3575, 4245, 4670]"
101,3484,"[1266, 605, 1430, 3662, 4772, 3650, 932, 614, 4895, 3292]"
102,3440,"[3165, 2, 4751, 3060, 191, 4954, 2678, 1252, 2494, 1822]"
103,4987,"[2848, 4493, 1728, 4207, 284, 109, 818, 856, 4233, 4599]"
104,1252,"[738, 4286, 4581, 4874, 4325, 258, 3590, 165, 2586, 4533]"
105,5168,"[544, 160, 193, 2970, 3873, 2051, 2217, 3282, 2301, 2501]"
106,5006,"[1522, 4738, 3732, 483, 2832, 4904, 2392, 80, 3102, 4337]"
107,5168,"[1980, 1388, 3282, 160, 2830, 2674, 356, 4989, 298, 311]"
108,5180,"[3300, 2, 983, 324, 88, 986, 3201, 4093, 3676, 3238]"
109,7213,"[3798, 361, 2356, 1254, 1028, 3080, 240, 2621, 940, 1448]"
110,2131,"[3885, 24, 1775, 99, 3781, 131, 4338, 3600, 313, 88]"
111,393,"[4270, 3259, 2150, 4284, 2139, 1197, 4090, 581, 21, 1856]"
112,5319,"[4693, 3732, 1546, 1623, 3900, 2439, 2077, 1717, 796, 2356]"
113,3723,"[2342, 4722, 3661, 4396, 1125, 116, 459, 4098, 4661, 646]"
114,2856,"[4691, 4683, 1708, 4767, 1178, 3432, 986, 829, 3879, 3494]"
115,6654,"[807, 4683, 2392, 2425, 2313, 389, 4049, 4128, 972, 214]"
116,7655,"[956, 4640, 3097, 1080, 50, 2384, 2194, 3336, 2104, 324]"
117,5006,"[4932, 780, 4893, 1818, 193, 4738, 88, 4907, 4349, 4342]"
118,1119,"[1087, 2549, 3628, 3459, 3164, 4143, 3335, 4766, 4239, 3600]"
119,2148,"[3386, 4337, 4310, 181, 1178, 3905, 807, 953, 3196, 4252]"
120,3484,"[3685, 314, 1037, 2149, 4579, 4382, 4774, 4233, 1430, 70]"
121,3203,"[3003, 1196, 240, 1184, 3183, 1698, 3459, 4691, 1735, 3007]"
122,1833,"[1605, 288, 2887, 4581, 2393, 2514, 4493, 2885, 1519, 4396]"
123,4717,"[3226, 3467, 4665, 4140, 4064, 1473, 3060, 2075, 186, 799]"
124,1168,"[444, 505, 3459, 1445, 3055, 2301, 145, 1007, 294, 242]"
125,3184,"[4091, 4642, 148, 2300, 2536, 2439, 1373, 4302, 3685, 3905]"
126,1252,"[2784, 4286, 1465, 4325, 3516, 4751, 2193, 3446, 4489, 12]"
127,5825,"[1201, 2987, 4893, 2795, 1048, 1642, 936, 1128, 2955, 2232]"
128,2148,"[1904, 181, 807, 3496, 4337, 4252, 2968, 27, 1202, 3381]"
129,5966,"[276, 2256, 3565, 2657, 187, 1682, 3003, 3260, 3237, 4320]"
130,5010,"[1252, 2848, 1057, 3604, 238, 4836, 2377, 4954, 4128, 3510]"
131,3355,"[3982, 2342, 2445, 837, 2656, 4026, 337, 1436, 2905, 2850]"
132,3497,"[4394, 3555, 1460, 1619, 1896, 1172, 211, 1128, 2260, 4699]"
133,3355,"[2445, 2342, 4026, 4516, 657, 2120, 4393, 3037, 4084, 837]"
134,5298,"[4690, 1854, 701, 1812, 1071, 2317, 1339, 3888, 2222, 3647]"
135,63,"[708, 1097, 2023, 4506, 2730, 2445, 2664, 1911, 234, 4149]"
136,4836,"[361, 1880, 4556, 3774, 2217, 3228, 126, 3565, 986, 254]"
137,3668,"[352, 3431, 524, 4012, 1491, 4670, 4243, 4692, 1860, 3607]"
138,2856,"[932, 2430, 2063, 916, 4683, 4955, 2811, 2976, 3928, 1178]"
139,8021,"[807, 610, 1252, 2639, 1970, 1150, 4477, 3152, 3138, 2703]"
140,2816,"[2313, 1602, 4320, 4533, 1324, 565, 588, 1667, 4847, 2520]"
141,2509,"[532, 1994, 3907, 554, 3127, 4409, 1946, 331, 3269, 852]"
142,1093,"[1970, 3183, 3100, 2086, 2050, 2139, 191, 855, 3293, 4446]"
143,5180,"[1088, 4904, 4171, 4710, 3650, 3038, 324, 2489, 902, 3841]"
144,2816,"[4842, 1178, 2520, 3459, 3897, 336, 588, 3753, 2150, 1085]"
145,3502,"[3808, 106, 4637, 4635, 2851, 1370, 480, 4216, 4390, 3289]"
146,5010,"[4945, 3510, 284, 1169, 2339, 1522, 2050, 2439, 2086, 4656]"
147,7449,"[2031, 4913, 3881, 415, 3168, 1024, 630, 2160, 391, 3336]"
148,5010,"[1804, 2801, 2251, 2831, 3459, 4535, 279, 2050, 2439, 4995]"
149,5180,"[4642, 3459, 2919, 4578, 3259, 1787, 4929, 4904, 2608, 3625]"
150,2683,"[1690, 3226, 495, 389, 80, 421, 1751, 3207, 940, 3665]"
151,5695,"[182, 470, 3480, 2076, 4149, 927, 1828, 4601, 1374, 4643]"
152,5180,"[4642, 1113, 4731, 1313, 2181, 49, 3650, 331, 4692, 2511]"
153,6276,"[2095, 439, 2101, 2831, 361, 960, 463, 2933, 1005, 1957]"
154,7655,"[2274, 3438, 3018, 4506, 3506, 4226, 112, 4503, 2866, 2831]"
155,342,"[4858, 4140, 2610, 3835, 3009, 3479, 793, 2470, 391, 4570]"
156,5180,"[4642, 2511, 2425, 3650, 4730, 60, 159, 1583, 325, 3459]"
157,393,"[688, 2139, 1504, 4284, 4239, 1262, 909, 1581, 836, 2976]"
158,5966,"[2256, 4807, 2608, 3939, 137, 276, 3908, 3260, 3565, 1517]"
159,8021,"[2088, 3565, 191, 252, 320, 1471, 3441, 4096, 1100, 183]"
160,6696,"[3341, 2691, 4443, 4098, 1240, 1545, 4091, 1665, 4534, 3868]"
161,332,"[4858, 3164, 3483, 3611, 3647, 3024, 4592, 18, 132, 925]"
162,5825,"[629, 489, 4193, 571, 248, 2092, 4994, 3227, 2608, 1048]"
163,342,"[4960, 255, 4140, 4680, 3687, 3624, 4858, 630, 4951, 3835]"
164,1833,"[4493, 2638, 4336, 1545, 4776, 4527, 1139, 2887, 4581, 1705]"
165,393,"[2139, 3183, 1818, 1784, 1581, 4270, 3917, 1988, 21, 1856]"
166,7642,"[1048, 2015, 4501, 4272, 40, 3898, 3168, 116, 2530, 57]"
167,5298,"[3444, 809, 2410, 750, 1854, 916, 3109, 114, 4115, 2223]"
168,1833,"[4493, 1605, 4396, 4948, 2778, 2887, 1252, 2816, 3873, 288]"
169,4253,"[713, 4531, 3537, 1252, 1611, 4579, 1178, 2135, 2639, 3318]"
170,1119,"[3600, 3164, 1262, 2181, 3768, 1087, 2549, 3335, 3350, 4239]"
171,5695,"[186, 3226, 4601, 4809, 3788, 2096, 1421, 4737, 4830, 3285]"
172,3668,"[437, 4665, 4245, 4670, 352, 524, 1484, 4692, 1267, 1491]"
173,7557,"[525, 2874, 2508, 1240, 2088, 4787, 3444, 2178, 4063, 2784]"
174,590,"[3335, 3602, 668, 4177, 4888, 4995, 1405, 1630, 1894, 3612]"
175,2499,"[3571, 18, 532, 1253, 2031, 276, 14, 4677, 782, 2422]"
176,1329,"[903, 2549, 4390, 193, 2912, 3438, 1983, 1224, 3424, 505]"
177,6696,"[4091, 1252, 1601, 4842, 3258, 2155, 2912, 4533, 3729, 4963]"
178,7449,"[1472, 3483, 3491, 2111, 230, 1935, 1684, 1231, 2291, 2821]"
179,4574,"[1567, 1253, 99, 711, 689, 1371, 909, 3923, 2872, 3616]"
180,3355,"[1911, 186, 2656, 2342, 166, 2207, 2326, 3786, 2842, 3982]"
181,4308,"[983, 2988, 2945, 2256, 4676, 4461, 4349, 4956, 4049, 544]"
182,3484,"[932, 70, 3795, 1492, 742, 3937, 1037, 4945, 3685, 946]"
183,4717,"[4888, 4003, 3837, 3459, 3994, 357, 45, 484, 2025, 2869]"
184,7470,"[4665, 3519, 3269, 816, 1463, 1855, 1004, 924, 4501, 1659]"
185,2131,"[3942, 2229, 1106, 2251, 1341, 4560, 1430, 3781, 2616, 24]"
186,6654,[]
187,5825,"[4570, 1128, 1121, 2350, 663, 2326, 438, 1642, 248, 4813]"
188,8021,"[1252, 4096, 2639, 4477, 276, 2062, 1100, 1970, 3565, 1465]"
189,6335,"[2430, 41, 4880, 2522, 1007, 744, 2511, 3930, 2691, 1746]"
190,6335,"[866, 4918, 1128, 14, 3258, 4683, 1093, 1531, 956, 303]"
191,6696,"[1601, 4396, 3258, 3057, 4842, 4091, 627, 4945, 2975, 692]"
192,2320,"[2639, 1174, 3086, 1409, 4640, 1288, 2976, 4097, 1341, 2496]"
193,4574,"[2842, 4408, 341, 4799, 3015, 909, 2651, 1567, 630, 4340]"
194,1093,"[897, 2639, 4411, 1519, 3432, 3955, 3198, 4446, 3024, 4301]"
195,2856,"[3003, 2229, 4465, 3685, 4691, 4714, 3667, 3928, 4546, 4386]"
196,840,"[126, 1611, 4573, 2454, 1842, 3459, 45, 3188, 2481, 1601]"
197,6270,"[647, 4546, 3775, 708, 413, 1178, 3335, 2342, 695, 1653]"
198,4836,"[361, 3757, 3459, 495, 4496, 935, 4874, 2188, 3300, 152]"
199,6270,"[4783, 647, 983, 2549, 4932, 125, 4971, 4836, 2280, 3685]"
200,1329,"[2549, 3424, 4390, 3351, 820, 903, 325, 1815, 855, 3930]"
201,1511,"[647, 4799, 1646, 617, 645, 3127, 3770, 3483, 1253, 1121]"
202,7449,[]
203,342,"[2031, 3330, 391, 2291, 3543, 976, 4960, 3624, 3406, 2504]"
204,4863,"[505, 4005, 4693, 4497, 1605, 2885, 3928, 3061, 145, 2801]"
205,3668,"[4302, 4243, 1491, 4138, 870, 1970, 4714, 437, 4245, 4665]"
206,2320,"[2970, 3003, 3897, 4954, 1262, 1611, 198, 3018, 4338, 3146]"
207,5298,"[710, 1812, 4071, 1854, 2317, 2295, 4690, 3439, 114, 4406]"
208,4863,"[159, 1100, 1591, 4386, 3907, 1993, 2349, 1236, 3663, 2639]"
209,5319,"[4918, 4195, 3048, 1682, 1810, 4527, 2126, 4411, 2703, 4434]"
210,3203,"[2639, 3183, 3459, 2455, 3955, 3594, 4922, 1129, 4447, 4725]"
211,1168,"[2105, 1445, 145, 505, 444, 64, 3915, 4961, 4001, 3934]"
212,1168,"[2210, 4036, 530, 3459, 2536, 4716, 4001, 2524, 2694, 2906]"
213,3502,"[3576, 4396, 480, 3333, 3289, 3880, 1722, 4637, 3628, 2334]"
214,3440,[]
215,1329,"[505, 1923, 855, 193, 2549, 2970, 3612, 2447, 903, 2704]"
216,7655,"[112, 300, 708, 1574, 4392, 716, 3207, 2964, 4396, 395]"
217,3440,"[1075, 4723, 331, 4716, 3142, 2, 2392, 439, 251, 2356]"
218,4574,"[3935, 1337, 3923, 1479, 250, 1371, 488, 114, 2872, 809]"
219,5185,"[4720, 3335, 4851, 668, 1494, 1012, 1611, 940, 4578, 2392]"
220,6270,"[3499, 3061, 2874, 2295, 1178, 2549, 4651, 193, 4446, 532]"
221,1119,"[3164, 2549, 3459, 2401, 2912, 2093, 4019, 1262, 333, 1087]"
222,5825,"[2987, 1201, 1642, 438, 2608, 936, 2607, 4193, 2090, 663]"
223,5966,[]
224,4623,"[3510, 4661, 302, 2095, 4968, 4723, 4634, 4031, 2988, 3179]"
225,6276,"[361, 4869, 4128, 4867, 4171, 844, 1753, 2880, 2732, 1382]"
226,7233,"[3424, 844, 1080, 3342, 3930, 1341, 1089, 4194, 2345, 509]"
227,4253,"[1611, 2495, 1252, 2639, 3713, 584, 3035, 3022, 1720, 2683]"
228,1124,"[1013, 200, 4955, 3510, 4226, 704, 302, 1604, 4564, 1690]"
229,332,"[941, 98, 3015, 4793, 710, 1714, 577, 988, 1936, 4377]"
230,3217,"[4416, 193, 4216, 3689, 2136, 432, 3446, 2549, 903, 3428]"
231,7367,"[125, 2506, 2200, 882, 962, 4177, 430, 1911, 3004, 211]"
232,5695,"[2769, 3285, 3290, 2160, 4541, 3267, 2250, 3910, 4809, 3889]"
233,6335,"[956, 4005, 4918, 2430, 67, 4396, 1933, 2188, 768, 1705]"
234,332,"[1984, 3857, 205, 1287, 3116, 2706, 9, 4858, 45, 2503]"
235,5010,"[437, 2848, 1728, 1057, 413, 1160, 3763, 4836, 2377, 4128]"
236,4987,"[2848, 4493, 1728, 818, 4985, 2632, 973, 2050, 1951, 1066]"
237,5168,"[1653, 3438, 565, 4989, 3282, 2051, 2501, 1749, 2301, 4143]"
238,7449,"[2189, 4737, 63, 3336, 1991, 1572, 68, 1472, 2860, 3012]"
239,4253,"[1252, 1276, 109, 4126, 1405, 1522, 1178, 2135, 607, 4898]"
240,7946,"[2549, 3344, 2633, 2136, 2015, 2494, 3537, 3338, 1611, 3974]"
241,2832,"[3073, 14, 2548, 1663, 4767, 3001, 2811, 56, 3210, 3905]"
242,332,"[1984, 767, 18, 98, 2530, 4028, 2060, 3619, 45, 4071]"
243,4623,"[4093, 4382, 4194, 502, 160, 2056, 2988, 3367, 1736, 4718]"
244,1329,"[2549, 2970, 1871, 820, 2266, 3037, 4676, 1548, 505, 1838]"
245,5966,"[3055, 3895, 54, 3138, 2052, 2851, 3003, 463, 4047, 713]"
246,5825,"[4783, 4402, 2090, 1114, 3227, 936, 571, 489, 2795, 4379]"
247,6276,"[2392, 1005, 361, 4275, 357, 115, 1752, 3308, 463, 960]"
248,7470,"[1561, 4394, 2445, 4695, 3285, 236, 4828, 4470, 4665, 2951]"
249,5648,"[1671, 874, 357, 4683, 1764, 2251, 1604, 3738, 3630, 145]"
250,7233,"[3198, 4912, 4965, 4560, 2507, 1686, 3901, 2941, 3338, 216]"
251,1252,[]
252,5648,[]
253,7213,"[4814, 145, 361, 3509, 1715, 1588, 2657, 3953, 3930, 4932]"
254,3440,"[3113, 1545, 3907, 1682, 2300, 1252, 1013, 2799, 2356, 4954]"
255,8021,"[3565, 276, 3152, 536, 71, 4477, 1252, 1778, 895, 2217]"
256,1119,"[3164, 2970, 3335, 3201, 4493, 3459, 3598, 1235, 3600, 1087]"
257,3184,"[3685, 1983, 1871, 3781, 4019, 885, 71, 1224, 1522, 333]"
258,4308,"[4836, 2637, 983, 3144, 3469, 1623, 4049, 544, 1740, 4412]"
259,3484,"[3650, 940, 3685, 3837, 1493, 4945, 216, 3869, 4029, 4382]"
260,1511,"[3483, 4026, 2658, 1813, 239, 2351, 1960, 2353, 1253, 3571]"
261,5825,"[1359, 2232, 1470, 4783, 3185, 1549, 2608, 3227, 2955, 4939]"
262,6906,"[4783, 647, 1252, 2816, 193, 708, 828, 4198, 2274, 769]"
263,2499,"[908, 648, 1253, 4115, 18, 1097, 276, 4028, 2160, 2407]"
264,5180,"[4642, 2941, 3459, 3650, 1698, 3238, 1091, 4788, 189, 1686]"
265,2499,"[908, 648, 4493, 708, 2281, 18, 276, 1930, 145, 3459]"
266,7213,"[145, 979, 361, 3802, 2499, 3932, 1749, 461, 1089, 1736]"
267,4863,"[505, 1841, 1605, 145, 2946, 3928, 4088, 2575, 1591, 2349]"
268,6906,"[193, 2820, 116, 1871, 1585, 3581, 4665, 2941, 3740, 3483]"
269,4308,"[1740, 256, 1294, 1229, 1020, 4778, 198, 2377, 4049, 2988]"
270,1910,"[1595, 3813, 2809, 4683, 3421, 1133, 2143, 4005, 1828, 3888]"
271,3484,"[2599, 2149, 3685, 2158, 2494, 4292, 4945, 1923, 2516, 1493]"
272,5319,"[2105, 1240, 3224, 1821, 4918, 4411, 4352, 1486, 2296, 4512]"
273,1093,"[4128, 3677, 1197, 3510, 4512, 1752, 4411, 3258, 1089, 4446]"
274,2832,"[983, 14, 1631, 617, 2506, 4396, 3001, 4494, 845, 928]"
275,2683,"[1646, 1357, 4854, 532, 1879, 2645, 2833, 818, 4828, 617]"
276,5966,"[3237, 3576, 3456, 463, 3003, 3880, 3337, 556, 2256, 1748]"
277,342,"[2610, 3479, 4951, 391, 3962, 3835, 231, 630, 255, 4341]"
278,5915,"[2988, 320, 4432, 3730, 1030, 4533, 1087, 4752, 4489, 3979]"
279,3440,"[2102, 3794, 4954, 2300, 184, 1089, 4283, 1981, 331, 3238]"
280,7557,"[116, 20, 4506, 455, 1197, 880, 2181, 3045, 692, 4949]"
281,7258,"[740, 276, 2179, 4074, 4001, 2377, 2458, 3456, 1229, 553]"
282,1119,"[4493, 2443, 2401, 2352, 2549, 3265, 3164, 2970, 3335, 3420]"
283,3184,"[3685, 3565, 511, 96, 2691, 1118, 744, 2536, 4337, 1894]"
284,7470,"[1659, 1984, 4394, 3840, 489, 4665, 4828, 186, 2474, 2409]"
285,840,"[18, 4394, 676, 2551, 1601, 3840, 1778, 1400, 2991, 3459]"
286,1257,"[4497, 4005, 3928, 3100, 1804, 1602, 3391, 3955, 855, 2283]"
287,5966,"[3939, 3055, 282, 2657, 4936, 2256, 1722, 586, 54, 3003]"
288,4836,"[3459, 2651, 4292, 361, 2799, 1184, 2198, 935, 2869, 209]"
289,4253,"[1611, 1252, 1619, 1357, 2639, 3333, 3393, 55, 1794, 4579]"
290,5319,"[2458, 4918, 3091, 4527, 3058, 660, 1204, 183, 3584, 403]"
291,3440,"[4292, 2801, 2743, 4169, 2392, 191, 1252, 2678, 1448, 2996]"
292,6335,"[3391, 41, 543, 2903, 3537, 1088, 1951, 2778, 3107, 4698]"
293,6270,"[647, 4336, 3704, 4918, 708, 4665, 2342, 532, 807, 3198]"
294,2832,"[3657, 3496, 3210, 4767, 3233, 736, 2506, 2082, 3073, 617]"
295,1168,"[1445, 2210, 4233, 3630, 2138, 2179, 2392, 3154, 2, 145]"
296,1093,"[1252, 3258, 3510, 109, 2639, 1778, 3794, 2746, 1169, 1405]"
297,6906,"[647, 708, 2608, 2911, 1479, 3424, 4557, 4226, 1214, 3423]"
298,7946,"[1411, 421, 4290, 3183, 4940, 3900, 3338, 1611, 3974, 1548]"
299,6654,"[3370, 3974, 2514, 2041, 3271, 505, 1740, 4683, 2392, 4071]"
300,2509,"[852, 4783, 4828, 4409, 2649, 1241, 532, 4825, 36, 1945]"
301,5966,"[3908, 1679, 3895, 713, 839, 659, 1517, 2595, 463, 3237]"
302,5006,[]
303,2832,"[4524, 983, 4396, 2990, 3210, 4499, 3905, 2548, 234, 928]"
304,5010,"[4954, 4005, 3459, 3047, 4922, 1137, 1762, 2359, 4290, 3584]"
305,3217,"[1388, 874, 1648, 3598, 2197, 2651, 2501, 903, 4986, 2799]"
306,5298,"[710, 3421, 3226, 1854, 2866, 3888, 750, 3206, 4115, 3484]"
307,5825,"[4193, 663, 2795, 3865, 1048, 3099, 936, 248, 3151, 2090]"
308,1093,"[586, 109, 252, 1087, 3924, 3183, 3725, 4402, 2478, 1235]"
309,4096,"[1715, 4659, 1720, 69, 1464, 633, 4760, 2970, 2896, 2783]"
310,4253,"[1252, 4932, 4045, 772, 3438, 4337, 32, 2187, 1611, 1903]"
311,5298,"[1854, 3019, 4876, 3854, 3888, 750, 2410, 3444, 2476, 1496]"
