user,hist,target,item list
21,647,"[3514.4, 480.15, 332.0, 52.47, 144.54, 151.0, 47.519999999999996]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
22,1646,"[919.9000000000001, 89.0, 193.05, 72.0, 59.0, 178.2, 24.75]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
23,4814,"[1809.6, 165.0, 449.0, 58.0, 54.0, 216.81, 64.0]","[1943, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
24,740,"[676.4, 30.0, 272.25, 28.71, 26.73, 43.56, 37.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
25,4390,"[504.2, 33.66, 28.0, 60.39, 99.0, 34.0, 6.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
26,2949,"[793.1879999999999, 83.16, 125.0, 17.82, 58.41, 82.0, 14.85]","[251, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
27,2274,"[469.29999999999995, 18.0, 208.0, 4.95, 12.0, 19.0, 20.79]","[98, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
28,2274,"[471.2, 0.0, 275.21999999999997, 0.0, 0.0, 0.0, 23.759999999999998]","[2274, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
29,647,"[3699.9, 505.0, 340.0, 31.68, 182.0, 170.28, 49.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
30,4091,"[3116.3999999999996, 362.0, 154.44, 336.0, 242.55, 311.85, 44.0]","[2, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
31,345,"[587.4, 36.0, 154.44, 14.0, 18.0, 54.0, 26.0]","[345, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
32,4783,"[260.172, 7.0, 46.0, 48.0, 18.0, 8.0, 13.86]","[4836, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
33,4642,"[1564.0, 158.0, 8.0, 64.0, 112.0, 308.0, 36.0]","[4642, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
34,4894,"[859.0, 84.0, 99.0, 39.0, 117.0, 91.08, 8.91]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
35,2342,"[274.032, 6.0, 51.0, 13.86, 14.85, 9.9, 16.0]","[908, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
36,4738,"[764.5, 36.0, 17.82, 63.0, 84.0, 57.42, 30.69]","[4715, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
37,4446,"[152.559, 1.98, 38.0, 12.0, 9.9, 4.0, 8.91]","[908, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
38,4783,"[851.0039999999999, 46.53, 21.0, 70.0, 52.0, 12.87, 38.0]","[3391, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
39,171,"[453.7, 28.0, 118.0, 10.89, 37.0, 48.51, 19.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
40,125,"[2567.367, 202.95, 1075.14, 54.0, 84.15, 193.0, 108.9]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
41,4446,"[315.3, 6.0, 49.5, 17.0, 80.0, 5.0, 8.0]","[4634, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
42,740,"[847.5, 32.67, 242.0, 39.0, 37.62, 46.0, 49.0]","[4005, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
43,740,"[568.6, 22.0, 234.0, 24.0, 20.0, 20.0, 32.67]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
44,2657,"[1048.6, 89.0, 18.0, 54.0, 135.0, 98.01, 21.0]","[108, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
45,1646,"[514.503, 42.0, 186.12, 8.91, 9.0, 85.0, 20.79]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
46,908,"[258.0, 6.93, 5.9399999999999995, 5.9399999999999995, 25.74, 5.9399999999999995, 11.879999999999999]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
47,740,"[1401.246, 134.64, 406.89, 17.82, 32.67, 41.58, 50.49]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
48,647,"[3701.3129999999996, 499.0, 343.53, 50.0, 159.39, 166.0, 57.42]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
49,2499,"[762.1, 56.0, 83.16, 93.06, 99.0, 76.23, 20.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
50,2055,"[829.62, 70.0, 31.0, 32.0, 123.75, 49.5, 14.0]","[2349, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
51,1984,"[924.264, 65.34, 86.0, 77.0, 79.2, 84.15, 30.69]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
52,284,"[299.277, 36.0, 14.0, 8.0, 26.0, 38.61, 1.98]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
53,1736,"[565.9, 44.0, 35.0, 114.0, 100.0, 34.65, 6.93]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
54,4783,"[3546.3, 472.23, 330.66, 43.0, 145.53, 146.52, 53.46]","[647, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
55,2949,"[676.5, 61.38, 215.0, 104.94, 24.75, 61.38, 21.78]","[2667, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
56,4446,"[460.90000000000003, 35.0, 55.0, 73.0, 56.43, 35.64, 11.0]","[2816, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
57,4798,"[916.5999999999999, 38.61, 523.71, 8.0, 18.81, 74.0, 54.45]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
58,4091,"[592.1189999999999, 33.0, 96.03, 52.0, 92.0, 22.0, 16.0]","[1879, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
59,4091,"[412.335, 28.0, 34.0, 49.5, 88.0, 17.82, 3.96]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
60,1944,"[1961.388, 176.22, 318.0, 35.0, 204.93, 161.37, 44.0]","[1601, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
61,4177,"[639.3, 42.0, 64.35, 103.0, 55.44, 44.0, 24.0]","[1443, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
62,647,"[3652.407, 495.0, 334.62, 31.68, 191.0, 164.34, 48.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
63,4894,"[561.1, 48.51, 97.02, 25.74, 51.0, 95.03999999999999, 13.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
64,1842,"[603.9, 20.79, 152.0, 32.0, 39.0, 21.78, 33.66]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
65,1684,"[580.2, 26.0, 92.0, 8.0, 45.0, 31.68, 28.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
66,647,"[3572.3, 472.23, 466.29, 24.0, 139.0, 146.52, 57.42]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
67,3823,"[3633.993, 502.0, 324.0, 71.28, 185.13, 185.0, 44.55]","[647, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
68,4642,"[1015.7, 97.0, 72.27, 36.63, 68.0, 171.27, 27.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
69,3300,"[802.4, 54.45, 49.0, 66.0, 76.23, 82.0, 23.759999999999998]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
70,2,"[3159.6839999999997, 365.31, 167.0, 365.31, 205.0, 321.0, 54.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
71,812,"[515.7, 58.41, 18.81, 44.0, 34.0, 72.27, 4.95]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
72,4783,"[604.395, 9.0, 236.60999999999999, 36.63, 22.0, 6.0, 42.0]","[740, 1118, 0, 4446, 1, 3823, 4783, 1906, 4091, 4177]"
73,983,"[904.3, 103.95, 34.65, 35.0, 38.0, 60.39, 18.0]","[4807, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
74,4446,"[133.55100000000002, 2.9699999999999998, 53.0, 6.0, 5.9399999999999995, 0.99, 8.0]","[4799, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
75,4918,"[935.253, 78.0, 252.0, 27.72, 80.19, 144.54, 25.74]","[1118, 0, 4446, 1, 4783, 740, 1906, 4091, 4177, 3300]"
76,125,"[2866.446, 200.97, 1172.16, 99.0, 161.37, 148.0, 112.86]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
77,4177,"[730.818, 26.73, 343.0, 42.57, 22.77, 48.51, 47.0]","[2444, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
78,4783,"[373.527, 28.71, 20.79, 32.67, 23.0, 37.62, 12.0]","[2105, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
80,4783,"[1406.8, 0.99, 1254.33, 18.81, 12.0, 0.0, 115.83]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
81,3048,"[677.259, 26.0, 33.66, 23.0, 34.0, 14.0, 38.61]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
82,740,"[788.9, 28.71, 247.0, 64.0, 97.0, 19.8, 34.0]","[4091, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177]"
83,1388,"[390.9, 13.86, 23.0, 115.0, 101.0, 12.0, 6.93]","[3141, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
84,3216,"[415.2, 10.0, 264.33, 12.87, 7.0, 5.0, 27.72]","[4985, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
85,2549,"[694.188, 30.0, 343.53, 134.64, 18.81, 15.84, 43.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
86,4797,"[631.4219999999999, 21.78, 136.62, 30.0, 34.65, 32.0, 34.65]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
87,484,"[700.0289999999999, 55.44, 215.82, 20.0, 50.49, 85.14, 24.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
88,740,"[859.7, 23.0, 270.0, 65.0, 117.0, 11.879999999999999, 40.589999999999996]","[3735, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
89,4446,"[398.6, 40.0, 58.41, 20.79, 31.68, 45.54, 7.92]","[361, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
90,4945,"[1031.5, 66.33, 53.0, 75.0, 86.13, 56.0, 34.65]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
91,4573,"[2213.739, 177.0, 1179.09, 24.75, 22.77, 348.0, 104.94]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
92,1984,"[697.158, 43.0, 68.0, 68.31, 51.48, 65.34, 27.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
93,145,"[824.4, 37.62, 35.64, 40.0, 79.0, 50.49, 35.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
94,4446,"[289.08, 9.0, 137.60999999999999, 11.0, 15.84, 15.84, 16.83]","[1357, 1118, 0, 4446, 1, 3823, 4783, 1906, 4091, 4177]"
95,4446,"[497.6, 44.55, 41.58, 23.759999999999998, 46.0, 54.45, 11.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177, 3300]"
96,4091,"[3633.5969999999998, 253.44, 1143.0, 148.0, 169.29, 122.0, 156.0]","[4207, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
97,4783,"[782.4960000000001, 71.28, 14.0, 51.0, 106.92, 60.39, 10.0]","[1653, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
98,2274,"[468.4, 23.759999999999998, 146.0, 37.0, 32.0, 39.0, 12.87]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
99,4091,"[445.59900000000005, 28.0, 34.0, 75.0, 92.0, 17.0, 6.0]","[2639, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
100,4446,"[505.90000000000003, 25.0, 60.0, 33.66, 90.0, 42.57, 14.0]","[1740, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
101,1602,"[323.235, 18.81, 33.66, 83.0, 26.73, 8.91, 14.0]","[2086, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
102,125,"[2578.158, 206.91, 1159.0, 32.0, 85.14, 113.85, 110.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
103,4446,"[531.63, 9.0, 263.0, 23.759999999999998, 16.83, 5.9399999999999995, 38.0]","[740, 1118, 0, 4446, 1, 3823, 4783, 1906, 4091, 4177]"
104,4533,"[589.6, 45.54, 35.64, 16.0, 104.94, 36.0, 7.92]","[4533, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
105,1646,"[665.9, 32.0, 196.02, 6.93, 25.0, 44.0, 36.63]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
106,4836,"[432.828, 22.0, 40.0, 69.0, 34.0, 14.85, 20.0]","[1522, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
107,4177,"[509.65199999999993, 22.0, 48.51, 32.67, 32.67, 37.62, 26.73]","[3432, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
108,4446,"[552.9, 48.0, 75.0, 28.71, 29.0, 43.56, 18.81]","[4814, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
109,4091,"[555.7, 49.0, 29.0, 60.0, 98.0, 52.0, 3.96]","[2105, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
110,1252,"[351.54900000000004, 27.72, 97.0, 26.73, 30.0, 24.75, 9.9]","[2356, 1118, 0, 1, 3823, 4783, 740, 1906, 4091, 4177]"
111,740,"[1199.682, 69.3, 247.0, 52.47, 108.0, 88.0, 47.519999999999996]","[4445, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
112,2970,"[884.9, 34.65, 41.0, 2403.72, 101.97, 19.8, 45.54]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
113,4091,"[749.0, 64.0, 31.0, 78.21, 141.57, 64.35, 3.96]","[4382, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
114,4803,"[599.6, 56.43, 28.0, 45.54, 99.99, 50.0, 3.96]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
115,4177,"[958.617, 96.03, 32.67, 39.6, 107.91, 183.0, 13.86]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
116,2377,"[360.1, 37.62, 30.69, 21.78, 38.0, 69.3, 4.0]","[882, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
117,2949,"[645.7, 47.519999999999996, 116.82, 32.67, 43.56, 62.0, 22.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
118,2820,"[249.975, 23.0, 106.0, 4.95, 3.96, 47.519999999999996, 7.92]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
119,647,"[3675.375, 496.98, 409.86, 37.0, 144.54, 167.31, 55.44]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
120,647,"[3950.5, 534.0, 337.0, 38.61, 193.0, 215.82, 52.0]","[1722, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
121,983,"[786.8, 89.0, 19.0, 54.0, 41.0, 67.32, 14.0]","[532, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
122,647,"[3528.855, 496.0, 352.0, 31.68, 143.55, 166.0, 47.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
123,4926,"[630.135, 60.39, 99.99, 18.0, 27.72, 62.0, 16.83]","[2949, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
124,740,"[630.1, 31.0, 244.53, 28.71, 15.84, 51.0, 35.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
125,4836,"[340.362, 30.69, 39.0, 65.34, 41.0, 46.53, 5.0]","[1611, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
126,4814,"[1072.566, 94.05, 52.0, 59.0, 64.0, 87.0, 35.0]","[297, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
127,647,"[3887.334, 532.0, 332.0, 51.48, 172.0, 248.49, 55.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
128,1118,"[552.4, 26.73, 75.0, 30.69, 46.0, 43.56, 25.74]","[2083, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
129,3183,"[491.2, 22.77, 81.0, 40.589999999999996, 35.64, 9.9, 22.77]","[3725, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
130,4783,"[2997.2000000000003, 87.12, 108.0, 115.83, 152.0, 44.55, 177.21]","[2220, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
131,2342,"[618.4530000000001, 32.67, 98.0, 23.759999999999998, 27.72, 58.0, 30.0]","[4665, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
132,4446,"[218.10000000000002, 10.0, 49.0, 6.93, 9.0, 3.96, 10.89]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
133,3080,"[349.668, 23.0, 42.0, 47.519999999999996, 30.0, 42.0, 11.879999999999999]","[4836, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
134,2206,"[1299.474, 79.0, 171.0, 43.56, 114.0, 127.0, 48.51]","[3685, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
135,647,"[3775.6620000000003, 522.0, 324.0, 42.0, 180.0, 203.0, 49.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
136,647,"[3470.5, 477.18, 318.78, 23.759999999999998, 152.46, 153.0, 44.55]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
137,2,"[3277.593, 382.0, 329.0, 299.96999999999997, 171.27, 346.5, 66.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
138,1642,"[576.0, 34.65, 101.97, 7.92, 76.0, 25.0, 11.879999999999999]","[1118, 0, 1, 3823, 4783, 740, 1906, 4091, 4177, 3300]"
139,648,"[490.1, 53.0, 6.0, 28.71, 50.0, 71.28, 4.95]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
140,4783,"[447.38100000000003, 6.93, 245.0, 21.78, 21.0, 14.0, 31.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
141,4783,"[2289.672, 154.0, 1086.03, 50.49, 74.25, 93.0, 112.0]","[125, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
142,4446,"[256.1, 0.0, 189.0, 6.0, 5.0, 0.0, 20.0]","[2468, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
143,4446,"[312.0, 17.82, 107.0, 10.89, 15.84, 18.81, 15.0]","[98, 1118, 0, 4446, 1, 3823, 4783, 1906, 4091, 4177]"
144,708,"[323.829, 8.0, 160.38, 6.0, 8.0, 5.9399999999999995, 21.78]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
145,3609,"[330.9, 12.0, 111.87, 27.72, 21.78, 16.0, 15.84]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
146,4783,"[356.9, 12.0, 72.27, 47.519999999999996, 40.589999999999996, 11.879999999999999, 14.85]","[1711, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
147,238,"[326.30400000000003, 39.6, 19.8, 6.93, 8.91, 25.74, 5.0]","[0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177, 3300]"
148,4005,"[644.7869999999999, 39.6, 47.0, 94.05, 45.54, 47.0, 27.72]","[2086, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
149,1357,"[480.447, 43.0, 109.89, 12.87, 37.62, 53.46, 11.879999999999999]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
150,4683,"[586.7, 33.0, 174.24, 9.0, 24.0, 59.4, 28.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
151,4783,"[300.564, 0.0, 28.0, 38.0, 18.0, 0.0, 20.0]","[4783, 1118, 0, 4446, 1, 3823, 740, 1906, 4091, 4177]"
152,2949,"[1434.7079999999999, 52.47, 177.21, 86.13, 75.24, 64.35, 80.19]","[2686, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177]"
153,3685,"[1268.19, 76.0, 36.0, 74.0, 129.69, 124.0, 46.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
154,3823,"[575.7839999999999, 52.47, 24.0, 55.44, 92.07, 61.0, 6.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
155,125,"[2998.215, 204.0, 1101.0, 60.0, 187.0, 128.7, 128.7]","[3965, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
156,112,"[2431.1, 158.0, 1353.0, 50.0, 61.0, 261.0, 124.0]","[583, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
157,647,"[6721.11, 954.0, 640.0, 47.519999999999996, 273.24, 296.0, 87.12]","[647, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
158,2949,"[512.5, 47.519999999999996, 102.96, 18.0, 17.82, 51.0, 16.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
159,740,"[1484.802, 33.0, 224.73, 66.0, 66.33, 17.0, 95.03999999999999]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177, 3300]"
160,3736,"[690.0, 56.43, 32.0, 67.0, 75.0, 75.0, 15.84]","[1118, 0, 4446, 1, 4783, 740, 1906, 4091, 4177, 3300]"
161,4783,"[1815.7, 160.0, 530.0, 47.519999999999996, 54.0, 304.92, 64.35]","[2025, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
162,4091,"[668.4, 31.68, 41.58, 73.26, 117.0, 26.73, 19.0]","[4475, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
163,4642,"[1865.655, 142.56, 49.0, 141.0, 233.0, 270.27, 49.5]","[1288, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
164,3571,"[822.8, 51.0, 303.0, 50.49, 21.78, 84.15, 40.589999999999996]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
165,2949,"[624.7889999999999, 41.58, 278.0, 10.0, 11.0, 76.23, 30.0]","[1646, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
166,4446,"[195.3, 7.92, 80.19, 10.0, 5.9399999999999995, 14.85, 10.89]","[663, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
167,647,"[3992.769, 533.61, 508.86, 28.71, 162.0, 273.0, 64.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
168,647,"[3862.1, 512.82, 317.79, 70.29, 222.0, 219.0, 47.519999999999996]","[1118, 0, 4446, 1, 4783, 740, 1906, 4091, 4177, 3300]"
