user,history,target,item list,len,without constraint
4,1600,"[1503.513, 176.22, 33.0, 153.45, 127.71, 226.0, 16.83]",[],0,"['4880', '1600', '4596', '2949', '4061', '1028', '1522', '4586', '3102', '3643', '127', '205', '4887', '221', '1856', '3519', '453', '4932', '246', '2545', '1242', '4401', '2533', '2792', '3817', '740', '2224', '816', '4091', '4639']"
4,4596,"[1323.4, 57.0, 781.11, 74.25, 83.16, 111.0, 72.27]",[],0,"['4880', '1600', '4596', '2949', '4061', '1028', '1522', '4586', '3102', '3643', '127', '205', '4887', '221', '1856', '3519', '453', '4932', '246', '2545', '1242', '4401', '2533', '2792', '3817', '740', '2224', '816', '4091', '4639']"
5,827,"[335.51099999999997, 24.0, 98.0, 36.63, 32.0, 39.0, 8.91]",[],0,"['827', '2280', '2949', '276', '2633', '266', '3889', '505', '4319', '2741', '4869', '2883', '1611', '4561', '4270', '4308', '2295', '953', '2528', '261', '2181', '4082', '3282', '125', '2401', '1649', '3685', '4106', '3233', '2694']"
5,2280,"[389.07, 20.0, 157.41, 36.0, 23.759999999999998, 40.0, 16.83]",[],0,"['827', '2280', '2949', '276', '2633', '266', '3889', '505', '4319', '2741', '4869', '2883', '1611', '4561', '4270', '4308', '2295', '953', '2528', '261', '2181', '4082', '3282', '125', '2401', '1649', '3685', '4106', '3233', '2694']"
5,2949,"[458.17199999999997, 41.0, 102.0, 26.0, 21.0, 66.33, 12.87]",[4561],1,"['827', '2280', '2949', '276', '2633', '266', '3889', '505', '4319', '2741', '4869', '2883', '1611', '4561', '4270', '4308', '2295', '953', '2528', '261', '2181', '4082', '3282', '125', '2401', '1649', '3685', '4106', '3233', '2694']"
6,983,"[911.3, 113.85, 112.86, 32.0, 35.0, 112.86, 16.0]",[1595],1,"['983', '1519', '2256', '2280', '4270', '3335', '3314', '2293', '112', '1667', '4922', '72', '3873', '3889', '80', '2866', '3424', '1595', '3350', '3652', '4783', '2848', '4256', '3102', '1646', '1162', '193', '2377', '1522', '2442']"
6,1519,"[1074.1, 57.42, 58.41, 85.0, 104.94, 36.63, 43.0]",[3424],1,"['983', '1519', '2256', '2280', '4270', '3335', '3314', '2293', '112', '1667', '4922', '72', '3873', '3889', '80', '2866', '3424', '1595', '3350', '3652', '4783', '2848', '4256', '3102', '1646', '1162', '193', '2377', '1522', '2442']"
6,2256,"[1131.471, 131.67, 113.0, 94.0, 67.0, 134.0, 20.0]",[],0,"['983', '1519', '2256', '2280', '4270', '3335', '3314', '2293', '112', '1667', '4922', '72', '3873', '3889', '80', '2866', '3424', '1595', '3350', '3652', '4783', '2848', '4256', '3102', '1646', '1162', '193', '2377', '1522', '2442']"
7,4690,"[330.264, 20.79, 30.69, 19.8, 10.0, 32.0, 13.86]",[453],1,"['4690', '20', '284', '4493', '3785', '3322', '66', '2608', '2549', '4804', '3526', '3335', '2613', '1612', '3459', '453', '2949', '4814', '4645', '4754', '3528', '4447', '3095', '4596', '2750', '4573', '276', '382', '2843', '2510']"
7,20,"[2421.936, 341.55, 8.0, 17.82, 69.0, 150.48, 23.759999999999998]",[4493],1,"['4690', '20', '284', '4493', '3785', '3322', '66', '2608', '2549', '4804', '3526', '3335', '2613', '1612', '3459', '453', '2949', '4814', '4645', '4754', '3528', '4447', '3095', '4596', '2750', '4573', '276', '382', '2843', '2510']"
7,284,"[514.5, 38.0, 18.0, 52.0, 41.58, 42.0, 16.83]",[3785],1,"['4690', '20', '284', '4493', '3785', '3322', '66', '2608', '2549', '4804', '3526', '3335', '2613', '1612', '3459', '453', '2949', '4814', '4645', '4754', '3528', '4447', '3095', '4596', '2750', '4573', '276', '382', '2843', '2510']"
8,3732,"[1406.394, 175.0, 78.0, 8.91, 144.54, 112.86, 7.92]",[],0,"['3732', '125', '3510', '4039', '361', '3078', '711', '4098', '1667', '1405', '495', '4757', '3007', '4578', '2988', '2681', '57', '4918', '708', '182', '3459', '1605', '1684', '397', '1460', '2055', '2342', '4814', '4735', '4954']"
8,125,"[2274.8, 155.0, 1124.64, 38.61, 75.24, 93.06, 110.0]",[],0,"['3732', '125', '3510', '4039', '361', '3078', '711', '4098', '1667', '1405', '495', '4757', '3007', '4578', '2988', '2681', '57', '4918', '708', '182', '3459', '1605', '1684', '397', '1460', '2055', '2342', '4814', '4735', '4954']"
8,3510,"[1325.016, 137.0, 19.0, 18.0, 148.5, 101.0, 16.83]",[],0,"['3732', '125', '3510', '4039', '361', '3078', '711', '4098', '1667', '1405', '495', '4757', '3007', '4578', '2988', '2681', '57', '4918', '708', '182', '3459', '1605', '1684', '397', '1460', '2055', '2342', '4814', '4735', '4954']"
9,648,"[1069.7, 103.0, 10.89, 59.4, 78.0, 115.83, 23.0]",[4752],1,"['648', '708', '4738', '2274', '1611', '1667', '2444', '3027', '4752', '1198', '2949', '2876', '181', '3282', '3003', '3366', '80', '4533', '1087', '4501', '4270', '125', '4642', '4194', '1911', '4016', '2921', '2096', '4573', '2280']"
9,708,"[244.23299999999998, 13.86, 39.6, 6.0, 11.0, 13.0, 10.89]",[],0,"['648', '708', '4738', '2274', '1611', '1667', '2444', '3027', '4752', '1198', '2949', '2876', '181', '3282', '3003', '3366', '80', '4533', '1087', '4501', '4270', '125', '4642', '4194', '1911', '4016', '2921', '2096', '4573', '2280']"
9,4738,"[583.9019999999999, 25.74, 102.96, 29.7, 23.759999999999998, 40.589999999999996, 31.0]",[],0,"['648', '708', '4738', '2274', '1611', '1667', '2444', '3027', '4752', '1198', '2949', '2876', '181', '3282', '3003', '3366', '80', '4533', '1087', '4501', '4270', '125', '4642', '4194', '1911', '4016', '2921', '2096', '4573', '2280']"
10,983,"[1021.2839999999999, 76.0, 121.77, 26.73, 25.0, 46.0, 17.0]",[],0,"['983', '2274', '300', '4642', '238', '4142', '2289', '182', '145', '4207', '1409', '4680', '1619', '361', '1287', '193', '4292', '1400', '2280', '3704', '2210', '1860', '3094', '2368', '2311', '2392', '191', '3078', '945', '3793']"
10,2274,"[436.88699999999994, 8.0, 159.0, 20.79, 16.83, 15.0, 21.78]",[191],1,"['983', '2274', '300', '4642', '238', '4142', '2289', '182', '145', '4207', '1409', '4680', '1619', '361', '1287', '193', '4292', '1400', '2280', '3704', '2210', '1860', '3094', '2368', '2311', '2392', '191', '3078', '945', '3793']"
10,300,"[1075.14, 13.0, 214.0, 4.95, 17.82, 19.0, 25.0]",[],0,"['983', '2274', '300', '4642', '238', '4142', '2289', '182', '145', '4207', '1409', '4680', '1619', '361', '1287', '193', '4292', '1400', '2280', '3704', '2210', '1860', '3094', '2368', '2311', '2392', '191', '3078', '945', '3793']"
11,1740,"[3822.1, 502.0, 342.0, 52.0, 224.0, 189.09, 51.48]",[647],1,"['1740', '3459', '4683', '2988', '1684', '832', '4005', '4665', '4446', '740', '3732', '2207', '3409', '1178', '908', '1984', '647', '3234', '218', '1254', '4738', '3164', '145', '4270', '2949', '1197', '4106', '2356', '4650', '125']"
11,3459,"[703.5999999999999, 62.0, 18.0, 26.73, 49.0, 120.0, 19.0]",[4683],1,"['1740', '3459', '4683', '2988', '1684', '832', '4005', '4665', '4446', '740', '3732', '2207', '3409', '1178', '908', '1984', '647', '3234', '218', '1254', '4738', '3164', '145', '4270', '2949', '1197', '4106', '2356', '4650', '125']"
11,4683,"[3709.431, 497.96999999999997, 335.0, 31.0, 152.0, 198.0, 58.0]",[647],1,"['1740', '3459', '4683', '2988', '1684', '832', '4005', '4665', '4446', '740', '3732', '2207', '3409', '1178', '908', '1984', '647', '3234', '218', '1254', '4738', '3164', '145', '4270', '2949', '1197', '4106', '2356', '4650', '125']"
12,4918,"[557.6, 61.0, 22.0, 27.72, 74.0, 111.87, 3.0]",[882],1,"['4918', '238', '3676', '1904', '2988', '268', '882', '1822', '953', '1219', '2637', '1928', '2077', '217', '2532', '181', '3440', '240', '3955', '382', '1485', '1209', '3198', '483', '284', '1091', '3590', '3834', '145', '2829']"
12,238,"[2437.1820000000002, 286.0, 647.46, 12.87, 31.68, 556.38, 64.35]",[2829],1,"['4918', '238', '3676', '1904', '2988', '268', '882', '1822', '953', '1219', '2637', '1928', '2077', '217', '2532', '181', '3440', '240', '3955', '382', '1485', '1209', '3198', '483', '284', '1091', '3590', '3834', '145', '2829']"
12,3676,"[1291.2569999999998, 115.0, 12.87, 51.48, 157.0, 184.14, 22.77]",[1091],1,"['4918', '238', '3676', '1904', '2988', '268', '882', '1822', '953', '1219', '2637', '1928', '2077', '217', '2532', '181', '3440', '240', '3955', '382', '1485', '1209', '3198', '483', '284', '1091', '3590', '3834', '145', '2829']"
13,4783,"[876.15, 104.0, 19.0, 45.54, 48.0, 79.0, 14.85]",[2903],1,"['4783', '112', '80', '3732', '1585', '225', '1856', '627', '1711', '4086', '4270', '928', '3092', '1633', '2280', '908', '3652', '3885', '2957', '3259', '3089', '4683', '2834', '1921', '2988', '4106', '3409', '4501', '203', '2903']"
13,112,"[522.5219999999999, 32.0, 101.0, 178.0, 89.1, 44.55, 11.879999999999999]",[],0,"['4783', '112', '80', '3732', '1585', '225', '1856', '627', '1711', '4086', '4270', '928', '3092', '1633', '2280', '908', '3652', '3885', '2957', '3259', '3089', '4683', '2834', '1921', '2988', '4106', '3409', '4501', '203', '2903']"
13,80,"[1271.6, 45.0, 76.23, 54.0, 58.0, 49.5, 72.0]",[112],1,"['4783', '112', '80', '3732', '1585', '225', '1856', '627', '1711', '4086', '4270', '928', '3092', '1633', '2280', '908', '3652', '3885', '2957', '3259', '3089', '4683', '2834', '1921', '2988', '4106', '3409', '4501', '203', '2903']"
14,647,"[4043.6, 548.0, 321.75, 56.43, 239.0, 214.0, 45.0]",[],0,"['647', '193', '2949', '2274', '284', '2355', '27', '3519', '764', '1960', '870', '983', '4642', '908', '2298', '3431', '780', '116', '505', '740', '4382', '1219', '2210', '4270', '477', '744', '413', '4396', '2138', '2050']"
14,193,"[1201.4, 145.53, 22.77, 58.0, 125.0, 112.0, 6.93]",[983],1,"['647', '193', '2949', '2274', '284', '2355', '27', '3519', '764', '1960', '870', '983', '4642', '908', '2298', '3431', '780', '116', '505', '740', '4382', '1219', '2210', '4270', '477', '744', '413', '4396', '2138', '2050']"
14,2949,"[618.156, 34.65, 127.0, 11.879999999999999, 30.69, 51.48, 29.7]",[2050],1,"['647', '193', '2949', '2274', '284', '2355', '27', '3519', '764', '1960', '870', '983', '4642', '908', '2298', '3431', '780', '116', '505', '740', '4382', '1219', '2210', '4270', '477', '744', '413', '4396', '2138', '2050']"
15,647,"[3563.4, 497.0, 325.71, 54.45, 154.44, 191.07, 44.55]",[],0,"['647', '125', '2949', '1088', '3888', '3685', '18', '4270', '4642', '617', '3085', '4767', '565', '72', '4791', '2401', '1595', '3626', '2055', '4106', '4194', '740', '3335', '1709', '3354', '1554', '4090', '505', '4342', '621']"
15,125,"[2210.7, 154.0, 1129.0, 32.0, 66.0, 93.0, 104.94]",[],0,"['647', '125', '2949', '1088', '3888', '3685', '18', '4270', '4642', '617', '3085', '4767', '565', '72', '4791', '2401', '1595', '3626', '2055', '4106', '4194', '740', '3335', '1709', '3354', '1554', '4090', '505', '4342', '621']"
15,2949,"[714.3839999999999, 32.0, 316.8, 23.759999999999998, 19.0, 45.54, 40.589999999999996]",[],0,"['647', '125', '2949', '1088', '3888', '3685', '18', '4270', '4642', '617', '3085', '4767', '565', '72', '4791', '2401', '1595', '3626', '2055', '4106', '4194', '740', '3335', '1709', '3354', '1554', '4090', '505', '4342', '621']"
16,740,"[691.5, 33.0, 232.0, 55.0, 44.55, 44.55, 33.0]",[1611],1,"['740', '284', '2530', '3018', '80', '3652', '2063', '3045', '72', '3966', '4507', '4788', '4106', '4243', '1740', '2355', '1611', '2306', '332', '2775', '109', '4270', '4767', '2420', '2548', '499', '2903', '145', '2639', '4814']"
16,284,"[345.906, 34.0, 19.8, 7.92, 26.0, 37.62, 1.98]",[],0,"['740', '284', '2530', '3018', '80', '3652', '2063', '3045', '72', '3966', '4507', '4788', '4106', '4243', '1740', '2355', '1611', '2306', '332', '2775', '109', '4270', '4767', '2420', '2548', '499', '2903', '145', '2639', '4814']"
16,2530,"[351.252, 24.75, 121.0, 33.0, 14.0, 25.0, 14.0]",[2639],1,"['740', '284', '2530', '3018', '80', '3652', '2063', '3045', '72', '3966', '4507', '4788', '4106', '4243', '1740', '2355', '1611', '2306', '332', '2775', '109', '4270', '4767', '2420', '2548', '499', '2903', '145', '2639', '4814']"
17,708,"[403.4, 29.0, 92.0, 11.879999999999999, 12.0, 44.55, 17.0]",[112],1,"['708', '2155', '361', '4005', '2773', '3543', '1708', '2508', '113', '2560', '1351', '2501', '4245', '4756', '3432', '112', '565', '853', '1602', '4501', '2549', '1752', '343', '2799', '4024', '3043', '1522', '300', '85', '4683']"
17,2155,"[448.4, 28.71, 46.53, 122.76, 66.0, 35.0, 9.9]",[113],1,"['708', '2155', '361', '4005', '2773', '3543', '1708', '2508', '113', '2560', '1351', '2501', '4245', '4756', '3432', '112', '565', '853', '1602', '4501', '2549', '1752', '343', '2799', '4024', '3043', '1522', '300', '85', '4683']"
17,361,"[601.2, 47.0, 37.62, 23.759999999999998, 49.0, 59.4, 16.83]",[3432],1,"['708', '2155', '361', '4005', '2773', '3543', '1708', '2508', '113', '2560', '1351', '2501', '4245', '4756', '3432', '112', '565', '853', '1602', '4501', '2549', '1752', '343', '2799', '4024', '3043', '1522', '300', '85', '4683']"
18,647,"[3695.67, 504.9, 325.0, 35.64, 194.0, 199.0, 46.0]",[],0,"['647', '4533', '3335', '617', '3459', '2730', '1126', '1198', '4954', '2949', '4642', '3375', '117', '1088', '1089', '2970', '565', '3782', '3397', '107', '4245', '708', '4545', '3278', '361', '3337', '1726', '4675', '27', '920']"
18,4533,"[463.023, 30.69, 35.0, 14.0, 61.0, 23.759999999999998, 12.87]",[708],1,"['647', '4533', '3335', '617', '3459', '2730', '1126', '1198', '4954', '2949', '4642', '3375', '117', '1088', '1089', '2970', '565', '3782', '3397', '107', '4245', '708', '4545', '3278', '361', '3337', '1726', '4675', '27', '920']"
18,3335,"[846.8, 62.37, 72.27, 57.42, 162.0, 87.0, 10.0]",[1089],1,"['647', '4533', '3335', '617', '3459', '2730', '1126', '1198', '4954', '2949', '4642', '3375', '117', '1088', '1089', '2970', '565', '3782', '3397', '107', '4245', '708', '4545', '3278', '361', '3337', '1726', '4675', '27', '920']"
19,145,"[609.6419999999999, 40.589999999999996, 61.0, 51.48, 83.0, 50.0, 15.84]",[866],1,"['145', '1175', '3335', '3654', '1636', '3799', '2639', '2274', '983', '4245', '2224', '4783', '3732', '4106', '73', '3783', '2353', '832', '1053', '361', '4098', '2772', '866', '2907', '4652', '4349', '1674', '3479', '2522', '2697']"
19,1175,"[902.781, 42.0, 47.0, 23.0, 99.0, 25.0, 37.0]",[3654],1,"['145', '1175', '3335', '3654', '1636', '3799', '2639', '2274', '983', '4245', '2224', '4783', '3732', '4106', '73', '3783', '2353', '832', '1053', '361', '4098', '2772', '866', '2907', '4652', '4349', '1674', '3479', '2522', '2697']"
19,3335,"[416.394, 36.63, 19.8, 55.0, 48.0, 63.36, 7.92]",[1053],1,"['145', '1175', '3335', '3654', '1636', '3799', '2639', '2274', '983', '4245', '2224', '4783', '3732', '4106', '73', '3783', '2353', '832', '1053', '361', '4098', '2772', '866', '2907', '4652', '4349', '1674', '3479', '2522', '2697']"
20,4446,"[392.0, 24.0, 48.51, 17.82, 22.0, 48.51, 16.83]",[268],1,"['4446', '647', '2756', '1253', '4245', '3198', '4642', '268', '617', '4844', '3519', '882', '4960', '4826', '175', '1178', '3985', '4799', '3695', '4683', '4400', '2274', '829', '2355', '2444', '3775', '2412', '845', '4637', '3820']"
20,647,"[4374.7, 518.0, 473.21999999999997, 128.7, 214.82999999999998, 224.0, 95.0]",[4826],1,"['4446', '647', '2756', '1253', '4245', '3198', '4642', '268', '617', '4844', '3519', '882', '4960', '4826', '175', '1178', '3985', '4799', '3695', '4683', '4400', '2274', '829', '2355', '2444', '3775', '2412', '845', '4637', '3820']"
20,2756,"[1364.3000000000002, 65.0, 290.0, 118.0, 86.13, 100.98, 69.0]",[4826],1,"['4446', '647', '2756', '1253', '4245', '3198', '4642', '268', '617', '4844', '3519', '882', '4960', '4826', '175', '1178', '3985', '4799', '3695', '4683', '4400', '2274', '829', '2355', '2444', '3775', '2412', '845', '4637', '3820']"
21,3102,"[994.059, 126.72, 9.0, 123.0, 104.0, 175.0, 2.0]",[],0,"['3102', '4738', '112', '1667', '3643', '391', '3018', '2280', '4270', '4640', '193', '1611', '2222', '217', '4086', '3125', '508', '37', '484', '989', '4098', '276', '239', '2155', '4267', '109', '145', '4349', '928', '205']"
21,4738,"[1988.6999999999998, 28.71, 289.0, 223.0, 102.96, 42.0, 134.64]",[4086],1,"['3102', '4738', '112', '1667', '3643', '391', '3018', '2280', '4270', '4640', '193', '1611', '2222', '217', '4086', '3125', '508', '37', '484', '989', '4098', '276', '239', '2155', '4267', '109', '145', '4349', '928', '205']"
21,112,"[395.40599999999995, 40.589999999999996, 83.16, 36.63, 21.78, 83.16, 8.91]",[],0,"['3102', '4738', '112', '1667', '3643', '391', '3018', '2280', '4270', '4640', '193', '1611', '2222', '217', '4086', '3125', '508', '37', '484', '989', '4098', '276', '239', '2155', '4267', '109', '145', '4349', '928', '205']"
22,4642,"[1166.4, 96.0, 35.0, 2389.86, 91.0, 164.0, 43.56]",[2970],1,"['4642', '2656', '4573', '532', '361', '945', '2970', '1443', '4018', '56', '145', '1725', '3182', '4394', '565', '708', '1038', '1190', '62', '2342', '740', '772', '4245', '4005', '4677', '1778', '4118', '2021', '1242', '4053']"
22,2656,"[465.3, 57.42, 75.24, 7.0, 14.0, 114.0, 9.0]",[],0,"['4642', '2656', '4573', '532', '361', '945', '2970', '1443', '4018', '56', '145', '1725', '3182', '4394', '565', '708', '1038', '1190', '62', '2342', '740', '772', '4245', '4005', '4677', '1778', '4118', '2021', '1242', '4053']"
22,4573,"[2166.8129999999996, 173.0, 1166.22, 23.759999999999998, 25.0, 342.54, 102.96]",[],0,"['4642', '2656', '4573', '532', '361', '945', '2970', '1443', '4018', '56', '145', '1725', '3182', '4394', '565', '708', '1038', '1190', '62', '2342', '740', '772', '4245', '4005', '4677', '1778', '4118', '2021', '1242', '4053']"
23,3551,"[843.876, 30.69, 149.0, 2.9699999999999998, 38.0, 28.71, 50.0]",[],0,"['3551', '3064', '125', '3869', '4675', '2280', '2342', '2516', '3335', '20', '23', '276', '617', '80', '518', '3319', '1611', '2730', '4086', '2750', '2970', '4470', '4342', '3602', '973', '137', '4501', '1522', '4064', '1173']"
23,3064,"[266.7, 11.0, 92.07, 1.98, 8.0, 10.0, 13.86]",[],0,"['3551', '3064', '125', '3869', '4675', '2280', '2342', '2516', '3335', '20', '23', '276', '617', '80', '518', '3319', '1611', '2730', '4086', '2750', '2970', '4470', '4342', '3602', '973', '137', '4501', '1522', '4064', '1173']"
23,125,"[2609.343, 209.0, 1111.0, 61.38, 120.0, 175.0, 106.0]",[],0,"['3551', '3064', '125', '3869', '4675', '2280', '2342', '2516', '3335', '20', '23', '276', '617', '80', '518', '3319', '1611', '2730', '4086', '2750', '2970', '4470', '4342', '3602', '973', '137', '4501', '1522', '4064', '1173']"
24,740,"[661.023, 18.81, 239.57999999999998, 29.7, 65.34, 15.84, 35.0]",[],0,"['740', '4091', '3300', '767', '297', '4735', '88', '3217', '4491', '4955', '125', '1406', '4954', '2646', '1740', '4445', '960', '348', '2996', '2639', '98', '4642', '2355', '803', '2356', '3424', '4106', '145', '1611', '4194']"
24,4091,"[1065.7, 45.54, 72.0, 88.0, 137.60999999999999, 30.0, 41.58]",[3424],1,"['740', '4091', '3300', '767', '297', '4735', '88', '3217', '4491', '4955', '125', '1406', '4954', '2646', '1740', '4445', '960', '348', '2996', '2639', '98', '4642', '2355', '803', '2356', '3424', '4106', '145', '1611', '4194']"
24,3300,"[1446.093, 111.87, 71.0, 93.06, 162.35999999999999, 159.0, 35.64]",[4445],1,"['740', '4091', '3300', '767', '297', '4735', '88', '3217', '4491', '4955', '125', '1406', '4954', '2646', '1740', '4445', '960', '348', '2996', '2639', '98', '4642', '2355', '803', '2356', '3424', '4106', '145', '1611', '4194']"
25,2874,"[609.6419999999999, 56.0, 37.0, 34.0, 49.0, 55.44, 14.85]",[],0,"['2874', '2958', '784', '1911', '4545', '741', '1621', '4270', '532', '191', '236', '2848', '4226', '98', '1601', '4583', '4501', '1683', '284', '391', '4091', '3193', '940', '145', '4640', '1611', '676', '1782', '1522', '4045']"
25,2958,"[816.5, 53.46, 125.73, 25.74, 66.33, 87.0, 29.7]",[],0,"['2874', '2958', '784', '1911', '4545', '741', '1621', '4270', '532', '191', '236', '2848', '4226', '98', '1601', '4583', '4501', '1683', '284', '391', '4091', '3193', '940', '145', '4640', '1611', '676', '1782', '1522', '4045']"
25,784,"[715.4730000000001, 49.0, 70.0, 144.0, 84.15, 70.29, 20.79]",[],0,"['2874', '2958', '784', '1911', '4545', '741', '1621', '4270', '532', '191', '236', '2848', '4226', '98', '1601', '4583', '4501', '1683', '284', '391', '4091', '3193', '940', '145', '4640', '1611', '676', '1782', '1522', '4045']"
26,193,"[907.83, 72.27, 95.0, 200.0, 102.96, 67.0, 14.0]",[],0,"['193', '2639', '361', '3459', '2730', '4086', '112', '3241', '647', '769', '3335', '395', '3799', '2368', '484', '2949', '4337', '4535', '152', '45', '145', '2709', '2136', '217', '1926', '4382', '205', '2210', '2355', '387']"
26,2639,"[268.686, 30.69, 17.0, 34.0, 12.0, 50.49, 4.0]",[3335],1,"['193', '2639', '361', '3459', '2730', '4086', '112', '3241', '647', '769', '3335', '395', '3799', '2368', '484', '2949', '4337', '4535', '152', '45', '145', '2709', '2136', '217', '1926', '4382', '205', '2210', '2355', '387']"
26,361,"[635.3, 51.0, 30.69, 27.72, 83.0, 56.43, 12.0]",[],0,"['193', '2639', '361', '3459', '2730', '4086', '112', '3241', '647', '769', '3335', '395', '3799', '2368', '484', '2949', '4337', '4535', '152', '45', '145', '2709', '2136', '217', '1926', '4382', '205', '2210', '2355', '387']"
27,2280,"[281.259, 0.0, 167.31, 8.0, 7.0, 0.0, 22.0]",[],0,"['2280', '3175', '1953', '4573', '856', '4661', '4110', '2523', '1158', '2096', '4299', '2616', '3565', '4888', '186', '2782', '87', '2377', '240', '3035', '3963', '357', '3366', '2756', '2422', '4615', '2055', '4177', '2674', '4140']"
27,3175,"[456.6, 38.0, 144.54, 39.6, 5.9399999999999995, 43.0, 16.83]",[],0,"['2280', '3175', '1953', '4573', '856', '4661', '4110', '2523', '1158', '2096', '4299', '2616', '3565', '4888', '186', '2782', '87', '2377', '240', '3035', '3963', '357', '3366', '2756', '2422', '4615', '2055', '4177', '2674', '4140']"
27,1953,"[614.6, 50.0, 166.32, 72.0, 23.0, 40.0, 23.0]",[3366],1,"['2280', '3175', '1953', '4573', '856', '4661', '4110', '2523', '1158', '2096', '4299', '2616', '3565', '4888', '186', '2782', '87', '2377', '240', '3035', '3963', '357', '3366', '2756', '2422', '4615', '2055', '4177', '2674', '4140']"
28,181,"[829.3230000000001, 67.32, 157.0, 53.46, 38.0, 34.0, 18.0]",[4847],1,"['181', '4245', '4793', '276', '4005', '1464', '4847', '3338', '1735', '621', '1142', '3890', '3258', '241', '1667', '200', '4683', '2639', '1485', '2217', '301', '2439', '2342', '4507', '1519', '1758', '2256', '3080', '3210', '4003']"
