user,exclude,item list,len,without constraint
9,5010,"[648, 708, 4738, 2274, 1611, 2444, 3027, 1198, 2949, 2876]",10,"['648', '708', '4738', '2274', '1611', '1667', '2444', '3027', '4752', '1198', '2949', '2876', '181', '3282', '3003', '3366', '80', '4533', '1087', '4501', '4270', '125', '4642', '4194', '1911', '4016', '2921', '2096', '4573', '2280']"
10,5319,"[983, 2274, 300, 4642, 4142, 2289, 182, 145, 4207, 1409]",10,"['983', '2274', '300', '4642', '238', '4142', '2289', '182', '145', '4207', '1409', '4680', '1619', '361', '1287', '193', '4292', '1400', '2280', '3704', '2210', '1860', '3094', '2368', '2311', '2392', '191', '3078', '945', '3793']"
10,332,"[983, 2274, 300, 4642, 238, 4142, 2289, 182, 145, 1409]",10,"['983', '2274', '300', '4642', '238', '4142', '2289', '182', '145', '4207', '1409', '4680', '1619', '361', '1287', '193', '4292', '1400', '2280', '3704', '2210', '1860', '3094', '2368', '2311', '2392', '191', '3078', '945', '3793']"
10,63,"[983, 2274, 300, 4642, 238, 4142, 2289, 182, 145, 4207]",10,"['983', '2274', '300', '4642', '238', '4142', '2289', '182', '145', '4207', '1409', '4680', '1619', '361', '1287', '193', '4292', '1400', '2280', '3704', '2210', '1860', '3094', '2368', '2311', '2392', '191', '3078', '945', '3793']"
11,840,"[1740, 2988, 1684, 832, 4005, 4665, 740, 3732, 2207, 3409]",10,"['1740', '3459', '4683', '2988', '1684', '832', '4005', '4665', '4446', '740', '3732', '2207', '3409', '1178', '908', '1984', '647', '3234', '218', '1254', '4738', '3164', '145', '4270', '2949', '1197', '4106', '2356', '4650', '125']"
11,2499,"[1740, 4683, 2988, 832, 4005, 4446, 740, 3732, 2207, 3409]",10,"['1740', '3459', '4683', '2988', '1684', '832', '4005', '4665', '4446', '740', '3732', '2207', '3409', '1178', '908', '1984', '647', '3234', '218', '1254', '4738', '3164', '145', '4270', '2949', '1197', '4106', '2356', '4650', '125']"
11,6906,"[1740, 3459, 4683, 2988, 832, 4005, 4446, 740, 3732, 2207]",10,"['1740', '3459', '4683', '2988', '1684', '832', '4005', '4665', '4446', '740', '3732', '2207', '3409', '1178', '908', '1984', '647', '3234', '218', '1254', '4738', '3164', '145', '4270', '2949', '1197', '4106', '2356', '4650', '125']"
12,6270,"[1904, 2988, 268, 953, 1219, 2637, 1928, 2532, 3955, 1485]",10,"['4918', '238', '3676', '1904', '2988', '268', '882', '1822', '953', '1219', '2637', '1928', '2077', '217', '2532', '181', '3440', '240', '3955', '382', '1485', '1209', '3198', '483', '284', '1091', '3590', '3834', '145', '2829']"
12,840,"[238, 1904, 2988, 882, 1822, 953, 1219, 1928, 217, 181]",10,"['4918', '238', '3676', '1904', '2988', '268', '882', '1822', '953', '1219', '2637', '1928', '2077', '217', '2532', '181', '3440', '240', '3955', '382', '1485', '1209', '3198', '483', '284', '1091', '3590', '3834', '145', '2829']"
12,2499,"[4918, 238, 2988, 268, 882, 1822, 953, 1219, 2637, 1928]",10,"['4918', '238', '3676', '1904', '2988', '268', '882', '1822', '953', '1219', '2637', '1928', '2077', '217', '2532', '181', '3440', '240', '3955', '382', '1485', '1209', '3198', '483', '284', '1091', '3590', '3834', '145', '2829']"
13,840,"[4783, 112, 80, 3732, 1585, 1856, 627, 4270, 3092, 1633]",10,"['4783', '112', '80', '3732', '1585', '225', '1856', '627', '1711', '4086', '4270', '928', '3092', '1633', '2280', '908', '3652', '3885', '2957', '3259', '3089', '4683', '2834', '1921', '2988', '4106', '3409', '4501', '203', '2903']"
13,2499,"[4783, 112, 80, 3732, 225, 1856, 627, 1711, 4086, 4270]",10,"['4783', '112', '80', '3732', '1585', '225', '1856', '627', '1711', '4086', '4270', '928', '3092', '1633', '2280', '908', '3652', '3885', '2957', '3259', '3089', '4683', '2834', '1921', '2988', '4106', '3409', '4501', '203', '2903']"
13,5010,"[4783, 112, 80, 3732, 1585, 225, 627, 1711, 4086, 4270]",10,"['4783', '112', '80', '3732', '1585', '225', '1856', '627', '1711', '4086', '4270', '928', '3092', '1633', '2280', '908', '3652', '3885', '2957', '3259', '3089', '4683', '2834', '1921', '2988', '4106', '3409', '4501', '203', '2903']"
14,6270,"[2949, 2274, 27, 764, 870, 3431, 780, 116, 740, 4382]",10,"['647', '193', '2949', '2274', '284', '2355', '27', '3519', '764', '1960', '870', '983', '4642', '908', '2298', '3431', '780', '116', '505', '740', '4382', '1219', '2210', '4270', '477', '744', '413', '4396', '2138', '2050']"
14,840,"[647, 193, 2949, 2274, 2355, 27, 764, 1960, 870, 983]",10,"['647', '193', '2949', '2274', '284', '2355', '27', '3519', '764', '1960', '870', '983', '4642', '908', '2298', '3431', '780', '116', '505', '740', '4382', '1219', '2210', '4270', '477', '744', '413', '4396', '2138', '2050']"
14,2499,"[647, 193, 2949, 2274, 2355, 27, 764, 1960, 870, 983]",10,"['647', '193', '2949', '2274', '284', '2355', '27', '3519', '764', '1960', '870', '983', '4642', '908', '2298', '3431', '780', '116', '505', '740', '4382', '1219', '2210', '4270', '477', '744', '413', '4396', '2138', '2050']"
15,840,"[647, 125, 2949, 3888, 4270, 4642, 3085, 565, 72, 4791]",10,"['647', '125', '2949', '1088', '3888', '3685', '18', '4270', '4642', '617', '3085', '4767', '565', '72', '4791', '2401', '1595', '3626', '2055', '4106', '4194', '740', '3335', '1709', '3354', '1554', '4090', '505', '4342', '621']"
15,2499,"[647, 125, 2949, 3888, 4270, 4642, 3085, 4767, 565, 72]",10,"['647', '125', '2949', '1088', '3888', '3685', '18', '4270', '4642', '617', '3085', '4767', '565', '72', '4791', '2401', '1595', '3626', '2055', '4106', '4194', '740', '3335', '1709', '3354', '1554', '4090', '505', '4342', '621']"
15,5010,"[647, 125, 2949, 1088, 3888, 3685, 18, 4270, 4642, 617]",10,"['647', '125', '2949', '1088', '3888', '3685', '18', '4270', '4642', '617', '3085', '4767', '565', '72', '4791', '2401', '1595', '3626', '2055', '4106', '4194', '740', '3335', '1709', '3354', '1554', '4090', '505', '4342', '621']"
16,3203,"[740, 284, 2530, 80, 3652, 2063, 72, 3966, 4507, 4106]",10,"['740', '284', '2530', '3018', '80', '3652', '2063', '3045', '72', '3966', '4507', '4788', '4106', '4243', '1740', '2355', '1611', '2306', '332', '2775', '109', '4270', '4767', '2420', '2548', '499', '2903', '145', '2639', '4814']"
16,7655,"[740, 284, 2530, 3652, 2063, 72, 3966, 4507, 4788, 4106]",10,"['740', '284', '2530', '3018', '80', '3652', '2063', '3045', '72', '3966', '4507', '4788', '4106', '4243', '1740', '2355', '1611', '2306', '332', '2775', '109', '4270', '4767', '2420', '2548', '499', '2903', '145', '2639', '4814']"
16,5319,"[740, 284, 2530, 3018, 80, 3652, 2063, 3045, 72, 3966]",10,"['740', '284', '2530', '3018', '80', '3652', '2063', '3045', '72', '3966', '4507', '4788', '4106', '4243', '1740', '2355', '1611', '2306', '332', '2775', '109', '4270', '4767', '2420', '2548', '499', '2903', '145', '2639', '4814']"
17,1168,"[708, 2155, 361, 4005, 2773, 3543, 1708, 2508, 113, 2560]",10,"['708', '2155', '361', '4005', '2773', '3543', '1708', '2508', '113', '2560', '1351', '2501', '4245', '4756', '3432', '112', '565', '853', '1602', '4501', '2549', '1752', '343', '2799', '4024', '3043', '1522', '300', '85', '4683']"
17,7213,"[708, 2155, 4005, 2773, 3543, 1708, 2508, 113, 2560, 1351]",10,"['708', '2155', '361', '4005', '2773', '3543', '1708', '2508', '113', '2560', '1351', '2501', '4245', '4756', '3432', '112', '565', '853', '1602', '4501', '2549', '1752', '343', '2799', '4024', '3043', '1522', '300', '85', '4683']"
17,3217,"[708, 2155, 361, 4005, 2773, 3543, 1708, 2508, 113, 2560]",10,"['708', '2155', '361', '4005', '2773', '3543', '1708', '2508', '113', '2560', '1351', '2501', '4245', '4756', '3432', '112', '565', '853', '1602', '4501', '2549', '1752', '343', '2799', '4024', '3043', '1522', '300', '85', '4683']"
18,840,"[647, 4533, 1198, 4954, 2949, 4642, 117, 1089, 2970, 565]",10,"['647', '4533', '3335', '617', '3459', '2730', '1126', '1198', '4954', '2949', '4642', '3375', '117', '1088', '1089', '2970', '565', '3782', '3397', '107', '4245', '708', '4545', '3278', '361', '3337', '1726', '4675', '27', '920']"
18,2499,"[647, 4533, 3335, 2730, 1126, 1198, 4954, 2949, 4642, 3375]",10,"['647', '4533', '3335', '617', '3459', '2730', '1126', '1198', '4954', '2949', '4642', '3375', '117', '1088', '1089', '2970', '565', '3782', '3397', '107', '4245', '708', '4545', '3278', '361', '3337', '1726', '4675', '27', '920']"
18,5010,"[647, 4533, 3335, 617, 2730, 1126, 1198, 2949, 4642, 3375]",10,"['647', '4533', '3335', '617', '3459', '2730', '1126', '1198', '4954', '2949', '4642', '3375', '117', '1088', '1089', '2970', '565', '3782', '3397', '107', '4245', '708', '4545', '3278', '361', '3337', '1726', '4675', '27', '920']"
19,3203,"[145, 1175, 1636, 2274, 983, 4245, 2224, 4783, 3732, 4106]",10,"['145', '1175', '3335', '3654', '1636', '3799', '2639', '2274', '983', '4245', '2224', '4783', '3732', '4106', '73', '3783', '2353', '832', '1053', '361', '4098', '2772', '866', '2907', '4652', '4349', '1674', '3479', '2522', '2697']"
19,4717,"[145, 1175, 3335, 3654, 1636, 3799, 2639, 2274, 983, 4245]",10,"['145', '1175', '3335', '3654', '1636', '3799', '2639', '2274', '983', '4245', '2224', '4783', '3732', '4106', '73', '3783', '2353', '832', '1053', '361', '4098', '2772', '866', '2907', '4652', '4349', '1674', '3479', '2522', '2697']"
19,2683,"[145, 1175, 3335, 3654, 1636, 3799, 2639, 2274, 983, 4245]",10,"['145', '1175', '3335', '3654', '1636', '3799', '2639', '2274', '983', '4245', '2224', '4783', '3732', '4106', '73', '3783', '2353', '832', '1053', '361', '4098', '2772', '866', '2907', '4652', '4349', '1674', '3479', '2522', '2697']"
20,6335,"[4446, 647, 2756, 1253, 4245, 3198, 4642, 268, 617, 4844]",10,"['4446', '647', '2756', '1253', '4245', '3198', '4642', '268', '617', '4844', '3519', '882', '4960', '4826', '175', '1178', '3985', '4799', '3695', '4683', '4400', '2274', '829', '2355', '2444', '3775', '2412', '845', '4637', '3820']"
20,63,"[4446, 647, 1253, 4245, 3198, 4642, 268, 617, 4844, 882]",10,"['4446', '647', '2756', '1253', '4245', '3198', '4642', '268', '617', '4844', '3519', '882', '4960', '4826', '175', '1178', '3985', '4799', '3695', '4683', '4400', '2274', '829', '2355', '2444', '3775', '2412', '845', '4637', '3820']"
20,335,"[4446, 647, 2756, 1253, 4245, 3198, 4642, 268, 617, 4844]",10,"['4446', '647', '2756', '1253', '4245', '3198', '4642', '268', '617', '4844', '3519', '882', '4960', '4826', '175', '1178', '3985', '4799', '3695', '4683', '4400', '2274', '829', '2355', '2444', '3775', '2412', '845', '4637', '3820']"
21,6270,"[3102, 112, 1667, 3643, 391, 4270, 1611, 3125, 508, 37]",10,"['3102', '4738', '112', '1667', '3643', '391', '3018', '2280', '4270', '4640', '193', '1611', '2222', '217', '4086', '3125', '508', '37', '484', '989', '4098', '276', '239', '2155', '4267', '109', '145', '4349', '928', '205']"
21,840,"[3102, 4738, 112, 3643, 391, 3018, 2280, 4270, 4640, 193]",10,"['3102', '4738', '112', '1667', '3643', '391', '3018', '2280', '4270', '4640', '193', '1611', '2222', '217', '4086', '3125', '508', '37', '484', '989', '4098', '276', '239', '2155', '4267', '109', '145', '4349', '928', '205']"
21,2499,"[3102, 4738, 112, 1667, 3643, 3018, 2280, 4270, 4640, 193]",10,"['3102', '4738', '112', '1667', '3643', '391', '3018', '2280', '4270', '4640', '193', '1611', '2222', '217', '4086', '3125', '508', '37', '484', '989', '4098', '276', '239', '2155', '4267', '109', '145', '4349', '928', '205']"
22,6270,"[2656, 4573, 361, 945, 2970, 1443, 56, 145, 1725, 3182]",10,"['4642', '2656', '4573', '532', '361', '945', '2970', '1443', '4018', '56', '145', '1725', '3182', '4394', '565', '708', '1038', '1190', '62', '2342', '740', '772', '4245', '4005', '4677', '1778', '4118', '2021', '1242', '4053']"
22,840,"[4642, 2656, 361, 2970, 1443, 4018, 56, 145, 1725, 565]",10,"['4642', '2656', '4573', '532', '361', '945', '2970', '1443', '4018', '56', '145', '1725', '3182', '4394', '565', '708', '1038', '1190', '62', '2342', '740', '772', '4245', '4005', '4677', '1778', '4118', '2021', '1242', '4053']"
22,2499,"[4642, 4573, 361, 945, 2970, 1443, 4018, 1725, 3182, 565]",10,"['4642', '2656', '4573', '532', '361', '945', '2970', '1443', '4018', '56', '145', '1725', '3182', '4394', '565', '708', '1038', '1190', '62', '2342', '740', '772', '4245', '4005', '4677', '1778', '4118', '2021', '1242', '4053']"
23,840,"[3551, 3064, 125, 3869, 4675, 2280, 2516, 20, 23, 276]",10,"['3551', '3064', '125', '3869', '4675', '2280', '2342', '2516', '3335', '20', '23', '276', '617', '80', '518', '3319', '1611', '2730', '4086', '2750', '2970', '4470', '4342', '3602', '973', '137', '4501', '1522', '4064', '1173']"
23,2499,"[3551, 3064, 125, 3869, 4675, 2280, 2342, 2516, 3335, 20]",10,"['3551', '3064', '125', '3869', '4675', '2280', '2342', '2516', '3335', '20', '23', '276', '617', '80', '518', '3319', '1611', '2730', '4086', '2750', '2970', '4470', '4342', '3602', '973', '137', '4501', '1522', '4064', '1173']"
23,6906,"[3551, 3064, 3869, 2342, 2516, 3335, 20, 23, 276, 617]",10,"['3551', '3064', '125', '3869', '4675', '2280', '2342', '2516', '3335', '20', '23', '276', '617', '80', '518', '3319', '1611', '2730', '4086', '2750', '2970', '4470', '4342', '3602', '973', '137', '4501', '1522', '4064', '1173']"
24,5006,"[740, 3300, 767, 4735, 125, 1406, 4954, 2646, 1740, 4445]",10,"['740', '4091', '3300', '767', '297', '4735', '88', '3217', '4491', '4955', '125', '1406', '4954', '2646', '1740', '4445', '960', '348', '2996', '2639', '98', '4642', '2355', '803', '2356', '3424', '4106', '145', '1611', '4194']"
24,3203,"[740, 4091, 3300, 767, 297, 4735, 3217, 4491, 4955, 125]",10,"['740', '4091', '3300', '767', '297', '4735', '88', '3217', '4491', '4955', '125', '1406', '4954', '2646', '1740', '4445', '960', '348', '2996', '2639', '98', '4642', '2355', '803', '2356', '3424', '4106', '145', '1611', '4194']"
24,5319,"[740, 4091, 3300, 767, 297, 4735, 88, 3217, 4491, 4955]",10,"['740', '4091', '3300', '767', '297', '4735', '88', '3217', '4491', '4955', '125', '1406', '4954', '2646', '1740', '4445', '960', '348', '2996', '2639', '98', '4642', '2355', '803', '2356', '3424', '4106', '145', '1611', '4194']"
25,332,"[784, 1911, 4545, 741, 1621, 4270, 532, 191, 2848, 4226]",10,"['2874', '2958', '784', '1911', '4545', '741', '1621', '4270', '532', '191', '236', '2848', '4226', '98', '1601', '4583', '4501', '1683', '284', '391', '4091', '3193', '940', '145', '4640', '1611', '676', '1782', '1522', '4045']"
25,63,"[2958, 784, 4545, 741, 4270, 532, 191, 2848, 4226, 98]",10,"['2874', '2958', '784', '1911', '4545', '741', '1621', '4270', '532', '191', '236', '2848', '4226', '98', '1601', '4583', '4501', '1683', '284', '391', '4091', '3193', '940', '145', '4640', '1611', '676', '1782', '1522', '4045']"
25,7449,"[2874, 784, 1911, 4545, 741, 1621, 4270, 532, 191, 236]",10,"['2874', '2958', '784', '1911', '4545', '741', '1621', '4270', '532', '191', '236', '2848', '4226', '98', '1601', '4583', '4501', '1683', '284', '391', '4091', '3193', '940', '145', '4640', '1611', '676', '1782', '1522', '4045']"
26,6270,"[361, 3459, 2730, 112, 3241, 484, 2949, 4337, 4535, 145]",10,"['193', '2639', '361', '3459', '2730', '4086', '112', '3241', '647', '769', '3335', '395', '3799', '2368', '484', '2949', '4337', '4535', '152', '45', '145', '2709', '2136', '217', '1926', '4382', '205', '2210', '2355', '387']"
26,2499,"[193, 2639, 361, 2730, 4086, 112, 3241, 647, 769, 3335]",10,"['193', '2639', '361', '3459', '2730', '4086', '112', '3241', '647', '769', '3335', '395', '3799', '2368', '484', '2949', '4337', '4535', '152', '45', '145', '2709', '2136', '217', '1926', '4382', '205', '2210', '2355', '387']"
26,6906,"[2639, 361, 3459, 4086, 112, 3241, 3335, 395, 3799, 2368]",10,"['193', '2639', '361', '3459', '2730', '4086', '112', '3241', '647', '769', '3335', '395', '3799', '2368', '484', '2949', '4337', '4535', '152', '45', '145', '2709', '2136', '217', '1926', '4382', '205', '2210', '2355', '387']"
27,840,"[2280, 1953, 856, 4661, 4110, 2523, 1158, 2616, 3565, 2782]",10,"['2280', '3175', '1953', '4573', '856', '4661', '4110', '2523', '1158', '2096', '4299', '2616', '3565', '4888', '186', '2782', '87', '2377', '240', '3035', '3963', '357', '3366', '2756', '2422', '4615', '2055', '4177', '2674', '4140']"
27,5010,"[2280, 3175, 4573, 856, 4661, 4110, 2096, 4299, 2616, 3565]",10,"['2280', '3175', '1953', '4573', '856', '4661', '4110', '2523', '1158', '2096', '4299', '2616', '3565', '4888', '186', '2782', '87', '2377', '240', '3035', '3963', '357', '3366', '2756', '2422', '4615', '2055', '4177', '2674', '4140']"
27,2683,"[2280, 1953, 4573, 856, 4661, 4110, 2523, 1158, 4299, 2616]",10,"['2280', '3175', '1953', '4573', '856', '4661', '4110', '2523', '1158', '2096', '4299', '2616', '3565', '4888', '186', '2782', '87', '2377', '240', '3035', '3963', '357', '3366', '2756', '2422', '4615', '2055', '4177', '2674', '4140']"
28,840,"[181, 4245, 276, 4005, 4847, 3338, 1735, 621, 1142, 3890]",10,"['181', '4245', '4793', '276', '4005', '1464', '4847', '3338', '1735', '621', '1142', '3890', '3258', '241', '1667', '200', '4683', '2639', '1485', '2217', '301', '2439', '2342', '4507', '1519', '1758', '2256', '3080', '3210', '4003']"
28,2499,"[181, 4245, 4005, 1464, 4847, 3338, 1735, 621, 1142, 3258]",10,"['181', '4245', '4793', '276', '4005', '1464', '4847', '3338', '1735', '621', '1142', '3890', '3258', '241', '1667', '200', '4683', '2639', '1485', '2217', '301', '2439', '2342', '4507', '1519', '1758', '2256', '3080', '3210', '4003']"
28,6906,"[181, 4245, 4793, 276, 4005, 1464, 4847, 3338, 1735, 621]",10,"['181', '4245', '4793', '276', '4005', '1464', '4847', '3338', '1735', '621', '1142', '3890', '3258', '241', '1667', '200', '4683', '2639', '1485', '2217', '301', '2439', '2342', '4507', '1519', '1758', '2256', '3080', '3210', '4003']"
