user,hist,target,item list
44,2501,"[2284.3, 157.41, 1088.01, 34.0, 70.0, 94.05, 109.0]","[125, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
45,2848,"[633.402, 78.21, 40.589999999999996, 69.3, 56.43, 158.0, 7.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
46,4945,"[1008.4139999999999, 57.42, 49.0, 73.0, 87.0, 50.49, 37.62]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
47,986,"[711.6, 51.0, 127.71, 42.0, 43.56, 89.1, 26.0]","[1846, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
48,4396,"[474.2, 9.0, 7.0, 37.0, 26.0, 3.0, 10.89]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
49,882,"[244.72799999999998, 23.759999999999998, 21.78, 17.0, 9.0, 49.0, 6.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
50,2523,"[626.967, 22.77, 280.17, 94.05, 68.0, 10.89, 30.0]","[1751, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
51,1646,"[762.201, 47.0, 381.0, 16.0, 12.0, 98.01, 39.6]","[85, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
52,1178,"[678.7, 40.0, 65.0, 30.69, 100.0, 30.0, 16.83]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
53,2274,"[1003.266, 97.0, 142.0, 11.0, 83.16, 125.73, 12.0]","[264, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
54,647,"[3803.9, 506.0, 334.62, 37.0, 185.13, 193.0, 54.45]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
55,3048,"[787.2, 27.0, 58.0, 54.45, 41.0, 12.87, 47.0]","[704, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
56,4783,"[697.0589999999999, 76.0, 31.68, 43.56, 32.67, 45.54, 15.84]","[983, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
57,203,"[2395.3, 161.0, 1244.0, 33.66, 76.0, 101.97, 114.84]","[125, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
58,1602,"[294.5, 23.759999999999998, 79.0, 14.85, 10.0, 41.0, 10.89]","[112, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
59,1128,"[870.408, 72.0, 86.0, 33.66, 34.0, 29.7, 32.0]","[1128, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
60,3424,"[1116.819, 44.0, 76.0, 44.55, 92.07, 23.759999999999998, 57.42]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
61,1197,"[410.157, 17.82, 129.0, 44.0, 47.519999999999996, 18.0, 17.82]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
62,4814,"[893.9000000000001, 92.07, 41.0, 40.589999999999996, 67.0, 99.0, 17.82]","[648, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
63,125,"[2533.4, 183.15, 1099.0, 56.43, 103.0, 154.0, 109.89]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
64,4106,"[1694.385, 25.74, 326.0, 197.01, 85.14, 41.0, 118.0]","[4086, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
65,922,"[272.5, 20.79, 72.0, 12.0, 7.92, 28.71, 11.0]","[1684, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
66,1711,"[452.628, 49.0, 59.4, 52.47, 43.56, 83.16, 6.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
67,740,"[758.538, 29.0, 355.0, 29.7, 20.0, 15.84, 47.0]","[1253, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
68,2511,"[393.723, 37.62, 20.0, 15.84, 20.79, 75.0, 11.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
69,648,"[820.413, 73.26, 22.0, 30.69, 91.0, 99.0, 15.84]","[145, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
70,648,"[700.1, 83.16, 7.92, 40.0, 46.0, 101.0, 5.9399999999999995]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
71,647,"[3787.1, 490.05, 342.54, 27.0, 174.24, 154.44, 62.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
72,740,"[647.4, 24.75, 231.66, 29.0, 48.0, 30.69, 32.67]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
73,484,"[331.59999999999997, 28.0, 31.0, 10.89, 46.0, 23.759999999999998, 6.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
74,648,"[490.1, 53.0, 5.9399999999999995, 29.0, 50.0, 71.28, 5.0]","[444, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
75,708,"[522.0, 22.77, 120.0, 28.0, 66.0, 33.0, 19.8]","[323, 1118, 0, 4446, 1, 4783, 740, 1906, 4091, 4177]"
76,2139,"[771.6, 43.56, 35.0, 11.0, 52.0, 61.38, 33.66]","[189, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
77,647,"[3556.8720000000003, 485.0, 381.0, 34.0, 143.55, 160.38, 54.45]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
78,647,"[3620.826, 495.0, 415.0, 29.7, 144.0, 188.0, 52.47]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
80,647,"[5555.5, 631.0, 1403.0, 55.44, 201.96, 241.0, 144.54]","[125, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
81,4642,"[1044.9, 102.0, 98.01, 38.0, 62.0, 192.06, 27.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
82,4091,"[421.245, 21.0, 72.0, 62.0, 88.11, 14.0, 8.91]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
83,2310,"[305.613, 27.72, 9.0, 30.69, 51.48, 29.0, 2.0]","[4139, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
84,361,"[748.638, 92.0, 29.0, 38.0, 85.0, 109.89, 3.0]","[1880, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
85,3182,"[636.1, 79.2, 18.0, 24.75, 39.6, 136.0, 7.92]","[1322, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
86,1173,"[3687.453, 312.84, 966.0, 87.0, 97.0, 608.85, 133.65]","[3554, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
87,3942,"[399.861, 7.92, 49.5, 15.84, 38.61, 2.9699999999999998, 22.77]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
88,4091,"[551.5, 51.48, 26.0, 67.32, 94.05, 35.0, 3.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
89,4091,"[481.7, 43.0, 27.0, 51.0, 88.0, 61.38, 1.98]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
90,4665,"[507.27599999999995, 40.0, 50.49, 23.759999999999998, 24.75, 60.39, 16.83]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
91,647,"[4176.5, 550.4399999999999, 320.76, 55.44, 192.06, 302.0, 62.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
92,181,"[1171.764, 93.0, 257.4, 66.0, 75.0, 72.27, 28.0]","[1143, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
93,4171,"[703.89, 70.0, 2.9699999999999998, 56.0, 102.96, 112.86, 5.9399999999999995]","[3459, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
94,4783,"[859.4000000000001, 51.48, 62.37, 77.22, 78.0, 76.23, 29.7]","[3300, 1118, 0, 4446, 1, 3823, 4783, 1906, 4091, 4177]"
95,647,"[3559.545, 476.19, 371.0, 31.68, 145.53, 152.46, 56.43]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177, 3300]"
96,1197,"[802.8, 52.0, 52.0, 167.0, 136.0, 86.13, 18.81]","[1988, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
97,740,"[635.58, 34.65, 228.0, 27.72, 22.77, 27.0, 31.68]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
98,4501,"[580.536, 58.0, 86.0, 22.77, 28.0, 57.42, 17.0]","[4814, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
99,4814,"[884.0, 77.0, 54.45, 35.64, 73.26, 88.11, 23.759999999999998]","[145, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
100,740,"[627.6, 28.71, 231.66, 49.0, 30.69, 51.0, 32.67]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
101,3564,"[465.5969999999999, 42.0, 63.0, 20.0, 38.61, 73.26, 10.89]","[3459, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
102,2949,"[757.4, 83.0, 114.84, 30.69, 11.879999999999999, 77.0, 19.8]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
103,4783,"[620.1360000000001, 47.519999999999996, 51.0, 41.58, 34.0, 43.56, 22.77]","[4814, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
104,2549,"[739.827, 40.589999999999996, 312.84, 141.57, 64.0, 21.78, 33.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
105,2549,"[1432.7, 58.41, 451.44, 241.0, 89.1, 80.0, 79.2]","[4826, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
106,2280,"[240.96599999999998, 8.91, 165.33, 16.83, 5.0, 11.879999999999999, 14.85]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
107,1984,"[1220.175, 64.0, 119.78999999999999, 92.0, 188.1, 79.0, 37.62]","[1818, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
108,4783,"[303.70000000000005, 6.0, 18.0, 79.0, 35.64, 1.98, 12.87]","[4336, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
109,4177,"[384.219, 14.85, 177.0, 23.759999999999998, 12.0, 23.759999999999998, 24.75]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
110,4945,"[1154.1, 85.14, 55.44, 92.07, 86.13, 106.92, 35.64]","[1118, 0, 1, 3823, 4783, 740, 1906, 4091, 4177, 3300]"
111,3300,"[997.6, 59.4, 164.34, 63.0, 129.0, 80.19, 28.71]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
112,4642,"[1027.9, 113.85, 17.0, 39.0, 64.35, 224.73, 19.8]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
113,908,"[202.45499999999998, 6.93, 21.78, 14.85, 11.879999999999999, 7.0, 9.0]","[4394, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
114,1306,"[432.63, 28.0, 61.38, 46.0, 43.56, 28.0, 14.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
115,4390,"[832.986, 65.0, 31.0, 73.0, 181.0, 65.34, 4.95]","[3676, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
116,276,"[537.0, 25.0, 168.0, 27.0, 37.62, 21.78, 26.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
117,3335,"[540.3, 46.53, 22.0, 26.0, 28.71, 88.0, 17.0]","[4005, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
118,2342,"[455.4, 20.0, 62.37, 27.0, 21.0, 15.0, 24.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
119,145,"[675.378, 41.58, 50.49, 49.5, 90.09, 49.5, 21.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
120,2756,"[926.442, 94.0, 144.0, 80.0, 62.0, 169.0, 21.78]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
121,4026,"[543.8069999999999, 47.519999999999996, 74.25, 48.51, 54.45, 55.0, 11.879999999999999]","[3662, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
122,125,"[2393.8, 178.0, 1079.1, 69.0, 97.02, 132.0, 101.97]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
123,4005,"[709.632, 50.0, 25.0, 37.0, 69.0, 61.38, 24.0]","[1857, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
124,2549,"[688.1, 18.0, 437.0, 133.65, 11.0, 4.0, 41.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
125,4642,"[2394.7110000000002, 347.49, 5.9399999999999995, 77.0, 84.0, 296.0, 18.81]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
126,1653,"[1061.2, 101.97, 8.91, 62.37, 114.0, 122.76, 17.82]","[2454, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
127,297,"[1140.9, 100.98, 27.0, 63.36, 73.0, 146.0, 32.67]","[437, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
128,0,"[414.117, 9.0, 29.7, 61.0, 49.5, 3.96, 21.0]","[773, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
129,3071,"[591.4, 38.0, 24.0, 66.0, 39.0, 59.0, 22.77]","[1667, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
130,740,"[3853.2, 481.14, 539.55, 41.58, 149.49, 152.46, 76.0]","[647, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
131,2274,"[856.7, 63.0, 235.0, 13.86, 21.78, 51.0, 30.0]","[571, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
132,4091,"[495.0, 32.67, 25.0, 56.0, 91.0, 36.63, 7.0]","[2458, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
133,85,"[804.9, 53.0, 222.0, 53.0, 22.0, 76.0, 36.63]","[2945, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
134,4005,"[653.796, 57.42, 27.0, 29.0, 50.49, 78.0, 18.0]","[284, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
135,1646,"[637.3, 32.67, 196.02, 54.0, 48.51, 53.0, 28.71]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
136,2220,"[3459.555, 159.0, 99.0, 131.0, 241.56, 111.0, 170.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
137,647,"[4474.8, 576.0, 462.0, 89.1, 271.26, 258.39, 61.38]","[617, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
138,989,"[597.9, 43.56, 62.37, 50.0, 56.0, 79.0, 19.0]","[4469, 1118, 0, 1, 3823, 4783, 740, 1906, 4091, 4177]"
139,4446,"[248.688, 8.0, 55.0, 11.879999999999999, 11.879999999999999, 6.0, 15.0]","[708, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
140,647,"[3593.799, 477.0, 454.40999999999997, 24.0, 138.0, 146.52, 55.44]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
141,740,"[1065.2, 74.0, 237.0, 52.0, 77.22, 89.0, 39.0]","[4, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
142,648,"[506.88, 45.54, 27.72, 21.0, 49.0, 54.45, 9.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
143,4177,"[267.10200000000003, 14.85, 44.55, 25.0, 16.83, 24.0, 13.86]","[1118, 0, 4446, 1, 3823, 4783, 1906, 4091, 4177, 3300]"
144,2280,"[868.1310000000001, 35.0, 396.0, 12.87, 14.85, 97.02, 54.45]","[42, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
145,960,"[626.175, 53.0, 16.0, 35.64, 74.0, 87.0, 12.0]","[3459, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
146,740,"[554.1030000000001, 8.91, 326.0, 17.82, 12.87, 5.9399999999999995, 39.6]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
147,1230,"[296.1, 24.75, 13.0, 22.0, 20.79, 48.51, 6.93]","[2906, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
148,152,"[999.3059999999999, 71.28, 34.0, 67.0, 62.37, 59.0, 38.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
149,125,"[2404.1, 183.0, 1080.09, 44.0, 90.09, 139.59, 101.97]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
150,1074,"[309.177, 18.0, 17.0, 30.0, 25.0, 23.759999999999998, 10.89]","[532, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
151,2,"[2908.62, 342.0, 146.52, 309.0, 168.3, 297.99, 52.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
152,1461,"[612.81, 40.0, 17.82, 59.4, 24.0, 84.0, 27.72]","[1461, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177]"
153,1854,"[581.4269999999999, 56.0, 101.0, 25.0, 41.0, 27.0, 13.86]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
154,740,"[871.3, 8.91, 628.65, 20.0, 13.0, 6.0, 66.33]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
155,1053,"[692.8, 42.57, 62.0, 66.0, 62.37, 67.32, 24.75]","[4665, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
156,2738,"[98.1, 6.0, 26.73, 4.0, 11.0, 10.0, 1.98]","[331, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
157,2848,"[787.3000000000001, 69.3, 149.49, 67.32, 54.0, 141.57, 15.84]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
158,2210,"[3338.9, 255.42, 279.18, 349.0, 213.84, 350.46, 114.84]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
159,647,"[3531.231, 482.0, 395.0, 23.759999999999998, 151.0, 150.0, 53.46]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177, 3300]"
160,516,"[3256.9, 326.0, 1070.0, 37.62, 99.0, 648.45, 99.99]","[1118, 0, 4446, 1, 4783, 740, 1906, 4091, 4177, 3300]"
161,4091,"[724.581, 47.519999999999996, 217.8, 57.42, 91.0, 75.24, 21.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
162,2,"[2969.5, 364.32, 137.0, 300.0, 169.29, 322.0, 42.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
163,3424,"[949.0, 30.0, 70.29, 76.23, 80.19, 18.0, 50.49]","[773, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
164,3652,"[1927.431, 242.55, 46.53, 76.23, 88.0, 356.0, 27.0]","[3295, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
165,740,"[908.226, 18.0, 445.5, 36.0, 25.74, 12.0, 63.36]","[740, 1118, 0, 4446, 1, 3823, 4783, 1906, 4091, 4177]"
166,866,"[615.8, 41.0, 60.39, 51.48, 82.17, 50.0, 16.0]","[145, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
167,983,"[961.6999999999999, 105.0, 36.0, 38.0, 72.27, 91.0, 16.83]","[145, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
168,4493,"[2586.0780000000004, 360.0, 14.0, 30.0, 101.0, 168.0, 23.759999999999998]","[1118, 0, 4446, 1, 4783, 740, 1906, 4091, 4177, 3300]"
169,3660,"[282.15, 28.0, 81.0, 29.0, 9.0, 16.0, 8.0]","[4836, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
